()||<BIN>2</BIN><BGM>BGM_Battle</BGM><Night><SE1>Battlefield</SE1><SE2>Gunfight</SE2>:S06 구역의 초소 앞. 404 소대가 헌터와 교전 중.
HunterElite(0)<Speaker>헌터</Speaker>||:드디어 나왔구나, 404 쥐새끼들!+네년들의 그 비열한 수작들... 내가 대비하지 않았을 것 같으냐!+당장 나와라! 네년들이 당황하며 도망치는 추태를 직접 봐야겠다! 그리고 나를 등진 채로 쓰러져라!
()||<SE1>Battlefield</SE1>:404 소대의 거점.
HK416(3)<Speaker>HK416</Speaker>||:G11, 너 정말 제대로 맞추기는 한 거야?!
G11(2)<Speaker>G11</Speaker>;HK416(3)||<SE2>Gunfight</SE2>:4발이나 맞췄단 말이야. 그런데 들은 거랑 다르게 아직도 움직인다구!
G11(2);HK416(2)<Speaker>HK416</Speaker>||:굉장한 개조인걸. 철혈 놈들은 대체 저런 수가 얼마나 더 있는 거지...
UMP9(4)<Speaker>UMP9</Speaker>;HK416(2)||<SE1>Battlefield</SE1>:우측에서 적 접근 중! 이대로 가다간 포위당할 거야!
UMP9(4);UMP45(2)<Speaker>UMP45</Speaker>||<SE2>Gunfight</SE2>:...작전 포기, 마지막 제압 사격 실시.
HK416(3)<Speaker>HK416</Speaker>;UMP45(2)||<SE1>Battlefield</SE1>:G11, 제압 사격 실시!
G11(2)<Speaker>G11</Speaker>;UMP45(2)||<SE2>Gunfight</SE2>:시, 실시.
UMP9(4)<Speaker>UMP9</Speaker>;UMP45(2)||:연막탄 투척!
UMP45(2)<Speaker>UMP45</Speaker>||<SE1>Battlefield</SE1><黑屏1><SE2>Gunfight</SE2>:지금이야! 전원, 후퇴!
HunterElite(0)<Speaker>헌터</Speaker>||<SE1>Battlefield</SE1><黑屏2><BGM>BGM_Empty</BGM>:쳇...
Weaver(0)<Speaker>우로보로스</Speaker><通讯框>;HunterElite(0)||:헌터, 왜 추격하지 않는 거지?
Weaver(0);HunterElite(0)<Speaker>헌터</Speaker>||:그 은발 머리 꼬맹이가 내 기동 장비를 망가뜨렸다. 수리하지 않으면 고속 기동은 무리다.
Weaver(0)<Speaker>우로보로스</Speaker>;HunterElite(0)||<BGM>BGM_Boss</BGM>:그걸로 포기하는 건가? 난 네가 사냥감에 대한 집착이 엄청나다고 알고 있었는데.
Weaver(0);HunterElite(0)<Speaker>헌터</Speaker>||:저년들은 돌아올 테다. 재머의 위치를 알아내기 위해, 분명 다시 날 찾아올 거다.+네 지원만 제때 도착하면, 저년들의 게릴라전을 짖밟아 놓을 수 있다.
Weaver(0)<Speaker>우로보로스</Speaker>;HunterElite(0)||:...좋다. 증원이 도착하기 전까지 초소를 지키고 있도록 하라.
Weaver(0);HunterElite(0)<Speaker>헌터</Speaker>||<黑屏1>:그럴 거다...+진정한 사냥꾼은, 과묵한 법이니까.
