()||<BIN>22</BIN><BGM>BGM_Sunshine</BGM>:............작전 종료.
KLIN(0)<Speaker>KLIN</Speaker>||:............+여기는... 어디야?
KLIN(0);NPC-Kalin(0)<Speaker>카리나</Speaker>||:우와아, 드디어 일어났구나!+아까부터 계속해서 잠꼬대를 반복하던데, 문제라도 생긴 거야? 날씨가 너무 더워서 온도 조절 모듈이 고장 나기라도 한 걸까?
KLIN(0)<Speaker>KLIN</Speaker>;NPC-Kalin(0)||:무슨... 넌 또 누구야...
KLIN(0);NPC-Kalin(2)<Speaker>카리나</Speaker>||:어라? 나까지 못 알아보는 거야? 방금 네 신체검사를 도와준 사람인데!?+내 이름은 카리나야. 편하게 카린(Kalin)이라고 불러도 괜찮다구. 너는 분명 이전에 배치를 보고했던... 누구였지?
KLIN(0)<Speaker>KLIN</Speaker>;NPC-Kalin(2)||:카린? 내 이름이랑 무지 비슷한걸!+내 이름은 KLIN! 오늘부터 잘 부탁해!
KLIN(0);NPC-Kalin(2)<Speaker>카리나</Speaker>||:어, 어 그래... 잘 부탁해.+(생각보다 기운 넘치는 인형인걸...)
KLIN(0)<Speaker>KLIN</Speaker>;NPC-Kalin(2)||:흥, 이렇게 만난 것도 인연인데, 혹시 너도 인형이야?
KLIN(0);NPC-Kalin(4)<Speaker>카리나</Speaker>||:나? 나는 아니야. 난 이곳의 보급관이라구!+ (이 아이는 너무 오랫동안 잠들어 있어서, 일부 모듈들이 아직 가동되고 있지 않은 걸까...)+어쨌든, 지휘관님께서는 아직 임무 때문에 밖에 나가 계시니, 일단 여기서 기다리고 있도록 해.+아! 장난감이라도 가지고 놀고 있을래? 여기에 다른 인형들이 남겨두고 간 게 아직...
KLIN(0)<Speaker>KLIN</Speaker>;NPC-Kalin(4)||:야! 지금 날 놀리는 거야?!+난 그리폰의 NO.1이 될 인형이라고! 좀 더 날 진지하게 대하란 말이야!+여기에 사격장이 있지? 여기 있는 인형들의 사격 수준이 어떤지 확인해야겠어!
KLIN(0);NPC-Kalin(3)<Speaker>카리나</Speaker>||<黑屏1>:그래 알겠어, 사격장은 이쪽이야.+(사격을 잘 하는 인형이 남아 있어야 할 텐데... 그렇지 않으면 무시당할 거야...)+(그런데 이 애, 갑자기 꺼졌다가, 갑자기 재기동 되다니... 대체 뭐가 문제였던 걸까...)
()||<BIN>9</BIN><BGM>BGM_Room</BGM>:............+...........같은 시각.
HK416(0)<Speaker>HK416</Speaker>||<BIN>70</BIN><黑屏2>:또다시 이름 없는 영웅이 되셨군. 이제 만족들 했어?
HK416(0);UMP9(3)<Speaker>UMP9</Speaker>||:헤헤, 아무리 우리라도 좋은 일을 하면 기분 좋아지지 않아?
HK416(0);G11(0)<Speaker>G11</Speaker>||:마음대로 해... 이제 끝났으니 쉬러 가도 되는 거지?
HK416(0)<Speaker>HK416</Speaker>;G11(0)||:...이건 그저 시작일 뿐이야. 내 말 맞지? 45?
UMP45(0)<Speaker>UMP45</Speaker>;G11(0)||:이건 간단한 테스트였을 뿐이야. 아직 실전이 남아 있다는 걸 잊지 마.+다들 자신의 기체 상태와 보급품을 점검하도록 해. 12시간 후에 출발할 거야.
UMP45(0);UMP9(2)<Speaker>UMP9</Speaker>||:...45 언니, 상태는 좀 어때? 휴식이 필요한 것 같은데... 
UMP45(0)<Speaker>UMP45</Speaker>;UMP9(2)||<黑屏1>:새로운 모듈에 적응을 끝냈으니 이제 괜찮아. 충전 좀 하고 나서, 제레에게 임무를 받으러 가야겠어.+저녁에는 다시 바빠질 테니, 너희는 우선 쉬고 있도록 해.
()||<BIN>9</BIN><黑屏1>:............12시간 후.
UMP45(0)<Speaker>UMP45</Speaker>||<BIN>70</BIN><黑屏2>:그러니까, 이게 페르시카가 얘기했던... "요정"이란 거야?+하나도 안 귀여워 보이는데 말야.
UMP45(0);NPC-Seele(0)<Speaker>제레</Speaker>||:아, 그게... 가동하고있지 않은 요정은 평범한 무인기랑 똑같아요.+하지만 가동 상태가 되면, 사용자와 연동된 영상을 투영하게 되죠.+그때 비로소 페어리의 귀여움을 확인하실 수 있을 거예요. 여러분, 전원을 켜보시겠어요?
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Seele(0)||:페르시카는 이런 이상한 물건을 개발하는 걸 참 좋아한단 말이지...+우리들의 이번 작전은, 분명 이걸 테스트하려는 목적도 있겠지?
수색요정()<Speaker>수색요정</Speaker>||:앗! 당신이 제 지휘관이신가요!?+우아앗, 하나도 안 착해 보이시네요! 저 좀 무서워졌는걸요!
UMP45(0)<Speaker>UMP45</Speaker>||:............+잠깐만 있어 봐. 이 무인기, 내가 상상하던 거랑 너무 다른데...
NPC-Seele(0)<Speaker>제레</Speaker>||:아... 아하하... +이건 말이죠, 먼저 무인기의 AI에게 자신의 모습을 디자인하게 해줘야 해요. 그래서 페르시카 씨가 이걸 "요정"이라고 부르는 거예요.+이 전술 요정은 신호를 탐색하는 용도로만 사용할 수 있어요. 페르시카 씨가 이번 임무를 위해 특별히 프로그램을 조정해주셨어요.+요정이 자동으로 목표를 탐색하고 여러분들을 검색된 위치로 이끌어줄 거예요.
수색요정()<Speaker>수색요정</Speaker>||:괜찮아요! 문제 없다구요! 저한테 맡겨만 주세요!
UMP45(0)<Speaker>UMP45</Speaker>||:아... 하하... 이렇게 쓸데없이 한가하게 스스로 인격을 부여하는 AI를 작성할 수 있는 사람은 페르시카 말고는 또 없을테니까...+게다가 페르시카의 성격으로 미루어볼 때, 타깃의 위치를 탐색하는 것 외에도, 돈 한 푼 안 쓰고 우릴 테스터로 써먹으려 했던 게 뻔히 보이는데.
