()||<BIN>34</BIN><BGM>BGM_Boss</BGM>:......
BOSS-6(0)<Speaker>디스트로이어</Speaker><通讯框>||:저기 있지, 드리머.+여기 무슨 이상한 신호가 들어왔는데.
BOSS-6(0);BOSS-11(0)<Speaker>드리머</Speaker>||:만약 그리폰이었다면, 이렇게 우리가 볼 수 있게 대놓고 들어오지는 않았겠지.
BOSS-6(0)<Speaker>디스트로이어</Speaker>;BOSS-11(0)||:확실히... 자세히 보니까, 정말 그리폰의 신호가 아니네...+오히려... 우리랑 비슷해 보이는걸...
BOSS-6(0);BOSS-11(0)<Speaker>드리머</Speaker>||:누가 온다는 연락은 받은 적 없는데... 어디 볼까.+......+디스트로이어, 이건 오가스(Ogas) 프로토콜 신호잖아. 설마 뭔지 모르는 건 아니겠지?
BOSS-6(0)<Speaker>디스트로이어</Speaker>;BOSS-11(0)||:오가스? 그게 뭐야?
BOSS-6(0);BOSS-11(0)<Speaker>드리머</Speaker>||:어머... 이번에는 알려준 적이 없었던 모양이네......+잘 기억해, 디스트로이어. 오가스 프로토콜은 그리폰의 쓰레기 같은 인형들이 쓰는 지나 프로토콜이 아니라, 우리 철혈의 네트워크 시스템이야.+이런 신호를 내보내고 있는 녀석들은, 전부 우리의 동료란 뜻이지.
BOSS-6(0)<Speaker>디스트로이어</Speaker>;BOSS-11(0)||:동료? 이상하네. 나도 누가 여기로 온다는 소린 못 들었는걸.
BOSS-6(0);BOSS-11(0)<Speaker>드리머</Speaker>||:아니면......+【우산】바이러스를 지니고 있는 인형일 수도 있고.
BOSS-6(0)<Speaker>디스트로이어</Speaker>;BOSS-11(0)||:【우산】? 그거라면...+어, 그러니까..., 그리폰의 인형에 이식해서, 그 인형의 프로토콜을 우리와 같은 것으로 덮어씌워 버리는 바이러스. 맞지?
BOSS-6(0);BOSS-11(0)<Speaker>드리머</Speaker>||:후후... 바로 그게 우리에게 큰 성과를 가져다줬지.+어쨌든, 이렇게 당당하게 문을 두드리며 들어와 주다니. 정찰할 수고는 덜었네.
BOSS-6(0)<Speaker>디스트로이어</Speaker>;BOSS-11(0)||:이번에 새로 생산된 자폭 유닛을 이미 가동해뒀어. 그 정도면 녀석들에게 환영 인사로 충분할걸?+그건 그렇고 내 새로운 몸은 언제 완성되는 거야?+자고 일어났는데도, 그냥 장소만 바뀐 것 같은데...
