()||<BIN>83</BIN><BGM>BGM_Brain</BGM><Night>:…………+……
FN57(0)<Speaker>FN-57</Speaker><通讯框>||:……真是的。+你们怎么把事情搞成这样啊。+原本就是因为你和PP90打包票，我才把任务放心交给你们的。
FN57(0)<Speaker>琪亚娜</Speaker>||:喂，我们也不希望这个样子啊！+谁知道希儿居然是……
FN57(0)<Speaker>FN-57</Speaker>||:当时要是干掉她就没问题了吧？
RaidenMei(0)<Speaker>芽衣</Speaker>;FN57(0)||:抱歉， FN57小姐，希儿毕竟是我们的同伴……
RaidenMei(0);FN57(0)<Speaker>FN-57</Speaker>||:同伴？在你们的世界结识同伴就是靠整天互相斗殴，然后把别人家里的东西拆个精光吗？
RaidenMei(0)<Speaker>芽衣</Speaker>;FN57(0)||:某种意义上……倒也这样。
RaidenMei(0);FN57(0)<Speaker>FN-57</Speaker>||:听起来倒像是电视里救世主们会干的事情。+现在好了，花了这么多资源结果闹成这样，等我们的指挥官回来也得崩坏掉了……+那这次的损失呢，主要就是这位……波娅小姐是吗？
RaidenMei(0);FN57(0)<Speaker>琪亚娜</Speaker>||:是布洛妮娅！
RaidenMei(0);FN57(0)<Speaker>FN-57</Speaker>||:啧，东欧人。+总之就是那个和PP90一样留着圣代发型的人类女生吧？
RaidenMei(0)<Speaker>芽衣</Speaker>;FN57(0)||:希儿把她抢走了，我们现在要把她夺回来。+还有，把希儿也……平安地带回来……
RaidenMei(0);FN57(0)<Speaker>FN-57</Speaker>||:只要你们能把这个大麻烦带走，带到哪儿都可以。+顺便，再清理掉你们带来的崩坏源，让那些丧尸人形彻底消失。
RaidenMei(0);FN57(0)<Speaker>琪亚娜</Speaker>||:嗯！我们一定会妥善处理的！
RaidenMei(0);FN57(0)<Speaker>FN-57</Speaker>||:所以我们的目的是一致的喽？+那这次让我来担任你们的副官吧，不过别指望我会像PP90那么供着你们哦。
RaidenMei(0);FN57(0)<Speaker>琪亚娜</Speaker>||:诶？可以吗？
RaidenMei(0);FN57(0)<Speaker>FN-57</Speaker>||:反正我们那边的事情都解决了，赫丽安小姐也批准了。+毕竟我们的人形在你们的世界也造成过麻烦，这次就当成平等合作吧。+而且，旁边总得有个格里芬人形监督你才行，免得按到什么自爆按钮。
RaidenMei(0);FN57(0)<Speaker>琪亚娜</Speaker>||:会有那种东西吗……
RaidenMei(0);FN57(0)<Speaker>FN-57</Speaker>||:有人确实用过哦。+还有啊，我们的PP90和Vector呢？
RaidenMei(0)<Speaker>芽衣</Speaker>;FN57(0)||:我刚才也在担心这个问题，如果希儿独自回来了……那她们……
Himeko(0)<Speaker>姬子</Speaker>;FN57(0)||:我刚刚搜索到了一处格里芬的信号，不确定是谁，但是周围环境很不乐观。+有谁愿意出去接应她吗？
Himeko(0)<Speaker>琪亚娜</Speaker>;FN57(0)||:姬子小姐！你已经没事吗？
Himeko(0)<Speaker>姬子</Speaker>;FN57(0)||:嗯，只是被NexusSystem消耗了大量体力，之后的战斗，恐怕无法正面参与了……
RaidenMei(0)<Speaker>芽衣</Speaker>;FN57(0)||:那就让我去寻找她们吧，姬子小姐留在这里协助琪亚娜就好了。
RaidenMei(0)<Speaker>琪亚娜</Speaker>;FN57(0)||:什么啊，搞得好像我有多不靠谱一样……+说起来，德丽莎学园长呢？
RaidenMei(0);Theresa(0)<Speaker>德丽莎</Speaker><通讯框>||:我正在修复格里芬的数据库哦。+希儿那家伙……摆弄这边的数据库不知道要做什么……+不过这样正好，通过她遗留的痕迹，已经能追踪出她的位置了。
RaidenMei(0);Theresa(0)<Speaker>琪亚娜</Speaker>||:真的吗？
RaidenMei(0);Theresa(0)<Speaker>德丽莎</Speaker>||:就在我们旁边，那个坏掉的游乐园里面。+虽然不知道希儿把布洛妮娅带过去做什么，总之快点夺回来就对了！+哦对了还有一个问题啊，根据刚才的观察报告，通道可能没多久就要关闭了呢。
RaidenMei(0)<Speaker>芽衣</Speaker>;Theresa(0)||:诶？什么意思？+我们……要回不去了？
RaidenMei(0);Theresa(0)<Speaker>德丽莎</Speaker>||:啊……其实还有几天啦，不过最好别拖太久哦！
RaidenMei(0);Theresa(0)<Speaker>琪亚娜</Speaker>||:“别拖太久哦！”学园长你要是出手应该很快就能搞定吧！
RaidenMei(0);Theresa(0)<Speaker>德丽莎</Speaker>||:算了，希儿这次闹出这么多麻烦，我怕一不小心彻底把她埋掉。+先交给你们就好喽——
RaidenMei(0);Theresa(0)<Speaker>琪亚娜</Speaker>||:好吧好吧，这样就没问题了吧，让我们开始行动吧！
RaidenMei(0);FN57(0)<Speaker>FN-57</Speaker><通讯框>||:真的没问题了吗？
RaidenMei(0);FN57(0)<Speaker>琪亚娜</Speaker>||:诶，怎么了？
RaidenMei(0);FN57(0)<Speaker>FN-57</Speaker>||:你就这样大摇大摆把我们的梯队派进去？+先不说那个能把整个据点砍倒一半的希儿会干掉我们多少人形……+你们的布洛妮娅还在她的手里，你确定这样能把人质营救出来吗？
RaidenMei(0);FN57(0)<Speaker>琪亚娜</Speaker>||:那……那要我怎么做啊！
RaidenMei(0);FN57(0)<Speaker>FN-57</Speaker>||:先拖延时间，等芽衣找到Vector她们。
Himeko(0)<Speaker>姬子</Speaker>;FN57(0)||:……我可能明白FN57小姐的想法了。
Himeko(0);FN57(0)<Speaker>FN-57</Speaker>||:哼哼，不愧是军人出身的姬子小姐。+稍后我们来商量一下详细的计划吧！
Himeko(0);FN57(0)<Speaker>琪亚娜</Speaker>||<黑屏1>:诶？你们在琢磨什么啊……+好啦好啦！那就照你们说的做吧！+反正我只要和希儿拖时间就行了吧！
()||<BIN>9</BIN><BGM>BGM_Empty</BGM><黑屏2>:…………
()||<BGM>BGM_Wake</BGM>:……同一时间，废弃的游乐园中。
Bronya(0)<Speaker>布洛妮娅</Speaker>||:……+希儿。
Bronya(0);Seele(2)<Speaker>希儿</Speaker>||:你醒了，布洛妮娅姐姐？+梦到希儿了吗？
Bronya(0)<Speaker>布洛妮娅</Speaker>;Seele(2)||:布洛妮娅，很久没做梦了。+这一切，都是希儿做的。
Bronya(0);Seele(2)<Speaker>希儿</Speaker>||:是啊，希儿听到了“妈妈大人”的声音。+再次醒来时，已经坐在休伯利安号里了。
Bronya(0)<Speaker>布洛妮娅</Speaker>;Seele(2)||:在母舰穿过通道时，希儿占据了原本希儿的身体。
Bronya(0);Seele(2)<Speaker>希儿</Speaker>||:没错，原本那个弱小无能……所以大家才喜欢到不得了的希儿。+希儿只是夺回了自己的东西而已。
Bronya(0)<Speaker>布洛妮娅</Speaker>;Seele(2)||:那个时候，破坏母舰的人……
Bronya(0);Seele(2)<Speaker>希儿</Speaker>||:也是希儿哦，在妈妈大人的建议下。+外面的风暴很凶的，只要在适当的时候打开舱门就可以了呢。
Bronya(0)<Speaker>布洛妮娅</Speaker>;Seele(2)||:……+学园长还提到过，这个世界原本是没有崩坏源的……
Bronya(0);Seele(2)<Speaker>希儿</Speaker>||:显而易见嘛，这个世界哪里会有崩坏能呢？+当然是希儿在混乱中丢出母舰的啊——
Bronya(0)<Speaker>布洛妮娅</Speaker>;Seele(2)||:都是为了……布洛妮娅？
Bronya(0);Seele(2)<Speaker>希儿</Speaker>||:当然都是为了布洛妮娅姐姐，都是为了……现在这一刻。
Bronya(0)<Speaker>布洛妮娅</Speaker>;Seele(2)||:布洛妮娅……没有这样的价值。
Bronya(0);Seele(2)<Speaker>希儿</Speaker>||:那是因为布洛妮娅姐姐忘了，布洛妮娅姐姐忘了太多东西了……+不过没关系，布洛妮娅姐姐。从今天起，和希儿【永远】留在这个世界吧。
Bronya(0)<Speaker>布洛妮娅</Speaker>;Seele(2)||:这里？
Bronya(0);Seele(2)<Speaker>希儿</Speaker>||:这里没有崩坏，没有死士，也没有“妈妈大人”……+所以，希儿不用再伤害任何人了，布洛妮娅姐姐也不会受到伤害了……+在这里，我们一定可以过得非常非常开心！
Bronya(0)<Speaker>布洛妮娅</Speaker>;Seele(2)||:这里，不属于我们。+不属于布洛妮娅，也不属于希儿——
Bronya(0);Seele(2)<Speaker>希儿</Speaker>||:那到底什么是属于希儿的呢！！
Bronya(0)<Speaker>布洛妮娅</Speaker>;Seele(2)||:……
Bronya(0);Seele(2)<Speaker>希儿</Speaker>||:布洛妮娅姐姐明明知道……希儿，已经什么都没有了……+现在，连保护那个没用的希儿的影子都不是了……+难道是希儿错了吗？布洛妮娅姐姐也是这样想的吗？比起希儿，果然休伯利安号上的同伴更重要吗？
Bronya(0)<Speaker>布洛妮娅</Speaker>;Seele(2)||:希儿，很重要。+但是，只有两个人，无法在这里生存。
Bronya(0);Seele(2)<Speaker>希儿</Speaker>||:没关系，希儿早就做好准备了！
Bronya(0);Seele(2)<Speaker></Speaker>||:……希儿拿出一块储存装置。
Bronya(0);Seele(2)<Speaker>希儿</Speaker>||:那个格里芬公司数据库里人形的人格资料，都被希儿储存在里面了。
Bronya(0)<Speaker>布洛妮娅</Speaker>;Seele(2)||:盗窃那些东西，做什么？
Bronya(0);Seele(2)<Speaker>希儿</Speaker>||:当然是让布洛妮娅姐姐开心啊。+稍稍转换一下，希儿就可以换上任何一个人形的人格了。+明白了吗？只要布洛妮娅姐姐喜欢，希儿无论变成谁都可以哦！
Bronya(0)<Speaker>布洛妮娅</Speaker>;Seele(2)||:希儿说的“喜欢”，是什么？
Bronya(0);Seele(2)<Speaker>希儿</Speaker>||:布洛妮娅姐姐，你检测到希儿的状态了吗？
Bronya(0)<Speaker>布洛妮娅</Speaker>;Seele(2)||:希儿的状态，很不稳定。
Bronya(0);Seele(2)<Speaker>希儿</Speaker>||:这就是希儿留在这里的代价……+希儿为了布洛妮娅姐姐什么都愿意做，这就是喜欢啊。
