()||<BIN>34</BIN>:......삑.
AN94(0)<Speaker>AN94</Speaker>||<BGM>BGM_Sneak</BGM><BIN>34</BIN>:AK12가 공개 채널로 통신을 요구했다. 연결할 건가?
AN94(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>34</BIN>:이봐, 우산 바이러스가 퍼져있을 때는 그런 바보 같은 짓은 하지 말라고 했을 텐데......
AN94(0)<Speaker>AN94</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:마인드맵의 모든 영역을 방어로 돌린다면, 10초 동안 【우산】 바이러스를 막을 수 있다.
NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>34</BIN>:연결해.
AK12(0)<Speaker>AK12</Speaker><通讯框>;NPC-Ange(0)||<BIN>34</BIN>:안젤리아, 들려?
AK12(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>34</BIN>:듣고 있어. 임무를 확인했으면 β 포인트로 이동해.
AK12(0)<Speaker>AK12</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:지금 이야기할만한 건 아니지만...+그게..... 조금 성가신 일에 휘말린 것 같거든.
AK12(0)<Speaker>AR15</Speaker>;NPC-Ange(0)||<BIN>34</BIN><SE1>Gunfight</SE1>:뭘 우물쭈물하고 있어!+안젤리아, 우리는 지금 철혈의 주력 부대에게 밀리고 있어! 지금 당장 지원이 필요해!
NPC-Ange(0)<Speaker></Speaker>||<BIN>34</BIN>:......칙, 치직.
NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>34</BIN>:너무 오래 노출되지 말고, 우리가 갈 때까지 버텨!
NPC-Ange(0)<Speaker>AR15</Speaker>||<BIN>34</BIN>:그리고 또 하나──
NPC-Ange(0)<Speaker></Speaker>||<BIN>34</BIN>:......칙, 치직.
NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>34</BIN>:그리고 M4A1은 좀 어때?+AR15?
()||<BIN>34</BIN>:......
NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>34</BIN>:AR15? AK12?+칫, 제기랄......
AN94(0)<Speaker>AN94</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:하아...... 안젤리아...... 미안하다. 이제 한계다.+내가...... 내가 좀 더 잘할 수 있었다면......
AN94(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>34</BIN>:전투 특화형인 너로서는 이미 충분히 잘해준 거야. AK12쪽이 지금 철혈의 주력 부대와 고전하고 있다더라.
AN94(0)<Speaker>AN94</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:명령은 그 둘의 구출인가?
AN94(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>34</BIN>:그래, AK12가 너한테 빚지도록 해보자고.
AN94(0)<Speaker>AN94</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:그건 빚과는 관계없다. 그녀를 지키는 것이 나의 의무다.
AN94(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>34</BIN><黑点1>:... 그래, 네 편할 대로 생각해.
AN94(0)<Speaker>AN94</Speaker>||<BIN>10</BIN><黑点2>:방금 내가 스캔한 구역 내에 있는 적들의 데이터다. 이건 리벨리온 소대가 위치하고 있는 전장의 지도다.+우리가 가야 할 루트 상에는 수많은 적들이 위치하고 있으며, 심지어 AK12를 포위하고 있는 철혈들 중에는 철혈 엘리트 보스도 존재한다.
AN94(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>9</BIN>:엑스큐셔너......  이제는 이런 유닛들까지 또 다른 경지에 도달한 건가?
AN94(0)<Speaker>AN94</Speaker>;NPC-Ange(0)||<BIN>9</BIN>:내 예상으론, 이를 돌파하는 건 결코 쉽지 않을 것이다.
AN94(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>9</BIN>:그럼...... 내가 AK12를 버리는 걸 바라는 건가?
AN94(0)<Speaker>AN94</Speaker>;NPC-Ange(0)||<BIN>9</BIN>:명령을 내린다면 전력으로 이행할 뿐이다.
AN94(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>9</BIN><黑屏1>:그럼 출발하자고! 녀석들이 우릴 기다리고 있잖아!
