()||<BIN>22</BIN><黑屏2><BGM>BGM_Brain</BGM>:......같은 시각, 16LAB 본부.+...페르시카는 404소대가 찾아온 동영상 파일을 확인하고 있었다.
NPC-Persica(3)<Speaker>페르시카</Speaker>||<BIN>22</BIN>:......찾았어.+이 영상이야, 틀림없어.+철혈 연구실에 마지막으로 남겨진 감시 녹화영상.+동시에 리코의 생전... 마지막 영상기록…
()||<BIN>22</BIN>:...+......
NPC-Persica(3)<Speaker>페르시카</Speaker>||<黑屏1><BIN>22</BIN>:리코는 이때... 이미 사살되었어...+이전에 얻은 정보와 똑같아...+...새로운 단서는 전혀 없어.
NPC-Lyco(0)<Speaker>페르시카</Speaker>||<BIN>9</BIN><黑屏2><黑屏1>:리코, 내게 알려줄 수 있는 건, 정말 이것뿐인 거니...+지금 이 모양이 네가 바라던 결과라곤 못 믿겠어...+너의 이상, 너의 소망...+그리고, 엘리사...
페르시카()<Speaker>페르시카</Speaker>||<BIN>22</BIN><黑屏2>:잠깐...
()||<BIN>22</BIN>:...페르시카는 구석에 쏟아진 문서를 발견하였다.
NPC-Persica(1)<Speaker>페르시카</Speaker>||<BIN>22</BIN>:저 문서는...+보고에 없었던 거잖아!
()||<BIN>22</BIN>:......+...페르시카는 영상 복원 프로그램을 실행했다.+...그 문서는 보고서였고, 표지에는 제목이 적혀 있었다.
NPC-Persica(3)<Speaker>페르시카</Speaker>||<BIN>22</BIN>:《개발일지-B 시스템》 오가스 시스템 재가동 가능성 평가…
NPC-Persica(3)<Speaker></Speaker>||<BIN>22</BIN>:......페르시카는 깊게 숨을 들이쉬었다.
()||<BIN>22</BIN>:......삑.+...암호화된 통신 요청이 들어왔다.
NPC-Havel(0)<Speaker>하벨</Speaker><通讯框>||<BIN>22</BIN>:좋은 밤일세, 페르시카, 지금 금방 일어났을 거라 생각한다만.
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:오늘 종일 깨어 있었어요, 하벨 씨.
NPC-Persica(0);NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:그럼 내가 딱 좋은 타이밍에 연락했나 보군.
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:......+네, 마침 묻고 싶은 것도 있으니까요.
NPC-Persica(0);NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:그것 때문에 연락했네.+자네에게 알려줄 것이 있다네.
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:나비 사건과... 오가스의 진실과 관련해서인가요?
NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN><BGM>BGM_Empty</BGM><黑屏1>:자네에게 경고하지...+더 이상 그 어떠한 진실도 파헤치려 하지 말게나.
