()||<BIN>22</BIN><BGM>BGM_Room</BGM>:.........
NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:자네 말일세, 여긴 여전히 돼지우리구먼.+다른 투자자가 자네 실험실이 이 꼴인 것을 보면, 돈을 시궁창에 버렸다 생각할 걸세.
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:하지만 제 투자자는 당신이죠, 제가 돈을 모두 칼날에 쓴 걸 감사해야 할 걸요.+왜 이렇게 늦으셨나요?
NPC-Persica(0);NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:정말 내 돈을 바르게 썼는지는 모르겠구먼.+거기에 날 감시하는 녀석들 따돌리려면 얼마나 고생해야 하는지 알고 있을 테지.+지금 그쪽은 싸우느라 정신없겠군.
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:안젤리아는 지금 단서와 증거가 더 필요해요, 저도 리코에 관한… 진실을 알고 싶고요.
NPC-Persica(0);NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:지금 어디까지 알아냈지?
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:리코가 어떻게 죽었는지… 엘리사가 작동할 때 리코는 이미 죽었어요.....+저희의 인형에 의해 사살되었고, 그리고 그가 폐기하려고 했던 문서에는 "오가스 시스템 내장 재가동 보고"라는 글귀가 적혀있었고요.+하벨 씨, 오가스 시스템의 재가동 목적은 도대체 뭐죠? 2032년 카터와 무슨 일을 한 거죠?
NPC-Persica(0);NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:흥, 그리폰과 제6 사무국 다 놀아난 걸세, 카터는 똑똑한 놈이야, 하급군관에서 장군까지 올라간 건 우연이 아니지.+...30 년 전의 일에 대해선, 우선 말하지만, 그때 우리가 협력했던 건 반란군이 민스크 부근의 기밀시설을 폭파하려 하는 위협을 해결하기 위해서였네.
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:기밀시설이요?
NPC-Persica(0);NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:OKB-413. 그 망할 유적의 식별번호지.
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:유적...
NPC-Persica(0);NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:카터는 목표확보를 담당했고, 난 엔지니어를 이끌고 철거를 담당했지.+그 시설은 "스피라에나"의 테스트와 조정을 위해 특별히 유적 위에 건설한 걸세.+그 자체는 오가스의 노드 하나를 이용해 연산했지.
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:제가 알기론 오가스는...+이전 소련이 80년대 때 추진한 전국 자동화 시스템에서 사용한 선봉 급 네트워크 구조인 것으로...
NPC-Persica(0);NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:그래, 다만 그 원형 설계는 훨씬 일찍 만들어졌을 걸세, 설비와 시스템 방안 모두 유적에서 발굴해낸 거니까 말이야.+내 생각에 불과하지만, 그 물건의 선진 수준을 보아, 아마 그것은 유적의 생명을 유지하기 위해 설계된 일종의 자동 제어 시스템일 걸세.
NPC-Persica(0);NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:임무 중, 반란군은 더 큰 파괴를 일으키기 위해서 "스피라에나" 시스템마저 과부하 가동을 걸었지.+비록 전체 시스템은 딱 한순간 가동… 아니 점화라고 해야겠군...+점화되었지만...
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:되었지만...?
NPC-Persica(0);NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:점화와 함께 유적에서 고에너지 신호를 뿜었다네, 내가 현장에서 보지 않고, 계기판만 봤다면 유적이 통째로 폭발했다고 생각했을 걸세.
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:유적이... 활성화된 건가요?
NPC-Persica(0);NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:그 순간 동시에, 카터가 돌격부대를 이끌고 제어실에 쳐들어갔지...+"스피라에나"를 끈 다음 우리가 모든 배선을 철거하였지, 그 구역의 오가스 시스템은 그렇게 분해되었네.+단 한 순간뿐이었지만, 카터와 그들도 결코 잊을 수가 없었겠지.
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:그러니, 군의 목적은...
NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:이젠 자네도 눈치챘을 테지, 안젤리아.
NPC-Havel(0)<Speaker></Speaker></Speaker>||<BIN>22</BIN>:...
NPC-Ange(0)<Speaker>안젤리아</Speaker><通讯框>;NPC-Havel(0)||<BIN>22</BIN>:어떻게 제가 여기 있는 것을 안 거죠?
NPC-Ange(0);NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:내가 들어오자마자, 페르시카가 자네와의 암호화 채널을 열더군, 그딴 꼼수 내게는 훤히 보인다네.
NPC-Ange(0)<Speaker>안젤리아</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:쯧... 여우 같은 영감탱이, 그 말대로라면, 상황은 제 예상보다 심각하겠군요.
NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:그래, 그래서 내가 직접 여기 온 거지.+군대에 있어서 3차 대전은 억지로 종료된 거야, 근데 지금 정부가 그 원수들과 무슨 연합정부를 세우겠다니, 아직도 전쟁 시대에 머물러있는 군인들에겐 배신이나 다름없지.+그러니 유적을 가동시켜 전 세계를 위협해 냉전 질서로 회귀하는 것이 놈들의 정치적 목적일세.+"상호확증파괴"가 뭔 뜻인지 아직 기억하나? 흥, 역겹기만 하군.
NPC-Persica(3)<Speaker>페르시카</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:그게 리코와 무슨 상관인데요? 어째서 그가 죽어야만 한 거죠!?
NPC-Persica(3);NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:스피라에나 시스템은 1983년 《제네바 공약》 이후 완전히 폐기됐지, 오가스 서포트 시스템은 더욱이 최고기밀로서 봉인한 후 보존되어왔고.+어째서 철혈이 오가스의 하위 계층 프로토콜을 제어기반으로 쓰는지는 생각해봤나?+어째서 리코가 이렇게 높은 기밀 수준의 물건에 손을 댈 수 있었을까?+잘 알 테지, 유적과 관계가 있고, 자네들과도 관계가 있는 그 조직 말일세.
NPC-Persica(3)<Speaker>페르시카</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:네... 90wish... 짐작이 가는군요.
NPC-Persica(3);NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:멍청이는 아니구먼.+그들이 자네들을 끝까지 추격하지 않은 건, 감히 내 앞에서 멋대로 굴지 못하는 것 말고도, 어쩌면 리코의 연구 충동과 자네와의 불화를 이용한 것일세.+내 추측으론, 그들이 몰래 오가스 시스템을 리코 손에 쥐여주었고, 리코는 그것을 가동할 방법을 찾은 게야...+다만 진실을 눈치채자 다시 잠가놓고 가동 못 하게 해놨겠지.+다만 누군가가... 리코가 방법을 찾으면 자신도 해낼 수 있다고 생각한 거고.+그럼 리코는 더 이상 이용할 가치가 없는 거지.
NPC-Ange(0)<Speaker>안젤리아</Speaker><通讯框>;NPC-Havel(0)||<BIN>22</BIN>:그 동시에 군은 또 철혈을 혼란에 빠트릴 적당한 이유가 필요했겠죠, 그래야 오가스 시스템을 탈환할 기회가 생길 테니...+그 결과가 바로 나비 작전...+하지만 왜 그때 바로 오가스 서포트 시스템을 갖고 가지 않은 거죠?
NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:그때 갖고 갈 수 없었거나, 갖고 가도 쓸모없었다면?
NPC-Persica(3)<Speaker>페르시카</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:리코 연구의 결정체인... 엘리사는... 그때 막 가동된 참이었어...
NPC-Havel(0)<Speaker>하벨</Speaker>||<BIN>22</BIN>:군도, 90wish도, 다들 열쇠가 성숙하기를 기다린 게야.+그들 스스로 조종할 필요 없이 오가스가 스스로 움직이길 바란 거지, 자아 성장이 가능한 AI보다 이 역할에 어울리는 게 있을까?+게다가 그렇게 되면, 안젤리아 자네의 상사는 손을 쓸 명분조차 찾을 수 없게 될 걸세.
NPC-Ange(0)<Speaker>안젤리아</Speaker><通讯框>;NPC-Havel(0)||<BIN>22</BIN>:칫...... 지금 당장 국장과 다시 연락하죠.
