AK12(0)<Speaker>AK12</Speaker>||<BIN>99</BIN><BGM>BGM_Sneak</BGM><黑点2>:감동적인 출사표를 던졌다 해도, 우리 몇 명으로 군 주력을 막는 건 무리일 것 같은데.
AK12(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>99</BIN>:그건 그렇지... 공수를 받기 전까지는 우리에게 승산이 전혀 없어.
AK12(0)<Speaker>AK12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:M4를 보낸 것도 엘더브레인이 걸리길 바란 거야?
AK12(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>99</BIN>:반신반의지만... 어차피 지금은 양쪽으로 준비를 해야 해, 다만 난 스스로 문제를 해결하는 걸 더 좋아하지.
AK12(0)<Speaker>AK12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:그럼 어쩌려고? 지금 중장갑 유닛에 대항할만한 무기도 없잖아.
NPC-Ange(0)<Speaker>안젤리아</Speaker>||<黑点1><BIN>99</BIN>:이렇게 된 이상, 아무래도 그리폰 지휘관에게 신세를 져야겠다.
()||<黑点2><BIN>10</BIN>:...
NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>10</BIN>:...아아, 들리나? 그리폰 지휘관?
NPC-Kalin(0)<Speaker>카리나</Speaker><通讯框>||<BIN>10</BIN>:아! 전에 지휘관님을 구해주신 그 누구누구 씨!
NPC-Kalin(0);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>10</BIN>:아직까지도 여기에 남아있는 용기는 칭찬해주지, 당신도 지금 그리폰의 처지를 알고 있겠지.+나와 AR팀의 멤버는 지금 최악의 상황이 오지 않기 위해 전력을 다하고 있어, 하지만 군의 장갑부대가 그쪽으로 이동 중이다.
NPC-Kalin(2)<Speaker>카리나</Speaker>;NPC-Ange(0)||<BIN>10</BIN>:힉! 이젠 철혈이 아니라, 군까지인가요...!
NPC-Kalin(2);NPC-Ange(0)<Speaker>안젤리아</Speaker>||<BIN>10</BIN>:무리한 요구인 건 알고 있어, 하지만 당신의 부대로 군의 부대를 가능한 만큼 지연시켜서 AR팀에게 시간을 벌어주기를 바라.+그녀들이 임무를 완수할 수 있을지는, 당신이 적을 얼마만큼 막아주느냐에 달렸어.+나와 내 소대가 측면에서 도와줄 테니까, 서로 행운을 빌자고.
NPC-Kalin(2)<Speaker>카리나</Speaker>||<BIN>10</BIN>:왜 또 갑자기 이렇게 큰 문제를 떠맡게 된 거죠...+저흰 벌써 종일 쉬지도 못했는데...+지휘관님… 지금 군과 정면으로 맞섰다간…
NPC-Kalin(0)<Speaker>카리나</Speaker>||<BIN>10</BIN>:예, 맞아요, AR팀을 위해서라면… 계속 싸워나가야만 해요!
