()||<BIN>98</BIN><BGM>BGM_Battle</BGM><黑屏2><火花><SE1>Gunfight</SE1>:......
M4A1Mod(4)<Speaker>M4A1</Speaker>||:404소대! 아직 버틸 수 있나요!?
UMP45(2)<Speaker>UMP45</Speaker>||:안젤리아, 설마 404는 처음부터 이런 공성전에 안 맞는다는 걸 잊어버렸나… 콜록, 상황이 좋지 않네…
HK416(3)<Speaker>HK416</Speaker>||:그 무적의 잔머리로 어떻게 좀 해봐! UMP45!
UMP45(2)<Speaker>UMP45</Speaker>||:잔머리를 굴려봤자 150mm 장갑판은 못 뚫는다고.
M4A1Mod(4)<Speaker>M4A1</Speaker>||:안젤리아가 말한 최종수단은요?
UMP45(2)<Speaker>UMP45</Speaker>||:아직 아니야… 아직 명령이 떨어지지 않았어...!
UMP9(2)<Speaker>UMP9</Speaker>||:우측 750m 그리폰 신호 발견!
M4A1Mod(4)<Speaker>M4A1</Speaker>||:지휘관인가요!?
NPC-Ange(0)<Speaker>안젤리아</Speaker><通讯框>||:M4! 45! 들리나! 지휘관과 난 지금 군과 교전 중이야!+우리가 녀석들을 묶어둘 테니까, 이 틈에 녀석들의 차단 부대를 뚫고 엘더브레인을 반드시 찾아내! 알겠어!?
UMP45(2)<Speaker>UMP45</Speaker>||:416과 G11은 위의 탑에 올라가서 화력지원을 해줘!+M4! 너흰 나와 9를 따라와! 최단루트를 타자!
HK416(3)<Speaker>HK416</Speaker>||:최단루트라니, 저승으로 최단루트라고!
UMP45(2)<Speaker>UMP45</Speaker>||:이미 관찰했어, 저들의 탱크는 저각 사격이 불가능해!+우리 대신 화력을 유인해, 빠르게 움직이면 기회는 있어!
HK416(3)<Speaker>HK416</Speaker>||:칫! 다 미쳤어! G11 당장 올라와, 이동한다!
G11(2)<Speaker>G11</Speaker>||<黑屏1><关闭火花>:바… 바로 갈게!
