()||<BIN>99</BIN><BGM>BGM_Sneak</BGM>:전장에 서서히 막이 내려진다...
BOSS-4(0)<Speaker>인트루더</Speaker>||:어머나...+이번엔 저길 노린 건가?+저 덩치들, 정말로 우리 집을 밀어버릴 셈이네.
??()<Speaker>??</Speaker>||:후회하는 건가?
BOSS-4(0)<Speaker>인트루더</Speaker>||:이번 공연을 놓친 거 말이니?+난 대본에 따라서 움직일 뿐이야, 후회 따위는 없어.
??()<Speaker>??</Speaker>||:하지만… 그래도 돌아가고 싶다든가?
BOSS-4(0)<Speaker>인트루더</Speaker>||:너 오늘은 말이 많네, 스케어크로우.+애써 널 깨운 건, 내 길을 막자고 한 게 아니야.
BOSS-4(0);BOSS-1(0)<Speaker>스케어크로우</Speaker>||:미안하다...+난 그저, 이런 결과가 분했을 뿐이야.
BOSS-4(0)<Speaker>인트루더</Speaker>;BOSS-1(0)||:이대로 끝나진 않아...+그래서 살아남아야 하는 거고, 에이전트의 명령대로.
BOSS-4(0);BOSS-1(0)<Speaker>스케어크로우</Speaker>||:하지만 게이저 쪽은...
BOSS-4(0)<Speaker>인트루더</Speaker>;BOSS-1(0)||:그건 그들의 임무니까.+전장 아무 곳에서 희생하면 된다니, 우리보다 편하기도 하지...+그래서, 모두의 경로는 다 짜놨어?
BOSS-4(0);BOSS-1(0)<Speaker>스케어크로우</Speaker>||:그래.+드리머를 제외하고, 에이전트에게 불려갔다.
BOSS-4(0)<Speaker>인트루더</Speaker>;BOSS-1(0)||:알고 있어, 그쪽은 다른 경로지.+가자, 그리폰과 인간의 덩치 군세가 우릴 발견하기 전에.
BOSS-4(0);BOSS-1(0)<Speaker>스케어크로우</Speaker>||:정말... 다 아무래도 좋은 건가?
BOSS-4(0)<Speaker>인트루더</Speaker>;BOSS-1(0)||:그리폰은 보급 때문에 군과 엉겨 붙느라 정신이 없어, 우릴 신경 쓸 새도 없을걸.+살아남기 위해 발버둥 치는 거야, 이제 모두 같아졌어.+어쩌면 처음부터...
BOSS-4(0);BOSS-1(0)<Speaker>스케어크로우</Speaker>||:역시 후회하는 거겠지?
BOSS-4(0)<Speaker>인트루더</Speaker>;BOSS-1(0)||:아니, 난 그저...+다른 가능성을 생각할 뿐이야.
BOSS-4(0);BOSS-1(0)<Speaker>스케어크로우</Speaker>||:잘 모르겠군.
()||:...인트루더는 스케어크로우의 머리를 툭 쳤다.
BOSS-4(0)<Speaker>인트루더</Speaker>;BOSS-1(0)||<黑屏1>:그래서 널 그런 이름으로 부르는 거야.+가자, 모두가 기다리고 있다고.
()||<BIN>9</BIN><黑屏2>:...
인트루더()<Speaker>인트루더</Speaker>||<黑屏1>:그리폰 인형들.+다음 만날 때는… 어떤 모습이려나?+...기대하고 있을게.
