()||<BIN>140</BIN><BGM>DJMAX_ShadowFlowerF</BGM>:...작전 종료. +...철혈을 잠시 도시 바깥으로 몰아냈고, M950A와 썬더는 기회를 틈타 요정들을 데리고 술집으로 이동했다.
M950A(0)<Speaker>M950A</Speaker>||<BIN>140</BIN>:끝... 끝난 거야?
M950A(0);Thunder50(0)<Speaker>썬더</Speaker>||<BIN>140</BIN>:대승리야, 950.
M950A(0)<Speaker>M950A</Speaker>;Thunder50(0)||<BIN>140</BIN>:흥, 그래도 우린 한 게 별로 없네. 그저 모두를 데리고 이 술집에 숨어 있기만 했으니까.
M950A(0);Thunder50(0)<Speaker>썬더</Speaker>||<BIN>140</BIN>:대장의 공이 컸지.
M950A(0)<Speaker>M950A</Speaker>||<BIN>140</BIN>:흠흠, K2, 타이밍 딱 맞춰서 왔네—— +K2? 이봐, K2?? +이상하네, 왜 응답이 없지...
Thunder50(0)<Speaker>썬더</Speaker>||<BIN>140</BIN>:통신도 정상이고, 철혈도 퇴각. +문제가 있을 리는 없을 텐데.
M950A(0)<Speaker>M950A</Speaker>||<BIN>140</BIN>:내 말이! 도대체 어떻게 된 거지? 바람처럼 나타났다가 바람처럼 사라지다니....
DJMAXSUEE(0)<Speaker>토끼귀 요정</Speaker><Position>0,250</Position>||<BIN>140</BIN>:두 분! 모두 안전히 대피했어요, 어서 들어오세요!
()||<BIN>140</BIN><黑屏1>:...M950A는 썬더를 데리고 술집에 들어갔다.
M950A(0)<Speaker>M950A</Speaker>||<BIN>80</BIN><黑屏2>:왠지 눈에 익은걸, 뭔가 본부에서 봤던 것 같은——
DJMAXSUEE(0)<Speaker>토끼귀 요정</Speaker><Position>0,250</Position>||<BIN>80</BIN>:ATK가 돌아왔어, 모두 박수!
M950A(0)<Speaker>M950A</Speaker>||<BIN>80</BIN>:에?! 이, 이건...
()||<BIN>80</BIN>:...M950A와 썬더는 어느새 축하하는 요정들에 둘러싸였다. 
M950A(0)<Speaker>M950A</Speaker>||<BIN>80</BIN>:아, 고마워, 고마워...
M950A(0);Thunder50(0)<Speaker>썬더</Speaker>||<BIN>80</BIN>:표정이 뻣뻣해, 950.
M950A(0)<Speaker>M950A</Speaker>;Thunder50(0)||<BIN>80</BIN>:조, 조금 놀랐을 뿐이거든! +그런데 방금 말한 ATK가...
M950A(0);DJMAXSUEE(0)<Speaker>토끼귀 요정</Speaker><Position>0,250</Position>||<BIN>80</BIN>:철혈을 물리치고 모두를 지켜내셨잖아요. 두 분도 ATK의 멤버이신 거 맞죠?
M950A(0)<Speaker>M950A</Speaker>;DJMAXSUEE(0)<Position>0,250</Position>||<BIN>80</BIN>:[ATK]? 그게 대체 뭔데?
M950A(0);DJMAXSUEE(0)<Speaker>토끼귀 요정</Speaker><Position>0,250</Position>||<BIN>80</BIN>:어라? 정말로 모르는 건가요? +저는 계속 언니들이 ATK의 새로운 멤버인 줄 알았는데....
M950A(0)<Speaker>M950A</Speaker>;DJMAXSUEE(0)<Position>0,250</Position>||<BIN>80</BIN>:설명 좀 해줄래? 그 ATK에 대해....
M950A(0);DJMAXSUEE(0)<Speaker>토끼귀 요정</Speaker><Position>0,250</Position>||<BIN>80</BIN>:철혈이 습격할 때마다 나타나서 저희를 구해주는 일행이에요! +냐옹전사가 위험을 미리 파악하고, 흑기사가 애마를 몰고 길을 열어주면 ‘윈드 토커’가 천군만마를 소환해서 적을 섬멸해요! +그녀들이 바로 포터블의 히어로에요!
M950A(0)<Speaker>M950A</Speaker>;DJMAXSUEE(0)<Position>0,250</Position>||<BIN>80</BIN>:ATK는... 조직이야?
M950A(0);DJMAXSUEE(0)<Speaker>토끼귀 요정</Speaker><Position>0,250</Position>||<BIN>80</BIN>:맞아요! NB 레인저처럼 여러 명으로 구성된 전대에요! 물론, 민폐만 끼치는 NB 레인저랑은 다르지만요!
M950A(0)<Speaker>M950A</Speaker>;DJMAXSUEE(0)<Position>0,250</Position>||<BIN>80</BIN>:NB 레인저? 그건 또 뭐야...+어쨌든 우리는 ATK가 아니야. 너희에게 도움이 되었다니 다행이지만.
M950A(0);DJMAXSUEE(0)<Speaker>토끼귀 요정</Speaker><Position>0,250</Position>||<BIN>80</BIN>:상관없어요! 포터블의 모두를 지켜주셨으니까, 다들 언니들에게 감사하고 있어요!
M950A(0)<Speaker>M950A</Speaker>||<BIN>80</BIN>:아, 마땅한 일을 한 것뿐이야. +근데... 쟤네들은 지금 뭘 하고 있는 거야?
()||<BIN>80</BIN>:...요정들은 한 곳에 모여 일부는 실내를 꾸미고 있고, 또 일부는 구석의 레코드 플레이어를 만지고 있다.
DJMAXSUEE(0)<Speaker>토끼귀 요정</Speaker><Position>0,250</Position>||<BIN>80</BIN>:쉴 준비를 하고 있어요. +다들 하루 종일 뛰어다녀서 지쳤거든요, 음악만이 저희의 지친 정신을 회복시켜줄 수 있어요.
M950A(0)<Speaker>M950A</Speaker>||<BIN>80</BIN>:음악을 통해서 수복한다고? 재밌는걸.
