()||<BIN>10</BIN>:<color=#fff775>[도움말] 원활한 게임 진행을 위해 이어지는 스토리 가이드를 자세히 읽어주시기 바랍니다.</color>
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||:응! 이제 문제 없어.
K2(0)<Speaker>K2</Speaker>||:단숨에 해치웠어?
TMP(0)<Speaker>TMP</Speaker>||:아까 그건... 대체 뭔가요?
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||:이건 말이지, 페일의 의지가 구현화된 거야. +바꿔 말하자면, 페일 자신의 사념체라고 할 수 있지. +그녀는 음악으로 너희들을 홀려, 마인드맵을 강제로 해방시키고 있어, 그리고 기회를 보다가, 해방된 마인드맵의 일부분을 빼앗아 이곳에 봉인한 거지.
M950A(0)<Speaker>M950A</Speaker>||:그러니까, 그게 우리가 여기서 로그아웃할 수 없는 원인이라는 거지?
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||:응, 내 생각엔 지금 너희들의 마인드맵 데이터의 일부가 손실돼서, 완전한 개체로 인식이 안되는 상태인 것 같아.
AEK999(0)<Speaker>AEK999</Speaker>||:야 임마, 너무 남의 일 말하듯이 듯이 말하지 말라고.
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||:아, 미안 미안, 하지만 유감스럽게도 지금의 나는 완전히 각성한지 얼마 되지 않아서, 너희 마인드맵의 봉인을 해제할 수가 없어.
Thunder50(0)<Speaker>썬더</Speaker>||:그러면 이 마인드맵은 어떻게 회수해야 하지? +그러니까... 빼앗긴 [우리]들을 말이야.
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||:너희가 직접 봉인된 자신에게 도전해야 돼.
K2(0)<Speaker>K2</Speaker>||:그러니까 싸워야 되는 거지?
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||:조심해, 이건 너희가 지금까지 해왔던 전투와는 완전히 다를 거야. +이 전투에서 너희의 목적은 빼앗긴 자신들과 일정 수준 이상의 싱크로율을 달성하는 거야. +그래야만 상대방이 너희를 알아보게 할 수 있어, 그 뒤엔 알아서 너희 마인드맵으로 돌아올 거야.
Thunder50(0)<Speaker>썬더</Speaker>||:싱크로율, 그렇다면...
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||:맞아, 네가 계속 기다려온——[연주]야!
()||:<color=#fff775>[도움말] 이 앞의 전투는 일반 전투와는 완전히 다르므로, 이어지는 설명을 자세히 읽어주시기 바랍니다.</color>+<color=#fff775>먼저, 돌발 상황을 방지하기 위해 [자동 스킬] 기능을 미리 꺼주시고, 게임 [옵션 - 음향]에서 배경음을 켜주시기 바랍니다. </color>+<color=#fff775>노트가 떨어져서 수평선에 닿는 순간, 정확히 해당하는 인형의 스킬 아이콘을 누르면, 그에 따른 싱크로율을 얻게 됩니다. </color>+<color=#fff775>그렇지 않을 경우, 인형들이 피해를 입게 됩니다. </color>+<color=#fff775>음악이 끝날 때까지 모든 인형이 파괴되지 않는다면 전투에서 승리하게 됩니다. </color>+<color=#fff775>마지막으로 안내드립니다, 돌발 상황을 방지하기 위해 [자동 스킬] 기능을 미리 꺼주시고, 게임 [옵션 - 음향]에서 배경음을 켜주시기 바랍니다.</color>
M950A(0)<Speaker>M950A</Speaker>||:여기에 갇혀있는 건 누구이려나? 과연 어떤 음악이 기다릴지 도전해보자고!
