()||<BIN>6</BIN><BGM>BGM_Sneak</BGM>:......
RO635(0)<Speaker>RO635</Speaker>||:모두들, 이제 곧 통신소에 도착할 거야! 
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:어이! 저걸 봐! 
RO635(4)<Speaker>RO635</Speaker>||:......!
()||<SE1>Explode</SE1>:............쾅! 
M16(3)<Speaker>M16A1</Speaker>||:잠깐, 저건 【쥬피터】잖아!+어째서 여기에도 있는 거야?!
()||<SE1>Explode</SE1>:......쾅! 
RO635(4)<Speaker>RO635</Speaker>||:게다가 하나뿐만이 아니야......+우린 어쩌면 운이 없는 구역에 떨어진 것 같네. 
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:저것 좀 봐! 포격이 통신소를 날려버렸어!+이거 어쩌지?!
RO635(5)<Speaker>RO635</Speaker>||:계획을 바꾸는 수밖에, 여길 피해서 계속 전진하자!+경계수준이 올라가고 있어, 철혈이 이미 우릴 발견한 것 같아! 
M16(3)<Speaker>M16A1</Speaker>||:우리가 이렇게 조심스럽게 이동했는데, 어떻게 우릴 발견한 거지? 
RO635(4)<Speaker>RO635</Speaker>||:모르겠어, 어쩌면 이곳의 철혈 보스는 보통내기가 아닐지도... 
M16(3)<Speaker>M16A1</Speaker>||:......드리머같은 인형이 하나 뿐인 게 아니라고? 
RO635(0)<Speaker>RO635</Speaker>||:일단 걱정하지 마, 철혈이 아직 포위를 해오지 않는다는 건, 아직 우리의 정확한 위치를 모른다는 거야.+일단 작전 계획을 바꾸자, 여길 피해 계속 나가자. 
M16(3)<Speaker>M16A1</Speaker>||:내가 서쪽에 숲을 하나 발견했어, 어쩌면 그쪽으로 피하는 게 비교적 안전할 거야. 
RO635(0)<Speaker>RO635</Speaker>||<黑屏1>:할 수없네, 한 번 도박을 걸어보는 수 밖에......+헬리안이 전에 수송기 소대 하나가 이쪽에 추락했다고 말했었어.+어쩌면 물자와 생존자를 찾을 수 있을지도 몰라, 늦지 않길 바래야 겠지만...+이 알 수 없는 철혈의 인형이 우릴 발견하기 전에....
()||<BGM>BGM_Empty</BGM><BIN>34</BIN><黑屏2>:............같은 시각, 철혈의 지휘실.
BOSS-9(0)<Speaker>아키텍트</Speaker>||<BGM>BGM_Boss</BGM>:하하, 좋아! 내가 맞췄어!+명중이야! 명중! 
게이저()<Speaker>게이저</Speaker>||:이른 새벽부터......시끄럽게......
BOSS-7(0)<Speaker>게이저</Speaker>;BOSS-9(0)||:그래서......뭘 맞췄는데? 
BOSS-7(0);BOSS-9(0)<Speaker>아키텍트</Speaker>||:저기저기! 게이저, 봐봐!+내가 방금 저 통신소를 맞췄다고! 
BOSS-7(0)<Speaker>게이저</Speaker>;BOSS-9(0)||:............+그래서......그걸 맞춰서 뭐하려고? 
BOSS-7(0);BOSS-9(0)<Speaker>아키텍트</Speaker>||:응?......별거 아니야.+그냥 보기에 위치가 너무 눈에 거슬려서 말이야, 겸사겸사 내가 얼마나 잘 맞출 수 있는지 한 번 쏴본거야, 히히! 
BOSS-7(0)<Speaker>게이저</Speaker>;BOSS-9(0)||:정말이지......+네 강박증을 이런 시시한 일에 풀지 말아줘.+그럴 시간에, 그리폰의 생존자나 찾으러 가버려. 
BOSS-7(0);BOSS-9(0)<Speaker>아키텍트</Speaker>||:응? 원래 생존자가 더 있었나? 
BOSS-7(0)<Speaker>게이저</Speaker>;BOSS-9(0)||:네 포탄은 그 수송기에 스쳤을 뿐이잖아. 그녀들은 안전하게 불시착했을 확률이 매우 높아. 
BOSS-7(0);BOSS-9(0)<Speaker>아키텍트</Speaker>||:음......너의 데이터 분석이라면야......+하지만, 우린 여기에 저 대포들을 실험하러 왔잖아? 우리가 모두 나가버리면 누가 대포를 지켜? 
BOSS-7(0)<Speaker>게이저</Speaker>;BOSS-9(0)||:내가 나가서 그녀들을 찾을 거야, 넌 여기서 기지나 지켜......+그리고, 멋대로 대포를 갈겨서 아군이나 맞추지나 마. 
BOSS-9(0)<Speaker>아키텍트</Speaker>||<黑屏1>:응응~ 알겠어.+그럼 너한테 맡길게, 빨리 가봐! 
