()||<BIN>7</BIN><BGM>BGM_Sneak</BGM>:.........30분 뒤...
M16(3)<Speaker>M16A1</Speaker>||:날씨는 좀 풀린듯 싶은데, 시야는 여전히 나쁘네......+RO, 비행장이 보여? 
RO635(4)<Speaker>RO635</Speaker>||:(눈을 가늘게 뜨며）아니, 아직......
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:저기 좀 봐! 내가 비행장을 찾았어! 바로 저기야!+그런데......헬기가 보이지 않아, 물자도 안보이고...
M16(3)<Speaker>M16A1</Speaker>||:이래서야 영 신통치 않네, 식량도 곧 바닥날 것 같고.+이런식으로 계속 바깥에서 움직이다보면. 우린 조만간 못 움직일 것 같은데...
()||:삐빅.
NPC-Helian(0)<Speaker>헬리안</Speaker><通讯框>||:M16, 너희들 거기 있나?+내가 방금 말하려고 한 건, 지금 구역 내에 돌풍으로 인해 보급품 투하가 매우 어렵다는 거다.+우리 무인기는 날씨가 좋아져야만 비행장에 도착할 수 있고, 그 뒤엔 바로 이탈할 거야. 
M16(3)<Speaker>M16A1</Speaker>;NPC-Helian(0)||:그러니까, 우린 반드시 그 틈에 비행장에 가서 보급을 받아야 한다는 말씀이시죠? 
M16(3);NPC-Helian(0)<Speaker>헬리안</Speaker>||:그래. 이쪽에서 돌풍의 시간간격을 보낼테니. 너희는 적당한 시간대를 선택하여 보급을 요청하면 돼.+그 외에, 우리의 중요한 인형이 이전 떨어진 수송기와 같이 이곳으로 추락했다고 하더군.+그녀의 몸엔 중요한 기술 모듈이 달려 있으니, 너희가 반드시 그녀를 구하도록.
M16(3)<Speaker>M16A1</Speaker>;NPC-Helian(0)||:알겠어요. 그 인형은 누군가요? 
M16(3);NPC-Helian(0)<Speaker>헬리안</Speaker>||:M1887, 산탄무기를 장비한 정예 전술인형이지.+우리가 마지막으로 그녀와 연락 했을 당시, 그녀는 구역 중심부의 피난소에 있었다고 한다.+현재 위치에서 남동쪽의 통로로 진입하여 적의 포대전선을 우회하면 도착 할 수 있을 거야. 
M16(3)<Speaker>M16</Speaker>||<黑屏1>:명령 받았습니다. 저희가 바로 피난소를 조사할게요. 
