()||<SE2>Alarm</SE2><BIN>10</BIN>:............5분후, 철혈의 경보가 울렸다. 
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<SE1>Battlefield</SE1>:경보가 울렸어! 그 녀석, 정말로 올 건가 봐! 
M16(3)<Speaker>M16A1</Speaker>||:진정해, 그 녀석들이 바로 이 곳에 올 수는 없을 거야.+RO, 철혈이 얼마만큼의 병력을 운용하고 있는지 추산할 수 있어? 
RO635(0)<Speaker>RO635</Speaker>||:............+이 구역의 철혈은......적은 수는 아닌 것 같은데.+하지만, 내가 보기엔 게이저가 한 번에 많은 수의 부대를 움직일 수 있을 것 같진 않아. 
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<SE1>Battlefield</SE1>:그게 무슨 뜻이야? 한 번에 많은 적이 오지 않을 거란 말이야? 
RO635(0)<Speaker>RO635</Speaker>||<SE2>Gunfight</SE2>:또 하나의 가능성은......
RO635(3)<Speaker>RO635</Speaker>||:......이 구역의 관리자가 한 명이 아닐 수도 있다는 거야... 
M16(3)<Speaker>M16A1</Speaker>||:잠깐만, 네 말은 그럼 관리자가 두 명일 수도 있단 말야?+그거 그냥 추측 일 뿐인 거지?
RO635(0)<Speaker>RO635</Speaker>||:확실히 그저 추측일 뿐이지만, 우린 경거망동하게 행동할 수는 없어.+철혈이 아직 우리를 포위하지 않은 이 때, 우리가 먼저 후방의 돌파점을 찾아야 해. 
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<SE1>Battlefield</SE1>: M1887은 어떡하지? 아직 못 찾았잖아......
RO635(0)<Speaker>RO635</Speaker>||<SE2>Gunfight</SE2>:이전 구역에서 그녀를 찾지 못했으니, 그녀는 반드시 더 깊숙한 곳에 있을 거야.+지금은 계속 전진할 수 밖에 없어. 그녀들을 만나는건 운에 맡길 수밖에...+어디까지나......우리는 우리 자신을 지키는 것에 중점을 두고 행동하는 게 좋을 것 같아.
M16(3)<Speaker>M16A1</Speaker>||:............+알겠어, RO. 지금 모두를 지휘해서 나아가자. 
