()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Truth</BGM>:
()<Speaker>안젤리아</Speaker>||<BIN>9</BIN><黑屏2><SE1>Heartbeat</SE1>:2분 동안...+... 의식이 없었다.
()<Speaker>안젤리아</Speaker>||:10분 동안...+... 바닥에서 허우적거리며 기어 일어나 엄폐물에 기대어, 없는 것보단 나은 정도의 응급처치를 하였다.
()<Speaker>안젤리아</Speaker>||:1분 동안...+... 생각했다.+... 지금 내가 살아 있는 것인지 죽은 것인지 생각했다.
()<Speaker>안젤리아</Speaker>||:그리고 10초 후 결론을 내렸다.
()<Speaker>안젤리아</Speaker>||<黑屏1>:아직 살아있지만, 곧 죽을 것이라는 걸.
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>||<BIN>157</BIN><睁眼>:콜록 콜록!+케엑!+최악이군... 몸이 말을 듣지를 않아...+M4A1...+AK12...+내 말 들리나? 지금 어떻게 됐지? 엘더브레인은 잡았나?
()<Speaker></Speaker>||:...+노이즈만 들린다.
NPC-AngeDamage(2)<Speaker>안젤리아</Speaker>||:쳇... 통신이 안 될 정도로 복사가 심한가. 여길... 벗어나야 해...+지금 이런 몸으로... 싸울 수 있을지는 몰라도...
NPC-AngeDamage(2)<Speaker></Speaker>||:... 안젤리아는 떨리는 손으로 통신기를 주머니에 넣었다.
NPC-AngeDamage(2)<Speaker>안젤리아</Speaker>||:난 전혀 외모를 꾸밀 줄 모르는 녀석이라서 지금 내 얼굴이 어떤지는 전혀 알고 싶지 않지만.+다만 이 두 손을 보면... 분명 괴물 같은 얼굴이겠지.+난 어떻게 되는 거지, 죽는 것 말고도... 또 어떻게 될까...
NPC-AngeDamage(3)<Speaker>안젤리아</Speaker>||<震屏>:커헉! 콜록 콜록!
NPC-AngeDamage(2)<Speaker>안젤리아</Speaker>||:어떻게 될지는 알고 있어...
()<Speaker>？？</Speaker>||:끄어어어어어어!!!
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>||:...!
()<Speaker></Speaker>||:저 멀리 소름 끼치는 소리가 들려온다.
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>||<黑屏1>0,0.7<黑屏1>:... 놈들이야, 저 불길한 소리, 세계대전 이전부터 퍼져 있던 악몽들.+내 기침 소리에 끌려오고 있어, 빨리 이곳을 벗어나야 해!
