()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
NPC-Yegor(3)<Speaker>정규군 하사</Speaker>||<BIN>9</BIN><黑屏2><BGM>BGM_Sneak</BGM>:대위님, 저희 부대가 안젤리아로 의심되는 모습을 목격했습니다!
NPC-YegorDamage(0)<Speaker>예고르</Speaker>;NPC-Yegor(3)||:뭐라고?
NPC-YegorDamage(0);NPC-Yegor(3)<Speaker>정규군 하사</Speaker>||:하지만 너무 멀어서 윤곽만 흐릿하게 보입니다.
NPC-YegorDamage(0)<Speaker>예고르</Speaker>;NPC-Yegor(3)||:머리 색과 체격은 비슷하군, 더 선명한 영상은 없는가?
NPC-YegorDamage(0);NPC-Yegor(3)<Speaker>정규군 하사</Speaker>||:신호를 보아 인간이 확실하며, 기절 상태인 것으로 보입니다. AR팀의 한 인형이 업고서 다른 인형들과 갈라져 행동 중입니다.+안젤리아는 계속 앞으로 도주 중이며 계속 엄폐물을 찾으며 잠행을 하고 있습니다. 한편 그리폰의 주력제대는 주위를 맴돌며 철수 중인 것으로 보입니다.
NPC-YegorDamage(0)<Speaker>예고르</Speaker>;NPC-Yegor(3)||:그럼 당장 쫓아라! 다만 동시에 한 제대를 보내 그 주력제대를 계속 추격하게 하라.+옐로우존에서 안젤리아의 몸이 더욱 악화되자, 주력부대를 미끼로 몰래 도망칠 셈이다.
NPC-YegorDamage(0);NPC-Yegor(3)<Speaker>정규군 하사</Speaker>||:알겠습니다, 그럼 그 폐기 빌딩에 있는 정찰대는 어떡합니까?
NPC-YegorDamage(0)<Speaker>예고르</Speaker>||<黑点1>:원위치에서 계속 감시한다, 지금 병력이 부족한 상태에서 감시 범위에 빈틈이 생겨서는 안 된다.+ <color=#A9A9A9>(... 정말 빈틈이 없는 것인가?)</color>+<color=#A9A9A9>(주력부대는 안젤리아로 의심되는 자를 쫓으며, 그리폰의 인형도 추격 중이다. 설사 안젤리아가 빌딩 안에 숨어있다 하여도 도망치려는 순간 바로 제압할 수 있다.)</color>+ <color=#A9A9A9>(더 이상의 가능성은 없다. 누구도 이 국면을 뒤집을 수는 없다!)</color>+<color=#A9A9A9>(그년은 이제 어디로도 도망 못 친다!)</color>
NPC-AngeDamage(1)<Speaker>안젤리아</Speaker>||<BIN>46</BIN><黑点2>:지휘관... 그 방법이라는 것은 대체...
NPC-AngeDamage(1)<Speaker>지휘관</Speaker>||:...<c>화력소대다.<c>도망칠 수 없다면, 안 치면 된다.<c>한 번 악역이 되어 보겠는가?
NPC-AngeDamage(3)<Speaker>안젤리아</Speaker>||<分支>1</分支>:화력소대? 그 정도의 숫자로는 군의 주력과 비교가 안 되잖아?
NPC-AngeDamage(3)<Speaker>안젤리아</Speaker>||<分支>2</分支>:도망치지 말라고? 그럼 어쩌라는 거야?
NPC-AngeDamage(1)<Speaker>안젤리아</Speaker>||<分支>3</分支>:살아남을 수만 있다면야, 저 군인 모두 생매장시켜도 괜찮아.
NPC-AngeDamage(1)<Speaker>안젤리아</Speaker>||<黑屏1>:그러니까 대체 무슨 방법이야?
()||<黑屏2>:안젤리아는 지휘관의 설명을 들었다.
AK12(0)<Speaker>AK12</Speaker>||:화력소대의 남은 포탄으로 접착폭탄을 만들라고?
AN94(0)<Speaker>AN94</Speaker>||:인형에게 어렵지 않은 일이지만, 그 정도의 폭탄으로 군의 탱크를 모두 폭파하기에는 부족하다.
NPC-AngeDamage(1)<Speaker>안젤리아</Speaker>||:지휘관의 말은 IED로 만든 다음에 이 빌딩에 설치하란 뜻이야.+어떻게 해도 예고르는 결국 빌딩에 들어올 거야. 내게 그 손으로 직접 복수하겠다 했으니까. 그러니 이 폭탄들이 마지막 도박이 될 거야.
NPC-AngeDamage(1);AK12(0)<Speaker>AK12</Speaker>||:즉 들어오면 폭탄으로 물러나게 위협할 셈이야?
NPC-AngeDamage(1);AN94(0)<Speaker>AN94</Speaker>||:정말 예고르가 직접 올라올 것이라 확신하나?
