()||<SE1>Battlefield</SE1><BIN>7</BIN><Night>:......
G11(2)<Speaker>G11</Speaker>||:후....드디어 안전해졌는데...힘들어 죽겠어...
UMP9(2)<Speaker>UMP9</Speaker>||:헤헤, 분명 416이 더 피곤해 보이는데....+어이? 416, 너 왜 반격을 안한 거야? 
HK416(2)<Speaker>HK416</Speaker>||:............+45 이거 조금 이상한 것 같지 않아?+어째서 우리의 행동이...계속 아키텍트의 감시카메라 아래에 노출되어있는 거지? 
UMP45(0)<Speaker>UMP45</Speaker>||<SE1>Battlefield</SE1>:응? 네 생각엔 내가 일부로 이렇게 하고 있다는 거야?+의심병이 또 도졌구나, 416. 
HK416(0)<Speaker>HK416</Speaker>||:그럼 어서 뭔가 말해서 이 병 좀 치료해주면 좋겠는데. 
UMP9(2)<Speaker>UMP9</Speaker>||:416......
UMP45(0)<Speaker>UMP45</Speaker>||<黑屏1>:흐흥....+포석에 시간이 필요해. 시간이 오래끌수록, 우리에게 더욱 유리해져.+계속 움직이자, 이제부터 제대로 시작할 수 있어. 
UMP45(0)<Speaker>UMP45</Speaker>||<SE1>Battlefield</SE1><BIN>10</BIN><黑屏2>:앞에 거점이 보여? 
UMP9(0)<Speaker>UMP9</Speaker>||:저건...아키텍트의 기지야? 
UMP45(0)<Speaker>UMP45</Speaker>||:정확해. 우리의 목표는 바로 저 거점을 기습하는 거야. 
HK416(2)<Speaker>HK416</Speaker>||:무슨 농담을...+완전히 포탑 진지 안에 있잖아, 거기다가 기지 방어가 엄중하지 않을리도 없잖아? 
UMP45(0)<Speaker>UMP45</Speaker>||:평상시라면 그렇지.+하지만, 이번에 우리가 대면하고 있는 건 평상시의 상대가 아니야. 
UMP9(0)<Speaker>UMP9</Speaker>||:그리고, 우리 역시 평범한 인형제대가 아니잖아!+난 45언니를 믿어, 분명 빈틈없는 계책으로 움직일테니까! 
G11(0)<Speaker>G11</Speaker>||:이번에도 네가 졌어, 416. 
HK416(0)<Speaker>HK416</Speaker>||:(한숨)....+어쨌든 네가 대장이니까. 
UMP45(0)<Speaker>UMP45</Speaker>||:그럼, 다들, 신속하게 움직이자.+아키텍트에게 반응할 기회를 주지말고 달려가자! 
