()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Room</BGM><BGM>BGM_Room</BGM>:
안젤리아()||<黑屏1><BGM>BGM_Room</BGM>:...자아, 잡담은 여기까지.
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>||<黑屏2><BIN>181</BIN>:우리가 할 일을 시작하자.+AK12, 현재 격리벽 주변 상황은 어떻지?
AK12(0)<Speaker>AK12</Speaker>||:격리벽으로부터 3km, 부채꼴 구역에 감염생물이 모인 곳이 총 다섯. 몰려든 이유는 불명.+육안 관찰 결과, 저 감염생물들의 상태는 불안정해. 그런데도 격리벽 부근 방위군은 아무런 조치도 취하지 않고 있어.+그리고 최신 일기예보에 의하면, 머지않아 폭풍우가 몰려올 거야. 그로 인해 주변의 복사 강도가 큰 폭으로 상승하겠지.
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>;AK12(0)||:폭풍우라... 끝내주는구만.
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:폭풍우로 인해 저 감염생물들이 더 흥분할 수도 있어.+내가 만약 저 격리벽 담당 장교였다면, 진작에 저 괴물들을 화력투사로 몰아냈을 거야.
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>;AK12(0)||:그건 불가능해.
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:어째서?+지금 도시 안에서는 중요한 국제회담이 열리고 있잖아?
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>;AK12(0)||:그렇기 때문에 오히려 눈치가 보이는 거지.+그리고 붕괴액 오염으로 인해, 이 도시는 이 나라의 수도가 아니게 됐어. 주둔 병력이 충분한지조차 의문이야.+지금의 베오그라드는 그저, 오염 구역 변경에 위치한 평범한 도시에 불과해.
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:그러니까, 버려진 옛 수도에는 아무도 관심을 가져주지 않는단 뜻이야?
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>;AK12(0)||:그래... 그래서 베오그라드의 수비 병력은 비교적 약해.+다른 도시에 비해서, 각 세력의 영향력도 약하고.+이번 회담을 여기서 개최하게 된 것도, 그런 요소를 고려한 결과겠지.
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:감염생물의 공격을 받을 위험이 있는데도?
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>;AK12(0)||:이익 추구에는 위험이 따르는 법이야.+그리고, 감염생물보다 더 주의해야 할 놈들은 따로 있어.
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:아, 그 하얀 세력 말이지?
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>||<黑屏1>0,3</黑屏1>:그래... 그리고 어쩌면, 놈들뿐만이 아닐 수도 있어.
()||<BIN>169</BIN><黑屏2>0,5</黑屏2>:산 아래의 도시를 바라보는 안젤리아의 표정은 점점 더 어두워졌다.+그때, 통신이 들어왔다.
NPC-Jason(0)<Speaker>K</Speaker><通讯框>||:<color=#00CCFF>안전국이 도착했다.</color>+<color=#00CCFF>그리폰도 테스트를 통과했어.</color>
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>;NPC-Jason(0)||:내가 그리폰은 문제 없을 거라 했잖아.
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><通讯框>||:<color=#00CCFF>앞으로 테스트는 한참 남았어.</color>+<color=#00CCFF>안전국 요원팀이 네게 시간을 벌어줄 테니까, 실망시키지 않도록 효율적으로 움직여.</color>
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>;NPC-Jason(0)||:알았어.
NPC-AngeStreet(0)<Speaker></Speaker>||<黑屏1>:안젤리아가 통신을 끊었다.
안젤리아()||<黑屏1><BIN>9</BIN>:수도가 아니게 됐음에도 이렇게 번화한 도시지만... 언제까지 저 모습이 유지될 수 있을까...
()||<BGM>BGM_Empty</BGM><黑屏1>:......+............+리벨리온은 기념비 근처에 집합, 격리벽의 상황을 계속해서 감시했다.
()||<BIN>181</BIN><黑屏2>:그와중, AK12가 기념비를 유심히 관찰하는 것이 안젤리아의 눈에 띄었다.
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>||:AK12, 왜 그래?
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:이 비석 말이야.+왜 아무 이름도 새겨져 있지 않은 거야?
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>;AK12(0)||<BGM>BGM_Wake</BGM>:이런 비석 하나로는, 추모할 사람들의 이름을 다 적을 수 없어서야.
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:공백은 일종의 경고란 뜻인가.+그런데 안젤리아, 여기엔 아무도 안 와?
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>;AK12(0)||:왜 그렇게 생각해?
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:죽은 동료를 기리는 곳이잖아. 그럼 추모하러 올 사람도 있는 게 정상이잖아?
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>;AK12(0)||:...그래, 그게 정상이지.+하지만 여긴 오래전에 사람들에게 잊혀졌어.
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:잊혀져?
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>;AK12(0)||:너도 알다시피, 인간이란 건망증이 심한 생물이야.+대부분은 과거의 일부를 잊고 나서야 미래와 마주할 용기를 낼 수 있어.+하지만 공교롭게도, 이 기념비는 그안에 담겨진 이름들처럼, 잊어야 하는 쪽으로 분류된 거지.
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:이름뿐만 아니라, 그들을 기억하기 위한 기념비까지 잊혀지다니...+왠지 불쌍하게 느껴지네.
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>;AK12(0)||:겨우 "동정심"을 얻자고 희생한 게 아니야.
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:"그대의 이름은 잊혀도, 그대의 공훈은 영원하리라."
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>;AK12(0)||:모든 이들이 자신의 국가와 신념을 위해 목숨을 바치지는 않아.+그 이유가 어떻든, 우릴 위해 스스로를 희생한 이들을 절대 잊어서는 안 돼.
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:고민이 많아 보이네. 임무 외에 걱정되는 거라도 있어?
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>;AK12(0)||:아니... 잠깐 애수에 잠긴 것뿐이야. 이 묘비를 보니, 내 친구들이 떠올랐거든.+친구...였던 사람들.+무슨 말인지 이해 가지?
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:음... 아니, 인형이 이해하기엔 너무 어려워.+인간은 참 이상하단 말이야.
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>;AK12(0)||:하... 모른 척 하긴.+쓸데없는 잡담은 적당히 하자 했더니, 또 해 버렸네.+어찌 되었든, 지금 여기는 우리가 숨어서 관찰하기 안성맞춤인 곳이니, 잘 이용하자고.
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:맡은 임무 외에 다른 걱정거리도 없으면, 왜 하나밖에 없는 소대를 둘로 나눴어?
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>;AK12(0)||:녀석들의 수완이라면, 도시에서 발각되지 않고 움직이는 건 식은 죽 먹기지. 그리고 우리에겐 또 다른 도우미가 있으니까.+임무 진행보다, 정화탑과 격리벽 쪽이 더 걱정돼. 그래서 우리의 최강 전력을 예비로 남겨둔 거야.
AK12(0)<Speaker>AK12</Speaker>||:최강 전력? 제일 불안정한 요소를 곁에 두려는 게 아니라?
()||:AK12는 목소리를 살짝 낮추며, 멀리서 보초를 서고 있는 M4A1을 바라보았다.
AK12(0)<Speaker>AK12</Speaker>||:한참을 고생해서 쟤랑 AR15를 겨우 찾아냈더니, 그동안 무슨 일이 있었는지도 말하지 않고 말이야.
NPC-AngeStreet(0)<Speaker>안젤리아</Speaker>;AK12(0)||:그래도 M4는 과거의 일 때문에 쉽게 흔들리지는 않을 거야.
NPC-AngeStreet(0);AK12(0)<Speaker>AK12</Speaker>||:그 뭔지도 모를 일은 둘째 치더라도, 지난번 정규군과의 전투만으로도 나쁜 영향이 있었을 거라고 봐.+그 폭발에 한때 몸을 담갔던 그리폰까지 휩쓸렸으니, 말은 안 해도 자책하고 있는 게 느껴지는걸.+게다가, 같은 AR팀 동료였던 인형과도 싸웠고.
