()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()||<黑屏2><BGM>BGM_Danger</BGM><BIN>167</BIN>:지하 통로.
M4A1Mod(0)<Speaker>M4A1</Speaker>||:AK12, 지금 밖에 있나요?+철혈이 "스피라에나 노드"를 탈취해 도주 중입니다! 거기서 저지 가능한가요?
AK12(0)<Speaker>AK12</Speaker><通讯框>||:<color=#00CCFF>방금 대문을 박살내고 달아났어! 차량 몇 대를 발견해 좌표를 찍었으니까, 지금이라도 서두르면 따라잡을 수 있을 거야!</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||<黑屏1>:라저! 지금 가고 있습니다!
()||<黑屏1>0,5</黑屏1><BGM>BGM_Empty</BGM><BIN>9</BIN>:같은 시각.
()||<BGM>BGM_Room</BGM><BIN>2</BIN><黑屏2>:삼각주의 철수 지점에서, 그리폰 호위팀은 울릭 주석을 무사히 수송기까지 호송을 마쳤다.
NPC-Ambassador(0)<Speaker>울릭 주석</Speaker>||:진심으로 감사드립니다.+부디, 여러분도 이 고비를 무사히 넘기를 바라겠어요.
RO635(2)<Speaker>RO635</Speaker>||:말씀 감사합니... 응?
()||:부우웅...+RO635가 작별 인사를 하려던 찰나, 휴대용 통신기가 진동했다.
NPC-KalinReporter(0)<Speaker>카리나</Speaker><通讯框>||:<color=#00CCFF>RO, 주석님은?</color>
RO635(0)<Speaker>RO635</Speaker>;NPC-KalinReporter(0)||:방금 수송기에 올라타셨어요. 이제 호송 임무를 마치고 복귀하겠습니다. 그쪽 상황은 어떻습니까?
RO635(0);NPC-KalinReporter(0)<Speaker>카리나</Speaker>||:<color=#00CCFF>지휘관님이 피난민을 무사히 도시 밖으로 대피시켰어.</color>+<color=#00CCFF>어찌 된 영문인지는 몰라도, 패러데우스의 병력들이 갑자기 공격을 멈춰서, 순조롭게 성당에서 빠져나올 수 있었어.</color>
RO635(0)<Speaker>RO635</Speaker>;NPC-KalinReporter(0)||:그렇군요... 천만다행이네요. 그럼 지금 어디 계신가요? 그쪽으로 이동하겠습니다.
RO635(0);NPC-KalinReporter(0)<Speaker>카리나</Speaker>||:<color=#00CCFF>그게... K 씨가 또 새로운 지시를 내려서, 다시 도시 안으로 돌아가서 방어선을 구축해야 해.</color>
RO635(4)<Speaker>RO635</Speaker>;NPC-KalinReporter(0)||:또요? 더 이상 그의 지시를 따를 필요는 없지 않나요?
RO635(4);NPC-KalinReporter(0)<Speaker>카리나</Speaker>||:<color=#00CCFF>지금 안젤리아 씨가 지원이 필요하대. 그리고... M16과 철혈도 도시 안에 나타났어.</color>+<color=#00CCFF>지휘관님도 그 말을 듣자마자 바로 움직였어.</color>
RO635(0)<Speaker>RO635</Speaker>;NPC-KalinReporter(0)||:M16이...! 알겠습니다. 지금 이동할 테니, 집결 지점의 좌표를 보내주세요.
RO635(0);NPC-KalinReporter(0)<Speaker>카리나</Speaker>||<黑屏1>:<color=#00CCFF>알았어, 지금 보낼게.</color>
