()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>202</BIN><黑屏2><BGM>BGM_Room</BGM>:탈린 정거장.
()<Speaker></Speaker>||:카리나는 통신을 종료하고, 지휘관에게 보고했다.
NPC-Kalin(0)<Speaker>카리나</Speaker>||:지휘관님, 열차가 탈린 정거장에 도착했어요.
()<Speaker></Speaker>||:지휘관은 말없이 그저 고개를 끄덕였다.
NPC-Kalin(0)<Speaker>카리나</Speaker>||:지휘관님, 이제... 어떻게 할까요?
()<Speaker></Speaker>||:쾅. 지휘관은 탁상을 주먹으로 내리쳤다.
지휘관()<Speaker>지휘관</Speaker>||:잘도 이런 짓을...
NPC-Kalin(7)<Speaker>카리나</Speaker>||:데저트 이글의 제대만이 아니라, 각지의 다른 제대들로부터도 난민의 시신을 발견했다는 보고가 들어오고 있어요. 발견된 것만 해도 수천 구예요...
지휘관()<Speaker>지휘관</Speaker>||:이건 계획적인 학살이야!
NPC-Kalin(4)<Speaker>카리나</Speaker>||:여기서 대체 무슨 일이 있었던 걸까요... 아, 페르시카 씨의 통신 요청이에요. 연결할까요?
()<Speaker>지휘관</Speaker>||:부탁해.
NPC-Persica(0)<Speaker>페르시카</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>바쁜 와중에 미안해, 지휘관.</color>
NPC-Persica(0);NPC-Kalin(0)<Speaker>카리나</Speaker>||:페르시카 씨... 혹시 AR팀의 상태를 확인하려고 연락하신 거면, 지금은 대화할 분위기가 아니에요....
NPC-Persica(0)<Speaker>페르시카</Speaker><通讯框>||:<color=#00CCFF>아니, 그건 아니야... 아닌데... 지휘관이 준 권한 덕분에, AR팀이 전송한 화상과 M4의 신호 기록을 다 살펴봤어. 그래서... 지휘관의 판단에 도움이 되도록 몇 가지를 알려 줘야 할 것 같아서.</color>
NPC-Persica(0)<Speaker>지휘관</Speaker>||:왜 이런 상황에서 말씀해 주시는거죠?
NPC-Persica(0)<Speaker>페르시카</Speaker><通讯框>||:<color=#00CCFF>미안해... 지휘관에게 너무 많은 걸 알려 주면... 그리폰이 더 위험해지지는 않을까 해서 망설여졌어.</color>+<color=#00CCFF>하지만... 사태가 이렇게 된 이상, 너희가 지금 상대하는 것이 무엇인지 알아야 한다고 생각해. 지휘관이라면 이 위기를 이겨낼 거라고 믿어.</color>+<color=#00CCFF>그리고... 이 학살과도 관계가 있는 거니까, 침착하게 내 이야기를 끝까지 들어 줘.</color>
NPC-Persica(0)<Speaker>지휘관</Speaker>||:저희의 상대라는 건... 패러데우스 말씀입니까?
NPC-Persica(0)<Speaker>페르시카</Speaker><通讯框>||<BGM>BGM_Empty</BGM>:<color=#00CCFF>패러데우스 이전의 일이야.</color>+<color=#00CCFF>"90Wish"라는 단체에 대해서 들어본 적 있어...?</color>
NPC-Persica(0);NPC-Kalin(2)<Speaker>카리나</Speaker>||:90Wish요? 인터넷에서 서로 연구 성과를 공유하다가, 얼마 안 가 해체된 사설 단체라고만 알고 있는데요. 하지만 어느 데이터베이스에서도 관련 정보를 찾을 수가 없어요.
NPC-Persica(0)<Speaker>페르시카</Speaker><通讯框>||:<color=#00CCFF>그 정도밖에 모르는 것도 당연해. 90Wish에 관한 모든 기록은 말소, 내지는 조작됐으니까.</color>+<color=#00CCFF>어쩌면 지휘관은 이미 눈치챘을 수도 있겠지만... 나도 예전에는 90Wish의 일원이었어.</color>
NPC-Persica(0)<Speaker>지휘관</Speaker>||<BGM>BGM_Pervaded</BGM>:설마, 90Wish가 바로 패러데우스의 정체라고 말씀하시려는 겁니까?
