()||<BGM>BGM_Empty</BGM><BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<黑屏2><BIN>202</BIN>:
()||<BGM>BGM_Sneak</BGM>:...탈린시 교외.
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>||:<color=#00CCFF>2시간 전부터 탈린 시내로부터 불명의 신호가 끊임없이 M4A1과 연결을 시도하고 있어. 그 외의 이상 징후는 보이지 않아.</color>
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>||:<color=#00CCFF>그리고 다른 그리폰 인형들도 전자전 공격을 받지 않았어. 계속해서 방화벽을 지원할게.</color>
UMP45Mod(0)<Speaker>UMP45</Speaker><通讯框>||:<color=#00CCFF>이상, 정기 보고 끝. 이제 우리도 AR팀을 뒤따라 탈린시로 진입할 거야.</color>
지휘관()||:그래... 알았다. 통신은 유지하도록.
()<Speaker>지휘관</Speaker>||<SE1>AVG_tele_disconnect</SE1>:음?
NPC-Kalin(0)<Speaker>카리나</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:지휘관님, 지금 시간 되시나요?
NPC-Kalin(0)<Speaker>지휘관</Speaker><通讯框>||:막 보고를 받은 참이야. 선발 정찰대에게서 온 통신인가? 그건 최우선 사항이니까 허락 요청할 필요 없이 바로 연결하도록 해.
NPC-Kalin(3)<Speaker>카리나</Speaker><通讯框>||:아뇨, 그게... 16Lab에서 온 통신이에요. 페르시카 씨가...
NPC-Kalin(3)<Speaker>지휘관</Speaker><通讯框>||:(하벨 씨의 말대로군...)+...연결해 줘.
()||<BGM>BGM_Empty</BGM><SE1>AVG_tele_connect</SE1>:삐익.
NPC-Persica(0)<Speaker>페르시카</Speaker><通讯框>||<BGM>BGM_Room</BGM>:<color=#00CCFF>아... 지휘관... 오랜만이야.</color>
NPC-Persica(0)<Speaker>페르시카</Speaker><通讯框>||:<color=#00CCFF>그게, 어... 할 말은 엄청 많은데, 정작 입을 열려니...</color>
NPC-Persica(0)<Speaker>지휘관</Speaker><通讯框>||:마지막으로 연락했던 게 벌써 몇 개월 전이군요. 연락해 주셔서 기쁩니다.
NPC-Persica(0)<Speaker>페르시카</Speaker><通讯框>||:<color=#00CCFF>와아... 아직도 몇 개월밖에 안 됐어? 1년도 안 지났는데 엄청 옛날 일 같네...</color>
NPC-Persica(0)<Speaker>지휘관</Speaker><通讯框>||:네, 저에게나 페르시카 씨에게나... 지난 수 개월간은 참 고비였죠.
NPC-Persica(0)<Speaker>페르시카</Speaker><通讯框>||:<color=#00CCFF>지휘관, 이렇게 연락한 건... 다름이 아니라...</color>
NPC-Persica(0)<Speaker>지휘관</Speaker><通讯框>||:M4 때문이겠죠?
NPC-Persica(1)<Speaker>페르시카</Speaker><通讯框>||:<color=#00CCFF>아...</color>
NPC-Persica(1)<Speaker>지휘관</Speaker><通讯框>||:그것 외에 페르시카 씨가 직접 연락한 적은 없으니까요.
NPC-Persica(0)<Speaker>페르시카</Speaker><通讯框>||:<color=#00CCFF>...그럼, 바로 본론으로 들어갈게.</color>
NPC-Persica(0)<Speaker>페르시카</Speaker><通讯框>||:<color=#00CCFF>지금까지, 난 나비 사건의 진상을 쫓았어. 이번에 지휘관이 향하는 곳은... 리코와도, 그 사건과도 관계가 깊은 곳이야.</color>
NPC-Persica(0)<Speaker>페르시카</Speaker><通讯框>||:<color=#00CCFF>하지만 그때 그 군사 작전 이후로, 난 줄곧 감시당하는 상태고... AR팀의 애들과도 연락이 끊겨 버렸어...</color>
NPC-Persica(0)<Speaker>지휘관</Speaker><通讯框>||:그날 이후로도 많은 일이 있었죠.
NPC-Persica(0)<Speaker>페르시카</Speaker><通讯框>||:<color=#00CCFF>하하... 베오그라드 관련 뉴스 봤어. 아무래도 난 한참 뒤처진 모양이네.</color>
