()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:......
()||<BIN>85</BIN><黑屏2>||<SE2>Alarm</SE2><SE1>Explode</SE1>:그리폰 임시 지휘부.+바깥의 폭격은 그칠 기미가 보이지 않았다.+지진과 같은 진동에 엄폐물도 함께 흔들렸다.
()<Speaker>지휘관</Speaker>||<BGM>BGM_Danger</BGM>:복귀한 인형은 얼마나 되지?
NPC-Kalin(4)<Speaker>카리나</Speaker>||:아직 절반밖에 못 돌아왔어요! 내부로 들어온 선봉 부대의 추격으로 복귀하지 못하고 있습니다!
NPC-Kalin(4)<Speaker>지휘관</Speaker>||:진짜 찰거머리가 따로 없군...
NPC-Kalin(7)<Speaker>카리나</Speaker>||:모두 흩어진 상태에, 기지 내부도 혼란한 상황이고...
NPC-Kalin(7)<Speaker>지휘관</Speaker>||:엄폐 유지하면서 대치하도록 지시 내려. 놈들이 예고르와 합류하게 둬선 안 돼.
NPC-AngeDamage(4)<Speaker>안젤리아</Speaker><通讯框>;NPC-Kalin(7)||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>무슨 일이지? 여기까지 땅이 울리는데.</color>
NPC-AngeDamage(4);NPC-Kalin(7)<Speaker>지휘관</Speaker>||:공군의 폭격을 호출했습니다. 지상의 군부대는 이걸로 끝장났겠지만, 기지 내부로 일부 병력이 진입했습니다.
NPC-AngeDamage(4)<Speaker>안젤리아</Speaker>;NPC-Kalin(7)||:<color=#00CCFF>칫... 예고르의 기갑 유닛은 성가시긴 하지만, 아직 철혈과 실랑이를 벌이고 있어.</color>+<color=#00CCFF>놈들을 해치울 방법이 떠올랐는데, 그쪽의 도움이 필요해.</color>
NPC-AngeDamage(4);NPC-Kalin(7)<Speaker>지휘관</Speaker>||:무엇입니까?
NPC-AngeDamage(4)<Speaker>안젤리아</Speaker>;NPC-Kalin(7)||:<color=#00CCFF>내가 여기로 잠입했을 땐 수로를 통해서 들어왔어. 이 기지에는 바다로 연결되는 4개의 수문이 있거든.</color>+<color=#00CCFF>놈들을 지하 1층에 묶어둘 수만 있다면, 그 수문을 동시에 열어서 놈들을 수장시킬 수 있어.</color>+<color=#00CCFF>하지만 밸브는 전부 기지 지상에 있으니까, 위치 전송해 줄 테니 열든 부수든 그쪽에 부탁할게.</color>
NPC-AngeDamage(4);NPC-Kalin(7)<Speaker>지휘관</Speaker>||:그럼 그쪽은 어떻게 탈출할 겁니까?
NPC-AngeDamage(4)<Speaker>안젤리아</Speaker>;NPC-Kalin(7)||:<color=#00CCFF>적이 목적을 이루도록 놔둘 수도 없어. 철혈, 예고르, 패러데우스, 그 누구도.</color>
