()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:기지 내부.
NPC-Jason(1)<Speaker>K</Speaker><通讯框>||<BGM>BGM_War</BGM><BIN>99</BIN><黑屏2>:<color=#00CCFF>우측 주의.</color>
NPC-Jason(1)<Speaker>지휘관</Speaker>||:수신.
()<Speaker></Speaker>||:병사 1개 분대가 헐레벌떡 지나갔지만, 아무도 귀퉁이의 그늘에 숨어 있는 나를 눈치채지 못했다.+나와 K는 서로를 엄호하면서, 군의 시야를 피하기 위해 엄폐를 유지하며 이동했다.
NPC-Yegor(3)<Speaker>장교</Speaker>||:병사와 자율 유닛을 재편성해라! 당장은 적과 교전하지 말고 아군과의 합류를 최우선으로 한다!
()<Speaker></Speaker>||<SE2>Alarm</SE2>:기지 내부로 진입한 군부대는 어지간히도 다급했는지, 편제가 완전히 흐트러지고 말았다. 하지만 총성은 여전히 끊기지 않았고, 아직까지 생존한 그리폰의 전술인형들이 잔존 군부대를 끈질기게 교란하면서 그들의 결집을 방해했다.
NPC-Kalin(4)<Speaker>카리나</Speaker><通讯框>||<SE2>Gunfight</SE2><SE1>AVG_tele_connect</SE1>:<color=#00CCFF>지휘관님, 들리세요?</color>
NPC-Kalin(4)<Speaker>지휘관</Speaker>||:잘 들려.
NPC-Kalin(4)<Speaker>카리나</Speaker>||<SE2>Gunfight</SE2>:<color=#00CCFF>군부대는 현재 아군 제대와 근거리 교전 중이라, 바로 쳐들어오지는 못할 거예요.</color>+<color=#00CCFF>하지만 그래서 우리 제대를 재결집할 수도 없고, 인형도 이제 몇 남지 않아서 밀어붙이기는커녕 어떻게든 견제하는 게 전부예요... 이 상태로는 얼마 버티지도 못해요.</color>
NPC-Kalin(4)<Speaker>지휘관</Speaker>||:알았다, 서두를게.
NPC-Jason(1)<Speaker>K</Speaker><通讯框>;NPC-Kalin(4)||:<color=#00CCFF>지휘관, 전방에 상황 발생.</color>
NPC-Jason(1)<Speaker>지휘관</Speaker>;NPC-Kalin(4)||:확인했어, 놈들이 수문 바로 위에 임시 지휘부를 만들었군. 성가시게 하필이면...
NPC-Jason(1)<Speaker>K</Speaker>;NPC-Kalin(4)||:<color=#00CCFF>저쪽의 장교도 우리가 이렇게 나오리라 예측했겠지.</color>+<color=#00CCFF>수문을 확보하려면 놈들의 지휘부부터 처리해야 한다.</color>+<color=#00CCFF>네 인형 제대로 공격해볼 만한가?</color>
NPC-Jason(1)<Speaker>지휘관</Speaker>;NPC-Kalin(4)||:수가 많진 않지만, 그건 우리 쪽도 마찬가지야.+쯧... 카리나, 들리니?
NPC-Jason(1);NPC-Kalin(4)<Speaker>카리나</Speaker>||:<color=#00CCFF>네, 지휘관님.</color>
NPC-Jason(1);NPC-Kalin(4)<Speaker>지휘관</Speaker>||:지금부터 군의 주둔 지점으로 침투할 테니, 지금 바로 남은 제대로 제압 사격 실시해서 놈들의 주의를 끌어 줘.+적들의 눈이 쏠린 틈을 타서 지나갈 거니까 진격까진 필요 없어.
NPC-Jason(1);NPC-Kalin(4)<Speaker>카리나</Speaker>||:<color=#00CCFF>하지만 지휘관님이...</color>
NPC-Jason(1);NPC-Kalin(4)<Speaker>지휘관</Speaker>||:명령 실시.
NPC-Kalin(4)<Speaker>카리나</Speaker>||:<color=#00CCFF>...네, 실시하겠습니다.</color>
()<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1><SE2>Gunfight</SE2>:곧바로 총성이 한층 더 요란해졌고, 군 병사들과 자율 유닛들이 교전 지점으로 황급히 달려갔다.+눈먼 탄들이 엄폐물을 넘어 가까운 벽에 날아와 박히면서, 영 불쾌한 소리를 냈다.
NPC-Jason(1)<Speaker>K</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>꽤 위험해 보이는데, 정말 괜찮겠나?</color>
NPC-Jason(1)<Speaker>지휘관</Speaker>||:언제는 뭐 안전했던가?
NPC-Jason(1)<Speaker>K</Speaker>||:<color=#00CCFF>그럼 행운을 빌지. 네가 벌집이 되면 묵념은 해 주겠어.</color>
