()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><BIN>9</BIN><SE1>Explode</SE1><BGM>10065</BGM>:콰앙——!
AK12(17)<Speaker>AK12</Speaker><Position>0,60</Position>||:안젤리아!
()<Speaker></Speaker>||<SE1>AVG_tinnitus_0</SE1>:......+매연이 흩어지고, 타오르는 불꽃이 밤하늘을 밝혔다.+충격으로 인한 어지러움과 이명이, 날이 갈수록 쇠약해져 가는 안젤리아의 신경을 자극했다. 그래도 불행 중 다행일까, 그녀 본인은 그다지 다치지 않았다.
()||<黑屏1>:
NPC-AngeDamage(2)<Speaker>안젤리아</Speaker>||<黑屏2><BIN>222</BIN>:...AK, 12?
()<Speaker></Speaker>||:부하의 모습이 눈에 또렷하게 들어왔다.+이렇게 엉망인 상태의 AK-12를 마지막으로 본 건, 그 남자를 상대할 때였다.
AK12(18)<Speaker>AK12</Speaker><Position>0,60</Position>||:심호흡해 안젤리아, 심호흡.
NPC-AngeDamage(2)<Speaker>안젤리아</Speaker>;AK12(18)<Position>0,60</Position>||:너...!
NPC-AngeDamage(2);AK12(18)<Speaker>AK12</Speaker><Position>0,60</Position>||:딴말 말고 내 얼굴 봐.+지금 무슨 상황인지 말해.
NPC-AngeDamage(2)<Speaker>안젤리아</Speaker>||:그러니까...
()<Speaker></Speaker>||:안젤리아는 방금까지 일어난 일을 떠올렸다.
NPC-AngeDamage(2)<Speaker>안젤리아</Speaker>||:...패러데우스랑 싸웠지.+너와 AK-15가 창고 안 패러데우스의 졸개들을 해치웠고...+나와 RPK-16은 검은 니토를 해치웠어.+그리고...
()<Speaker></Speaker>||<SE1>AVG_whitenoise</SE1>:섬광이 또 눈앞 지나가는 듯했다.
NPC-AngeDamage(2)<Speaker>안젤리아</Speaker>||:...하얀 니토가 창고를 터뜨렸지.+그 순간 네가 뛰어와서는 날 안고 창문 밖으로 뛰어내렸고.
AK12(15)<Speaker>AK12</Speaker><Position>0,60</Position>||:멀쩡하네, 다행이다.
NPC-AngeDamage(2)<Speaker>안젤리아</Speaker>||:하지만 네가...
()<Speaker></Speaker>||:그제서야 안젤리아는 AK-12가 심각하다는 것을 깨달았다.+적어도, 외견상으로는 그랬다.
AK12(15)<Speaker>AK12</Speaker><Position>0,60</Position>||:걱정 마, 나 괜찮아. 내부 부품 몇 개가 찌그러져서 관절에 끼었을 뿐이야.+그래도 응급 처치가 필요한걸... 이래선 움직이기도 버거워.
NPC-AngeDamage(2)<Speaker>안젤리아</Speaker>||:......
()<Speaker></Speaker>||:안젤리아는 비틀거리며 AK-12의 품에서 나와, 간신히 몸을 일으켜 세웠다.+우뚝 서 있던 하얀 건물은 이미 불타는 폐허로 변해버린 뒤였다.+무수한 상자들에 담긴 약품들도 한 줌의 재가 되었다.
()<Speaker></Speaker>||<震屏3><SE1>Explode</SE1>:와르르...+거대한 형체가 잔해 속에서 솟아올랐다.+벽돌이 들어올려지고, 먼지와 돌조각들이 몸에서 후두둑 떨어졌다.+물론, 그 정체는 AK-15였다.+그리고 AK-15 밑에서 빼꼼 고개를 내민 RPK-16도, 그녀가 막아 준 덕분에 모습만 좀 엉망일 뿐 별다른 부상은 없었다.
NPC-AngeDamage(3)<Speaker>안젤리아</Speaker>||:RPK, AK-12에게 긴급 조치.
RPK16(5)<Speaker>RPK16</Speaker>||:무리예요. 아무리 저라도 맨손으론 선배의 망가진 부품을 뜯어낼 순 없어요.+그래도, 선배의 깡이라면 이 정도쯤은 아무것도 아니잖아요?
AK12(15)<Speaker>AK12</Speaker><Position>0,60</Position>||:나 멀쩡해지면 제일 먼저 너부터 죽여버릴 거야...
AK12(15)<Position>0,60</Position>;AK15(2)<Speaker>AK15</Speaker>||:부품을 교체해야 한다면, 내 소체의 것을 사용해라.
