()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><BIN>356</BIN><BGM>10194</BGM>:......+안젤리아의 임시 은신처.
AN94(0)<Speaker>AN94</Speaker>||:그럼, 이제 어떡할 거지?
NPC-Ange(7)<Speaker>안젤리아</Speaker>;AN94(0)||:역시, 아무런 준비도 안 하고 갈 수는 없는 노릇이지.+훈작사가 뭐랬든, 여기가 윌리엄과 관련된 장소라는 것만은 확실해.+겉보기엔 버려진 양옥처럼 보여도, 안에 천군만마가 잠복하고 있다고 상정하겠어.
NPC-Ange(7);NPC-Light(1)<Speaker>라이트</Speaker>||:제 직속 팀에게도 연락할까요?
NPC-Ange(7)<Speaker>안젤리아</Speaker>;NPC-Light(1)||:숫자야 많으면 좋지. 하지만 네가 진심으로 믿을 수 있는 놈들만 데려와.+자신 없다면, 차라리 혼자인 편이 나아.
NPC-Ange(7);NPC-Light(1)<Speaker>라이트</Speaker>||:...알겠습니다.
NPC-Ange(7)<Speaker>안젤리아</Speaker>||:이 좌표는 베를린 도심지 내의 외딴 곳에 위치한 부유층의 동네야.+인구 밀집도가 낮아도 치안은 아주 좋지.+대규모 부대를 이끌고 쳐들어갔다간 분명히 들키고 말아.
NPC-Ange(7);AK15(0)<Speaker>AK15</Speaker>||:반대로, 패러데우스도 많은 병력을 배치할 수 없습니다.
NPC-Ange(7)<Speaker>안젤리아</Speaker>||:AN-94, 넌 라이트의 팀과 함께 바깥에서 경계를 서.+라이트한테는 슈타지의 긴급 집행권이 있으니까, 관계 없는 민간인한테 들켜도 소란이 일어날 걱정은 없어.+그리고, 유사시에 밖에서 지원할 사람도 필요하니까.
AN94(0)<Speaker>AN94</Speaker>||:알겠다.
NPC-Ange(7)<Speaker>안젤리아</Speaker>||:AK-15, RPK, 너희는 나와 함께 정문으로 돌입한다.+정보만 봐서는 안에 아무도 없겠지만... 과연 정말 그럴진 직접 보지 않고는 모르겠지.+그래도, 현상황으로선 다른 입구를 찾을 필요는 없을 거야.+AK-15가 선봉, RPK는 항시 전자기 흐름을 확인해.+조금이라도 이상하면 즉시 보고하고.
AK15(0)<Speaker>AK15</Speaker>||:알겠습니다.
RPK16(0)<Speaker>RPK16</Speaker>||:알겠어요.
NPC-Ange(7)<Speaker>안젤리아</Speaker>||:이상. 다른 계획도, 전술도 없다. 단 한 가지, 발포는 금지.+물론 지지리도 운이 좋아서 패러데우스의 잡것들과 조우하면 바로 머리통을 날려버려.+책임은 내가 진다.
RPK16(0)<Speaker>RPK16</Speaker>||:언제 출발할 건가요?
NPC-Ange(7)<Speaker>안젤리아</Speaker>||:오후 3시.+빈틈없이 준비해.
()<Speaker></Speaker>||:안젤리아가 탁상에 펼친 지도를 접고, 잠시 뜸을 들였다.
NPC-Ange(7)<Speaker>안젤리아</Speaker>||:...내가 술집에 쳐들어갔다고, 지금쯤이면 분명 훈작사 귀에도 들어갔을 거야.+그러니 그쪽에서 연락할 시간도 줘야겠지. 3시까지 아무런 해명이나 소식이 없다면...+그럼 적반하장으로 나가야지. 연락 늦은 주제에 나한테 따지지 말라고.
NPC-Light(0)<Speaker>라이트</Speaker>||:안젤리아 씨.
NPC-Ange(7)<Speaker>안젤리아</Speaker>;NPC-Light(0)||:뭔데?
NPC-Light(0)<Speaker>라이트</Speaker>||:잠시 둘이서만 대화 가능할까요?
()<Speaker></Speaker>||:안젤리아는 각자 준비 중인 리벨리온 대원들을 봤다.
NPC-Ange(7)<Speaker>안젤리아</Speaker>||:지금?
NPC-Light(0)<Speaker>라이트</Speaker>||:지금밖에 없습니다.
NPC-Ange(7)<Speaker>안젤리아</Speaker>||:...그렇다면야.
()<Speaker></Speaker>||:안젤리아가 의자를 끌어와, 라이트에게 앉으라 권했다.
NPC-Ange(7)<Speaker>안젤리아</Speaker>||:뭔 얘기인데?+작전에서 빠지고 싶다고?
NPC-Ange(7);NPC-Light(3)<Speaker>라이트</Speaker>||:물론 아닙니다. 당신을 존경하는 만큼, 당신의 판단을 믿습니다.
NPC-Ange(7)<Speaker>안젤리아</Speaker>;NPC-Light(3)||:내가 남한테 존경을 받을 만한 사람은 아닌 거 같은데...+특히나 너 같은 범생이는 나랑 성향이 정반대 아니야?+딱 봐도 요원 학교에서 도덕 과목까지 A 받을 녀석처럼 보이는걸.
