()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<BIN>357</BIN><黑屏2><BGM>GF_EV9_Story</BGM>:베를린의 구시가지 지역.+장치가 딸깍 소리를 내며 해제됐고, 현관의 문이 서서히 열렸다.+그러자 어두운 실내의 작은 전등이 자동으로 켜졌다.+지익――+그리고, 한 남성의 홀로그램이 나타났다.
NPC-Griffin(0)<Speaker>？？？</Speaker><通讯框>||:<color=#00CCFF>Good afternoon, 지휘관.</color>
NPC-Griffin(0)<Speaker>지휘관</Speaker><通讯框>||:처음 뵙겠습니다, 훈작사님.
NPC-Griffin(0)<Speaker>？？？</Speaker><通讯框>||:<color=#00CCFF>좀 긴장한 듯 보이는군.</color>
NPC-Griffin(0)<Speaker>지휘관</Speaker><通讯框>||:...그리폰의 지휘관이라고 다 뵐 수 있는 분이 아니니 말이죠.+귀하에 대해서, 정말 많은 소문을 들었습니다.
NPC-Griffin(0)<Speaker>그리폰</Speaker><通讯框>||:<color=#00CCFF>소문은 그저 소문일 뿐이지.</color>+<color=#00CCFF>지금의 나는 그저 소소한 후방 작업이나 하는, 나이 먹은 노인이네.</color>+<color=#00CCFF>자네도 나를 평범한 연장자로 봐주었으면 하네. 우리의 사이는 자네의 생각보다 꽤 가깝거든.</color>
NPC-Griffin(0)<Speaker>지휘관</Speaker><通讯框>||:어, 어떻게 그럴 수 있겠습니까. 훈작사님은――
NPC-Griffin(0)<Speaker>그리폰</Speaker><通讯框>||:<color=#00CCFF>"그리폰".</color>+<color=#00CCFF>사적인 자리에선 친근하게 불렸으면 하네.</color>
NPC-Griffin(0)<Speaker>지휘관</Speaker><通讯框>||:아... 네, 그리폰... 씨.
NPC-Griffin(0)<Speaker>그리폰</Speaker><通讯框>||:<color=#00CCFF>허허... 뭐, 좋네.</color>+<color=#00CCFF>기념할 만한 첫 만남이지만, 이런 식으로밖에 대화할 수밖에 없어 참 유감이군.</color>+<color=#00CCFF>자네에게도 너무 실례가 되지 않았기를 바라네.</color>
NPC-Griffin(0)<Speaker>지휘관</Speaker><通讯框>||:아뇨, 천만의 말씀입니다.
NPC-Griffin(0)<Speaker>그리폰</Speaker><通讯框>||:<color=#00CCFF>그 넓은 도량에 감사하지, 지휘관.</color>+<color=#00CCFF>자네에 대해서는, 나도 많은 소문을 들었다네.</color>+<color=#00CCFF>자네처럼 전장을 많이 겪은 전사는 하나같이 피와 살기를 씻어내지 못한다고 생각했건만...</color>+<color=#00CCFF>이렇게 직접 보니, 그저 다정하고 예의 바른 젊은이로군.</color>
NPC-Griffin(0)<Speaker>지휘관</Speaker><通讯框>||:제 경력은 당신의 1할에도 미치지 못합니다.+그리고, 저도 적과 같은 꼴로 전락하고 싶지 않습니다.
