()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:......
()||<黑屏2><BIN>82</BIN><BGM>BGM_Moon</BGM>:얼마 후의 오후.+마흐리안은 부스스 잠에서 깨어났다.+그녀의 침대 옆에 앉아 있는 인형도, 잠시 눈을 붙이고 있었다.
NPC-Machlian(6)<Speaker>마흐리안</Speaker><Position>0,-50</Position>||:우으응...
VP1915(0)<Speaker>페로사</Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||:...아, 깨어났구나.
VP1915(0)<Speaker></Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||:마흐리안이 기지개를 켜던차에 페로사가 눈을 떴다.
VP1915(0)<Speaker>페로사</Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||:잘 잤어?
VP1915(0);NPC-Machlian(5)<Speaker>마흐리안</Speaker><Position>0,-50</Position>||:네... 꽤 괜찮게 잤어요...+다른 분들은요...?
VP1915(0)<Speaker>페로사</Speaker>;NPC-Machlian(5)<Position>0,-50</Position>||:주방에서 인간이 섭취할 요리는 어떻게 만들어야 하는지 연구 중이야.+...소리로 봐선 그다지 잘 안 되는 거 같지만.
VP1915(0);NPC-Machlian(5)<Speaker>마흐리안</Speaker><Position>0,-50</Position>||:......
VP1915(0);NPC-Machlian(5)<Speaker></Speaker><Position>0,-50</Position>||:마흐리안이 귀를 기울이니, 과연 방 밖은 떠들썩했다. 다만 무슨 말을 하는 중인지는 잘 들리지 않았다.
VP1915(0)<Speaker>페로사</Speaker>;NPC-Machlian(5)<Position>0,-50</Position>||:가보겠어? 이제 막 깼으니 좀 걷는 편이 정신 차리기에도 좋을 거야.
NPC-Machlian(5)<Speaker>마흐리안</Speaker><Position>0,-50</Position>||:네.
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM><黑屏1>:마흐리안은 침대에서 내려와, 페로사를 따라 방 밖으로 나왔다.
()<Speaker></Speaker>||<黑屏2><BIN>129</BIN><BGM>m_avg_casual</BGM>:역시나, 주방에선 가스레인지와 몇 접시의 원형을 알 수 없는 시꺼먼 물체를 사이에 두고 인형 몇 명이서 치열한 논쟁을 벌이고 있었다.
Kolibri(0)<Speaker>콜리브리</Speaker>||:――자꾸 그딴 식으로 요리하면 미각 모듈 꺼도 못 먹는다니까!?
Kolibri(0);Derringer(0)<Speaker>데린저</Speaker>||<震屏>:네가 뭘 안다고 그래?! 이건 데린저가 아껴둔 간식이란 말이야!
Kolibri(0)<Speaker>콜리브리</Speaker>;Derringer(0)||:그렇다고 그걸 왜 튀겨!
Derringer(0)<Speaker>데린저</Speaker>||:그치만 지휘관이 따끈한 걸 먹고 싶댔는걸!
NPC-Machlian(5)<Speaker>마흐리안</Speaker>||:......
VP1915(0)<Speaker>페로사</Speaker>;NPC-Machlian(5)||:왜들 그렇게 싸워?
VP1915(0);Savage99(0)<Speaker>새비지</Speaker>||:아, 페로사. 지금 둘이 과자도 튀김으로 만들 수 있는지로 싸우고 있어요.
VP1915(0);Fedorov(0)<Speaker>표도로프</Speaker>||<黑点1><BGM>BGM_Empty</BGM>:어떻게 좀 해 주세요 페로사, 태워먹은 게 벌써 몇 접시나 돼요...
()||<黑点2>:그 와중 마흐리안이 가스레인지에 다가가, 그 시꺼먼 물체를 집어 살짝 핥아보았다.
NPC-Machlian(7)<Speaker>마흐리안</Speaker><Position>0,-50</Position>||<BGM>BGM_Danger</BGM>:......+이건...!
()<Speaker></Speaker>||<震屏>:강렬한 비린내와 기괴한 단맛이 동시에 몰아쳐, 백상아리처럼 미각을 넘어 머릿속까지 쳐들어왔다.+마흐리안은 다리에 힘이 풀려 풀썩 주저앉고 말았다.
VP1915(0)<Speaker>페로사</Speaker>||:마흐리안!? 괜찮아?!+빨리 물 가져와!
VP1915(0);Savage99(0)<Speaker>새비지</Speaker>||<黑点1>:여기, 물로 입을 헹구세요!
()||<黑点2><BGM>BGM_Empty</BGM>:깨끗한 물을 벌컥벌컥 마시고 나서야 마흐리안은 겨우 정신을 차렸다.+그런 그녀의 반응을 본 데린저와 콜리브리는 더욱 기운이 없어졌다.
VP1915(0)<Speaker>페로사</Speaker>||<BGM>m_avg_casual</BGM>:...너흰 마흐리안을 지켜봐, 내가 할게.
VP1915(0);Savage99(0)<Speaker>새비지</Speaker>||:오, 페로사의 요리는 간만이네요.
VP1915(0);Fedorov(0)<Speaker>표도로프</Speaker>||:저도 돕겠습니다.
