()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:......
()<Speaker></Speaker>||<黑屏2><BIN>322</BIN><BGM>BGM_Brain</BGM>:베를린 교외, 버려진 지하 공장 앞.
NPC-Machlian(7)<Speaker>마흐리안</Speaker><Position>0,-50</Position>||:......
NPC-Machlian(7)<Speaker></Speaker><Position>0,-50</Position>||:익숙한 대문이 다시 눈앞에 나타나자, 마흐리안의 안색은 차에서보다 훨씬 창백해졌다.+심장이 고동칠 때마다 가슴이 지끈거렸고, 이 앞에 선 것만으로 숨이 막혔다.
NPC-Machlian(7)<Speaker>지휘관</Speaker><Position>0,-50</Position>||:......
NPC-Machlian(7)<Speaker></Speaker><Position>0,-50</Position>||:그런 그녀의 등에, 지휘관이 부드럽게 손을 얹었다.
NPC-Machlian(6)<Speaker>마흐리안</Speaker><Position>0,-50</Position>||:...로빈.
NPC-Machlian(6)<Speaker></Speaker><Position>0,-50</Position>||:이런 작은 행동으로도, 마흐리안은 불안감이 사라졌다.+그녀의 호흡도 점점 안정됐다.
NPC-Machlian(6)<Speaker>지휘관</Speaker><Position>0,-50</Position>||:심장이 엄청 빨리 뛰는걸...+괜찮아?
NPC-Machlian(6)<Speaker>마흐리안</Speaker><Position>0,-50</Position>||:심장...이요?
NPC-Machlian(6)<Speaker></Speaker><Position>0,-50</Position>||:그 말에, 마흐리안도 자신의 가슴에 손을 얹어보았다.
NPC-Machlian(6)<Speaker>마흐리안</Speaker><Position>0,-50</Position>||:...로빈, 시체는 심장이 뛰나요?
NPC-Machlian(6)<Speaker>지휘관</Speaker><Position>0,-50</Position>||:엉?
AR15Mod(5)<Speaker>AR15</Speaker>;NPC-Machlian(6)<Position>0,-50</Position>||:드디어 정신이 나갔구나?
AR15Mod(5);NPC-Machlian(5)<Speaker>마흐리안</Speaker><Position>0,-50</Position>||:저는... 인간이에요.+제 심장은 제대로 뛰고 있어요.+저는 괴물이 아니에요, 심장이 뛰는 인간이에요.
AR15Mod(5);NPC-Machlian(5)<Speaker>지휘관</Speaker><Position>0,-50</Position>||:......
NPC-Machlian(5)<Speaker></Speaker><Position>0,-50</Position>||:그 혼잣말에, 마흐리안의 마음에서 용기가 샘솟았다.+그리고 굳게 닫힌 공장의 대문을 바라보다, 지휘관에게 고개를 돌렸다.
NPC-Machlian(5)<Speaker>마흐리안</Speaker><Position>0,-50</Position>||:로빈, 들어가요.
