()||<BIN>22</BIN><BGM>BGM_Room</BGM>:............같은시각, 그리폰 사령부의 공장부. 
NPC-Helian(0)<Speaker>헬리안</Speaker>||:크루거 님, 대형 운송기가 포탑의 회수 작업을 마쳤습니다. 
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Helian(0)||:아주 좋아, 의외의 수확이 꽤나 마음을 즐겁게 하는군. 
NPC-Kyruger(0);NPC-Helian(0)<Speaker>헬리안</Speaker>||:(웃음) 이것과 당신께서 지난번에 하신 일과 상관이 있으신가요? 
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Helian(0)||:완전 부인은 못 하겠군.+게다가 군의 기술동향을 파악하고 있는 PMC는 몇 없으니 말일세. 
NPC-Kyruger(0);NPC-Helian(0)<Speaker>헬리안</Speaker>||:그 외, 지휘관이 아직 전선에 있는데, 이제 철수 명령을 내릴까요? 
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Helian(0)||:아직 그럴 필요는 없네.+만약, 그 지휘관이 아직 더 버틸수 있다면, 계속 작전을 수행하게 하게나.+철수 이후에 작전 결과에 따라 표창을 내릴걸세. 
NPC-Kyruger(0);NPC-Helian(0)<Speaker>헬리안</Speaker>||:당신께선...그 지휘관의 한계를 시험해보고 싶으신 건가요? 
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Helian(0)||<BGM>BGM_Empty</BGM>:시험이 아니라, 발굴일세.+언젠가 우리가 사용할 수 있도록.+헬리안, 404에 관한 일, 목격자의 마인드맵의 정리는 다 했는가? 
NPC-Kyruger(0);NPC-Helian(0)<Speaker>헬리안</Speaker>||:네, M16A1을 제외하고는요. 아직 일부분이 남아있습니다......
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Helian(0)||:알겠네, 그건 404 이전의 일, 대수롭지 않은 일이지.+그녀들에게 휴가를 주게나, 그녀들에게 필요할 걸세.+어쩌면, 우리 모두 필요하겠지. 
NPC-Kyruger(0);NPC-Helian(0)<Speaker>헬리안</Speaker>||<BGM>BGM_Sunshine</BGM>:지휘관이 돌아오길 기다린 뒤에, 어쩌면 파티를 열어줘야 겠군요....+제일 좋은 건....온화한 걸로요.+봄, 기념일, 승리 그리고 아름다운 모든 것들을 위해....+...지휘관 그리고 인형들에게, 다들 이번에 엄청 고생했으니까요. 
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Helian(0)||:문제없네. 자네가 진행하도록. 
NPC-Kyruger(0);NPC-Helian(0)<Speaker>헬리안</Speaker>||:당신의 몫도 있어요. 크루거 님. 그렇게 딱딱하지 않은 축하의 말이라도 준비해주시죠. 
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Helian(0)||:그거 참 난제로군.+그 지휘관이 오기전까지 이 난제를 해결할 수 있을지 확실치가 않군. 
NPC-Kyruger(0);NPC-Helian(0)<Speaker>헬리안</Speaker>||:걱정마세요. 지휘관은 오래 버틸 거니까요.+내기하실래요? 누구의 일이 먼저 끝날지요? 
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Helian(0)||:그거 참 기대되는군....
()||<黑屏1>:【도움말】 계속해서 철혈의 공세를 막아내면 더 많은 포상을 얻을 수 있습니다. 
