()<Speaker>지휘관</Speaker>||:헌터, 화이트데이 선물이야.+이번엔 정말 수고 많았어.
BOSS-3(2)<Speaker>헌터</Speaker><Position>290,-150</Position>||:그 정도의 눈치는 있어서 다행이군.+그런데, 내가 도와서 만든 초콜릿을 선물로 주다니...
()<Speaker></Speaker>||:헌터는 무덤덤한 표정으로 초콜릿을 받으면서도 신랄한 말을 툭 던졌다.
()<Speaker>지휘관</Speaker>||:끄응... 찔리긴 했는데 가차없구나.
()<Speaker></Speaker>||:지휘관은 멋쩍게 웃었다.
()<Speaker>지휘관</Speaker>||:다른 걸 원한다면 따로 준비할게.+다만 이건 내 마음이 담긴 선물로 받아 줬으면 해.
BOSS-3(2)<Speaker>헌터</Speaker><Position>290,-150</Position>||:후훗, 농담이다. 그리 진지해질 것 없어.+애당초 이번 사태는 우리 철혈의 잘못이니 말이지.
BOSS-3(2)<Speaker>지휘관</Speaker><Position>290,-150</Position><同时置暗>||:철혈이든 그리폰이든, 그게 무슨 상관이야.+지금은 모두 한가족이잖아?
BOSS-3(2)<Speaker>헌터</Speaker><Position>290,-150</Position>||:......
BOSS-3(2)<Speaker>지휘관</Speaker><Position>290,-150</Position><同时置暗>||:헌터?
BOSS-3(2)<Speaker>헌터</Speaker><Position>290,-150</Position>||:고맙다, 지휘관.
BOSS-3(2)<Speaker>지휘관</Speaker><Position>290,-150</Position><同时置暗>||:...천만에.
()<Speaker></Speaker>||:......
