()||<BIN>10</BIN>:
()<Speaker></Speaker>||<SE1>AVG_tele_connect</SE1>:......+삑.+통신 연결.
()<Speaker>지휘관</Speaker>||:<color=#00CCFF>SIG? 지금 초소에 있어?</color>
SIGMCX(0)<Speaker>SIG MCX</Speaker>||:응응, 지금 경계 중이야.
()<Speaker>지휘관</Speaker>||:<color=#00CCFF>좋아, 미안하지만 지금부터 네게 포위망을 돌파하려는 패러데우스의 부대의 저지 임무를 맡겨야겠어.</color>
SIGMCX(0)<Speaker>SIG MCX</Speaker>||:패러데우스 부대? 내가? 정말로?
()<Speaker>지휘관</Speaker>||:<color=#00CCFF>소수 정예의 선봉 부대야.</color>+<color=#00CCFF>아무래도 산발적인 소규모 돌파 시도로 보여.</color>+<color=#00CCFF>다만 지금 우리의 주 병력은 방어선을 벗어날 수 없어.</color>+<color=#00CCFF>너밖에 없어, 부탁할게.</color>
SIGMCX(0)<Speaker>SIG MCX</Speaker>||:오오~ 알았어, 잘 해볼게.
()<Speaker>지휘관</Speaker>||:<color=#00CCFF>고맙다. 작전 도중 지원이 필요할 수도 있을 거야.</color>+<color=#00CCFF>그땐 최대한 도와줄 테니, 걱정 말고 언제든지 연락해.</color>
SIGMCX(0)<Speaker>SIG MCX</Speaker>||:OK~!
()<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1>:......+삑.+통신 종료.
