()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>527</BIN><黑屏2><narrator><BGM>GF_2022_Summer_AVG_4</BGM>:콜트 익스프레스.
()<Speaker></Speaker>||<SE1>AVG_Chimes</SE1>:딸랑.
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:방울 소리가 나자, 한가하게 좌석 위에 드러누웠던 캐서린이 벌떡 일어났다.
NPC-Scalper(1)<Speaker>캐서린</Speaker>||:매기!
NPC-Scalper(3)<Speaker>캐서린</Speaker>||:...뭐야 그 짐덩인?
()<Speaker></Speaker>||:허공에서 마술처럼 나타나 캐서린에게 윙크하는 매기의 옆구리엔 쪼끄만 소녀가 붙들려 있었다.
ColtWalker(2)<Speaker>매기</Speaker>||:거래로 지게 된 짐덩이지.
Erma(0)<Speaker>엘마</Speaker><Shake>0.1</Shake>||<SE1>Rope</SE1>:<size=50>이거 놔!</size>+<size=50>이 사기꾼! 배신자! 개X끼!</size>
NPC-Scalper(3)<Speaker>캐서린</Speaker>||:집에 알람 시계는 잔뜩 있잖아!
()<Speaker></Speaker>||<震屏3><SE1>AVG_XXS_kick</SE1>:엘마가 점점 더 격하게 발버둥치자, 매기는 쓴웃음을 지으며 그녀를 좌석에다 휙 던졌다.
ColtWalker(3)<Speaker>매기</Speaker>||:얌전히 있으셔.
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:물론 말을 들을 엘마가 아니었다.
Erma(0)<Speaker>엘마</Speaker>||:날 여기다 가두고 나쁜 짓할 셈이지?
Erma(0)<Speaker>엘마</Speaker>||:날 "서머 가든"에 가뒀던 것처럼!
()<Speaker></Speaker>||:매기를 노려보는 엘마의 눈은 분노보다는 증오에 가까운, 매우 복잡한 눈빛이었다.
NPC-Scalper(3)<Speaker>캐서린</Speaker>||:...무슨 가든?
ColtWalker(3)<Speaker>매기</Speaker>||:네 머리로는 말해 줘 봤자 못 알아먹을 게 뻔해서 말이지...+뭐 아무튼 가둘 생각은 없고, 그냥 좀 됐다고 할 때까지 얌전히 있어 줘.
Erma(0)<Speaker>엘마</Speaker>||:몰라 이... 이 사기꾼!+네 말 따위 안 믿어!
NPC-Scalper(0)<Speaker>캐서린</Speaker>||:하, 그럼 어디 한번 소리질러 보시든가!+너 납치된 거야! 목청 터져라 소리질러 봤자 아무도 구해주러 안 와!
Erma(0)<Speaker>엘마</Speaker>||:......
ColtWalker(3)<Speaker>매기</Speaker>||:......+너 내가 저질 드라마 작작 보라 했지?
NPC-Scalper(3)<Speaker>캐서린</Speaker>||:이씨... 우리 땅인데 연기하면 좀 어때.
()<Speaker></Speaker>||<SE1>AVG_20Winter_Door_Car_Open</SE1>:엘마는 캐서린에게 싸늘한 눈빛을 흘리더니, 곧장 창문을 열고 밖으로 뛰어내렸다.
()<Speaker></Speaker>||<SE1>AVG_XXS_kick</SE1><controll_shake>%%type_id=2%%duration=2%%delay=0.1%%range=8</controll_shake>:타앗!
NPC-Scalper(3)<Speaker>캐서린</Speaker>||:<size=50>어어!?</size>
()<Speaker></Speaker>||<SE1>AVG_20Winter_Door_Car_Open</SE1>:매기는 힐끗 보고선 자기 일 아니라는 듯 바의 선반으로 가 데킬라 한 병을 집었다.
ColtWalker(2)<Speaker>매기</Speaker>||<SE1>AVG_va_addingredient</SE1>:냅둬.+죽으면 내 탓이지 뭐.
()<Speaker></Speaker>||<SE1>AVG_XXS_kick</SE1><controll_shake>%%type_id=2%%duration=2%%delay=0.1%%range=8</controll_shake>:콰당!
()<Speaker></Speaker>||:잠시 후 엘마는 짐 선반 위에 나타나고 다시 좌석 위로 떨어졌다.
Erma(0)<Speaker>엘마</Speaker>||<SE1>ClothingUp</SE1>:......
ColtWalker(2)<Speaker>매기</Speaker>||:투신으로 부족하면 밧줄 줄 테니까 목 매달아 보던가.+아 근데 목 매달아 죽은 인형은 본 적이 없네. 뭐어, 밑져야 본전 아니겠어?
Erma(0)<Speaker>엘마</Speaker>||:......
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:엘마는 매기의 조롱에도 아랑곳하지 않고 테이블을 짚고 의자 위로 올라섰다.+그리곤 매서운 눈초리로 차량 안을 찬찬히 살펴봤다.
NPC-Scalper(0)<Speaker>캐서린</Speaker>||:설마 진짜 하게?
Erma(0)<Speaker>엘마</Speaker>||:...너, "여기" 엄청 아끼지?
ColtWalker(2)<Speaker>매기</Speaker>||:두말하면 잔소리지. 이렇게 고풍스럽게 잘 꾸며진 열차를 구경하는 걸 행운으로 여기셔.
Erma(0)<Speaker>엘마</Speaker>||:내가 "콜트 익스프레스"를 박살내겠다고 한 거 기억해?+내가 그냥 농담하는 줄 알았다면 큰 착각이야!
Erma(9)<Speaker>엘마</Speaker>||:서머 가든에 비하면 이런 열차 같은 레벨 2 플랫폼은 솜사탕이나 마찬가지라고!
NPC-Scalper(3)<Speaker>캐서린</Speaker>||:아니 뭔 비유가――
Erma(0)<Speaker>엘마</Speaker>||<BGM>BGM_Empty</BGM>:<size=50>빈틈투성이란 말이야!!</size>
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:엘마가 대뜸 차렷 자세를 취했다.+이를 본 매기와 캐서린이 어리둥절해하며 입을 열려던 그 순간――
()<Speaker></Speaker>||<controll_shake>%%type_id=2%%duration=2%%delay=0.1%%range=8</controll_shake><SE1>AVG_Door_Hit</SE1>:뻐엉!
()<Speaker></Speaker>||<BGM>GF_22W_BGM_4</BGM>:엘마의 가녀린 몸이 로켓처럼 솟구쳐, 열차가 달리는 반댓방향으로 날아가 지나치는 테이블과 좌석을 박살냈다.+그리고 벽과 문, 클래식한 열차칸에 커다란 구멍을 뚫으며 저멀리 사라졌다.
NPC-Scalper(3)<Speaker>캐서린</Speaker>||:우와아악!?!!+매, 매기! 열차가!!
