()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>528</BIN><narrator>:대륙간 열차 "미래호" F09 식당차.
()||<白屏1><BGM>GF_2022_Summer_AVG_3</BGM>:......+식당차 안의 인형들은 겉으론 조용해 보였지만, 그들의 의식은 다른 플랫폼에서 난리를 치고 있었다...
()||<白屏2><BIN>249</BIN><SE1>AVG_tele_connect</SE1>:...엘마가 구축한 통신 채널 안.
()<Speaker>인형A</Speaker>||:<color=#00CCFF>뭐? 강도하고 싸운다고!? 미쳤어!?</color>+<color=#00CCFF>우린 그냥 평범한 민수용 인형이란 말이야.</color>
()<Speaker>인형B</Speaker>||:<color=#00CCFF>나, 난 못해, 저 사람들이 얼마나 무서운지 넌 모른다고!</color>+<color=#00CCFF>게다가 난 무기도 없고...</color>
()<Speaker>인형C</Speaker>||:<color=#00CCFF>그리고 우린 지금 멀쩡하잖아...</color>+<color=#00CCFF>그냥 얌전히 있으면 건드리지 않을 텐데...</color>+<color=#00CCFF>밥솥한테 성질부리는 사람 없잖아?</color>
NPC-TD_Worker(1)<通讯框><Speaker>폴</Speaker>||:<color=#00CCFF>위치 9호차.</color>+<color=#00CCFF>도적 열둘, 간수 인형 셋.</color>+<color=#00CCFF>소체 기능 이상 무.</color>
()<Speaker>인형A</Speaker>||:<color=#00CCFF>너, 너 진짜 싸우게...?</color>
NPC-TD_Worker(1)<通讯框><Speaker>폴</Speaker>||:<color=#00CCFF>나는 예전에 시베리아 생명선 프로젝트에서 일했다. 바로 이 미래호가 달리는 노선이지.</color>+<color=#00CCFF>이 열차의 사양과 구조 모두 잘 알고 있다.</color>+<color=#00CCFF>날 재가동시켜 주면 너희와 함께할 수 있다.</color>
()<Speaker>인형D</Speaker>||:<color=#00CCFF>...저기 잠깐, 나도 구해줘!</color>+<color=#00CCFF>나, 나는 서커스단에서 공연하는 인형이라 소체가 엄청 유연해.</color>+<color=#00CCFF>그리고 잘 생각해보니 인간을 상대하는 것쯤 그렇게 무섭지도 않을 거야!</color>
()||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>삐삑.</color>
()||:<color=#00CCFF>채널이 묵음 모드가 되었습니다.</color>
