()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>313</BIN>:...니콜라스가 돌아온 날.
()||<BGM>GF_Swim_Marnie</BGM>:사하로프의 관할 구역에 있는 술집.+니콜라스는 침이 마르도록 자신의 1년간의 경력을 자랑했다. 류바 할멈은 계속 조용히 듣기만 할 뿐 아무 반응도 보이질 않았다.
NPC-NervousMan(0)<Speaker>니콜라스</Speaker>||:...왜 아무 말씀도 없으시죠, 류바 할멈?
()||:그가 얘기를 다하자, 류바 할멈은 그를 경멸하듯 비웃고선, 다니엘에게 휠체어를 밀어 휴게실로 가라고 지시했다.
NPC-Bodyguard1(0)<Speaker>다니엘</Speaker>||:......
NPC-Bodyguard1(0);NPC-NervousMan(1)<Speaker>니콜라스</Speaker>||:야, 다니엘. 오랜만이네.
NPC-Bodyguard1(0)<Speaker>다니엘</Speaker>;NPC-NervousMan(1)||:오랜만입니다, 니콜라스 씨.
NPC-Bodyguard1(0);NPC-NervousMan(1)<Speaker>니콜라스</Speaker>||:과연 내가 눈여겨본 자식이야, 벌써 류바 할멈의 휠체어 담당까지 올라갔냐.
NPC-Bodyguard1(0)<Speaker>다니엘</Speaker>;NPC-NervousMan(1)||:니콜라스 씨 밑에서 계속 일하지 못해 아쉽군요.+그래도 류바 할멈을 모시면서 큰 수확을 얻었습니다. 최소한 임무를 망치는 일은 없었지요.
NPC-NervousMan(1)<Speaker>니콜라스</Speaker>||:......+거 축하할 일이네.
()||<SE1>AVG_Wheelchair</SE1><黑屏1><BGM>BGM_Empty</BGM>:다니엘은 류바 할멈을 모시고서 떠났다.+뒤에선 니콜라스의 인생사 연설이 이어졌다.
()||<黑屏2><BIN>97</BIN><Night><BGM>BGM_stage10</BGM>:...류바 할멈의 침실 문 앞.+여기까지 말이 없던 류바 할멈이 마침내 입을 열었다.
NPC-OldLady(0)<Position>0,180</Position><Speaker>류바 할멈</Speaker>||:...다니엘, 넌 어떻게 보냐?
NPC-OldLady(0)<Position>0,180</Position>;NPC-Bodyguard1(0)<Speaker>다니엘</Speaker>||:아무래도 니콜라스 씨는 단단히 사기당한 것 같습니다...
