()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<BIN>9</BIN><SE1>AVG_20Winter_Chains_Break</SE1>:......+왠지 모르게 어눌한 목소리가 어둠을 뚫고 살며시 내게 다가왔다.
()<Speaker>폴?</Speaker>||:그래, 폴이야.
NPC-SickGirl(0)<Speaker>나</Speaker>||:폴...
NPC-SickGirl(0)<同时置暗><Speaker></Speaker>||:나는 손에 잡힌 물건을 만져봤다. 따뜻하고 부드러운 손이 아니라, 차가운 쇳덩이였다.+인간이 죽어 몸에서 온기가 사라졌을 때보다도 차가운 쇳덩이였다.
NPC-SickGirl(0)<Speaker>나</Speaker>||<BGM>GF_21winter_avg_mahaline</BGM>:...다행이다, 무사했구나.+그럼 우린 이제 어디로 가야 해?
NPC-SickGirl(0)<同时置暗><Speaker>폴?</Speaker>||:어... 우선, 네 안색이 아주 안 좋아 보여. 아무래도 충전...이 아니라 충분한 영양을 섭취해야...+그래, 뭣 좀 먹어야겠네. 뭣 좀 먹어야...
NPC-SickGirl(0)<Speaker>나</Speaker>||:응... 그러고 보니 나 배고파졌어...
NPC-SickGirl(0)<同时置暗><Speaker>폴?</Speaker>||:그럼 여기서 기다려, 내가 가서 먹을걸 찾아 올게.
()||:그의 목소리는 어눌하고 투박했지만, 상냥하고, 조심스럽고, 무척 안심이 됐다.
()||<SE1>ClothingUp</SE1>:나는 그가 떠나기 전 정리해 준 구석에 얌전히 앉아 그를 기다렸다. +몸을 조금 뒤척이니 골판지가 부스럭대는 소리가 났다. 내게 작은 성이라도 지어 준 걸까?
()<Speaker>폴?</Speaker>||:연약한 장미꽃...+유리 덮개로 보호해야 ...
NPC-SickGirl(0)<Speaker>나</Speaker>||:......
()||<黑屏1>:그의 낮게 중얼거리는 목소리가 점차 멀어졌다.+어둠 속이지만 포근하게 앉아있으니, 옛날 항상 내게 안식처가 되어 줬던 옷장이 떠올랐다.
()||<黑屏2><BIN>466</BIN><回忆>:......+브레멘, 버얼 고아원.
()||<震屏3><SE1>AVG_21Winter_Phone_Crash</SE1>:쾅!+딱딱한 물건이 내 등에 맞고 바닥에 떨어져 큰 소리가 났다.+뒤에서 애들 몇 명이 악마처럼 웃는 소리가 났지만, 나는 뒤돌아볼 수도, 소리낼 수도 없었다. 그저 아직 기억하는 길을 따라 벽을 짚으며, 안전한 내 기지로 달리기만 했다.
()<Speaker>에스텔</Speaker>||<SE1>RunStep</SE1>:당장 나와, 장님아!
()<Speaker>리나</Speaker>||<SE1>RunStep</SE1>:그래 얼른 나와, 내가 눈 고쳐 줄게! 깔깔깔――
()||<SE1>Rope</SE1>:좁은 옷장. 여긴 나만 아는 곳이다.+창고 오른쪽 구석에 있는데, 앞에 잡동사니가 잔뜩 쌓여 있어서 모르는 사람은 여길 찾기 아주 어렵다.
()<Speaker>리나</Speaker>||:빨랑 나와! 너 진짜 가만 안 둔다!?
()<Speaker>에스텔</Speaker>||:됐어 리나, 보나마나 지금 어디 구석에 숨어서 오줌 지렸을 거야.+문 앞에 숨자, 걔 나오면 놀래키게.
NPC-SickGirl(2)<Speaker>나</Speaker>||:......
()||<SE1>AVG_Door_Hit</SE1>:그 애들은 깔깔대며 창고에서 나갔다. 하지만 정말 문 앞에서 매복하고 있는지, 흥미를 잃고 떠났는지는 알 수 없었다.
()||<黑屏1><SE1>Rope</SE1>:그래서 난 계속 옷장 안에 웅크린 채, 시간이 많이 지나길 기다렸다.
()||<黑屏2><BIN>9</BIN><SE1>ClothingUp</SE1><关闭蒙版>:......+부스럭부스럭.+누가 상자를 들어올렸다. 폐지를 모으는 사람일까?+나는 잔뜩 웅크렸다.
()<Speaker>폴?</Speaker>||:먹을 걸 가져왔어. 네가 먹을 수 있는 건진 잘 모르겠지만...
()||<SE1>ClothingUp</SE1>:내 코앞에서 군침 도는 향기가 났고, 나는 생각할 겨를도 없이 그걸 덥석 잡아 우적우적 씹어먹었다.+문득 생각해 보니, 마지막으로 음식다운 음식을 먹은 게 사흘 전이었던 것 같다. 그때 길가에서 운 좋게 차갑지만 상한 냄새가 나지 않는 빵을 주워 먹었으니까.
()<Speaker>폴?</Speaker>||:천천히 먹어, 아무도 안 뺏어가.
NPC-SickGirl(0)<Speaker>나</Speaker>||:응... 고마워...
NPC-SickGirl(0)<同时置暗><Speaker></Speaker>||<SE1>AVG_20Winter_Chains_Break</SE1>:녹슨 부품이 삐걱이는 소리가 났다.+그리고 그가 내 옆에 앉은 것이 느껴졌다. 약간 거리를 두긴 했지만.
NPC-SickGirl(0)<Speaker>나</Speaker>||:넌... 안 먹어?
NPC-SickGirl(0)<同时置暗><Speaker>폴?</Speaker>||:나는―― 나는 방금 먹고 왔어.
()||<黑屏1><SE1>Rope</SE1>:따뜻하고 맛있는 음식으로 배를 채우니, 무척이나 안심되고 행복해 눈물이 났다.+나는 지금까지 손길조차 느껴본 적 없는 내 부모님이 왜 나를 이런 세상에 버렸는지 셀 수도 없이 원망했다.+하지만 따뜻한 음식만이, 울분을 잠시 내려놓고 내가 아직 살아있음을 진심으로 감사하게 했다.
()||<黑屏2><BIN>466</BIN><回忆>:브레멘, 버얼 고아원.
()||:옷장에서 얼마나 숨어있었을까, 난 꾸벅꾸벅 졸다 잠들었다.
