()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><BIN>548</BIN><Night><BGM>GF_Swim_Marnie</BGM><SE1>AVG_footsteps_woodfloor</SE1>:이른 새벽부터 난데없는 성난 발구름에, 낡은 장판 바닥이 삐걱삐걱 비명을 질러댔다.+셰릴의 평소 생활 습관상 깨어 있을 시각이 아니었지만, 지금 그녀의 집은 도둑이라도 든 것마냥 난장판이 따로 없었다.
NPC-Cheryl(4)<Speaker>셰릴</Speaker><Position>0,-100</Position>||<SE1>Stop_AVG_loop</SE1>:――아 그러니까! 이건 소비자 권리를 심각하게 침해하는 일이라니까요!?
NPC-Cheryl(4)<Speaker>셰릴</Speaker><Position>0,-100</Position>||<SE1>AVG_Punch</SE1><震屏3>:<size=50>이게 간판 사기지 뭐냐고 진짜! 얼마 전에 싸구려 로봇 청소기를 고급 인형으로 속여서 팔다 잡힌 사건이랑 뭐가</size> 달라...
()<Speaker></Speaker>||:통화기에 대고 마구 소리를 지르던 그녀가 갑자기 고개를 홱 돌리며 다시 목청을 높였다.
NPC-Cheryl(4)<Speaker>셰릴</Speaker><Position>0,-100</Position>||:<size=50>차라리 로봇 청소기를 팔던가!</size>
NPC-Cheryl(4)<Position>0,-100</Position>;NPC-Quimby(0)<Speaker>큄비</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>너무 화내지 마세요 고객니임~</color>+<color=#00CCFF>제보하신 문제는 이미 전달했어요, 저희 부점장님 출근하시면 바로 처리해 드릴 테니 잠시만 기다려 주세요~</color>
NPC-Cheryl(4)<Speaker>셰릴</Speaker><Position>0,-100</Position>;NPC-Quimby(0)||:지금 화를 안 내고 배겨요?!+아 진짜 못 참아, 당장 매니저 바꿔요! 10초 안으로 안 바꾸면 소비자 보호원에다 고발할 거야!
NPC-Quimby(0)<Speaker>큄비</Speaker><通讯框>||<BGM>BGM_Empty</BGM>:<color=#00CCFF>아아아 부점장님 딱 마침 오셨네요, 바로 통화 바꿔드릴게요!</color>
NPC-Scalper(0)<Speaker>캐서린</Speaker><通讯框>||<BGM>GF_2022_Summer_AVG_1</BGM><SE1>AVG_tele_connect</SE1>:<color=#00CCFF>전화 받았습니다, 무슨 일이세요?</color>
NPC-Cheryl(4)<Speaker>셰릴</Speaker><Position>0,-100</Position>;NPC-Scalper(0)||:제가 저번 주에 당신네 가게에 주문한 최신형 고급 인형 말이에요! 금발 벽안에, 슈퍼모델급 몸매에, 각종 편의 기능 탑재에 어깨 안마도 프로 수준인――
NPC-Cheryl(4)<Position>0,-100</Position>;NPC-Scalper(0)<Speaker>캐서린</Speaker><通讯框>||:<color=#00CCFF>이미 수령하셨다고 되어 있는데요?</color>
NPC-Cheryl(4)<Speaker>셰릴</Speaker><Position>0,-100</Position><Shake>0.1</Shake>||<SE1>AVG_Punch</SE1>:<size=50>그 도착한 물건이 저게 뭐냐고요!</size>
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:셰릴은 기다렸다는 듯이 발을 구르며 통화기의 카메라를 구석에 산처럼 쌓인 잡동사니 더미에 향했다.+속에서 무언가 꿈틀거리는 게 분명한 더미에.
NPC-Scalper(0)<Speaker>캐서린</Speaker><通讯框>||:<color=#00CCFF>아아, 보이네요. 저게 손님이 받으신 인형이라고요?</color>
NPC-Cheryl(4)<Speaker>셰릴</Speaker><Position>0,-100</Position>;NPC-Scalper(0)||:네! 저 쓰레기가 제가 주문한 거 맞다고 어디 한번 말해봐요!
NPC-Cheryl(4)<Position>0,-100</Position>;NPC-Scalper(0)<Speaker>캐서린</Speaker><通讯框>||:<color=#00CCFF>어... 고객님의 심정 이해합니다, 뭔가 잘못된 거 같네요. 잠시만 기다려 주세요, 당장 저희 창고를 확인해볼게요.</color>
NPC-Cheryl(4)<Speaker>셰릴</Speaker><Position>0,-100</Position>||<SE1>AVG_tele_disconnect</SE1>:네?! 저기요! 아직 나 말 안 끝났――
()<Speaker></Speaker>||<SE1>AVG_tele_connect</SE1>:상대가 멋대로 통화를 끊어버렸다.+셰릴은 통화기를 부숴버릴 기세로 곧장 다시 전화를 걸었지만, 몇 번을 시도해도 소용없었다.
