()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><BIN>9</BIN><BGM>GF_21winter_battle_1</BGM><回忆><SE1>AVG_2022Saros_Gunfight</SE1><narrator>:2051년 케찰코아틀 작전 당시, "죽음의 바다".
()||<黑屏1>:
()<Speaker></Speaker>||<黑点2><BIN>547</BIN>:건물과 연결된 관로의 출구.+초연이 자욱한 밖은 아직도 포화가 교차했다.
()<Speaker></Speaker>||<SE1>AVG_2022Saros_SCARH2</SE1><震屏3><SE1>AVG_Bullet_Drop</SE1>:이를 배경으로, 아마리스는 침착하게 견착한 총의 방아쇠를 당겼다.
()<Speaker></Speaker>||<SE1>AVG_XXS_kick</SE1>:고꾸라진 것은 적 병사였다.
()<Speaker>아마리스</Speaker>||<SE1>AVG_2022Saros_SCARH3</SE1>:A12 포인트 클리어.
NPC-SCAR-L(1)<Speaker>엘리아나</Speaker><通讯框>||:<color=#00CCFF>수신.</color>
()<Speaker>아마리스</Speaker>||:엘리아나, 무리야. 더는 전진 못해.
()<Speaker>아마리스</Speaker>||:...엘리아나? 이봐, 내 말 들려?
()<Speaker></Speaker>||<SE1>AVG_Bullet_Hit_Wall</SE1><震屏3>:타앙!
()<Speaker></Speaker>||<SE1>AVG_Cloak_Whoosh</SE1>:너머에서 총탄 한 발이 날아오자 아마리스는 바로 몸을 굴렸고, 총탄은 벽을 스치고 멀리 날아갔다.
()<Speaker></Speaker>||<controll_shake>%%type_id=2%%duration=3%%delay=0.1%%range=5</controll_shake><SE1>AVG_Gatling_gun</SE1>:하지만 이는 그저 전조였다. 이윽고 더 많은 화력이 그녀의 위치로 쏟아져, 벽과 바닥 가리지 않고 무수한 탄흔을 그렸다.
()<Speaker></Speaker>||<SE1>AVG_Helicopter</SE1>:설상가상으로, 건물 외부에서 헬리콥터의 로터 소리까지 들렸다.
()<Speaker></Speaker>||<SE1>RunStep</SE1>:아마리스는 급히 위치를 변경하고, 틈새 사이로 적의 숫자를 가늠했다.
()<Speaker>아마리스</Speaker>||:......치잇.+엘리아나, 적이 최소 6개 부대가 몰려오고 있어! 저것들 다 놈들의 정예일 거 아니야!
NPC-SCAR-L(1)<Speaker>엘리아나</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>버텨라.</color>
()<Speaker>아마리스</Speaker>||:어떻게!+GPS는 먹통이지, 탄약은 거의 다 떨어졌지, 지원은 안 오지, 아무것도 없다고! 아무것도 없이 어떻게 싸워!
NPC-SCAR-L(1)<Speaker>엘리아나</Speaker><通讯框>||:<color=#00CCFF>이 수밖에 없어, 놈들이 합류하기 전에 돌파해 "사형수"를 붙잡아야만 해!</color>
()<Speaker></Speaker>||:엄폐물 뒤에 겨우 몸을 숨긴 아마리스에게 그 말은 절망 그 자체였다.
()<Speaker>아마리스</Speaker>||:무리야... 우리의 쥐똥만한 화력으로 저걸 어떻게 뚫어?!
NPC-SCAR-L(1)<Speaker>엘리아나</Speaker><通讯框>||:<color=#00CCFF>...포기하지 마!</color>
()<Speaker>아마리스</Speaker>||:제기랄!+위성 통신이 안 끊어졌으면 지휘관도 진작에 퇴각 명령을 내렸을 거야!
NPC-SCAR-L(1)<Speaker>엘리아나</Speaker><通讯框>||:<color=#00CCFF>반응 속도를 7% 높이고, 유효 사격 명중률도 1.5% 상승시킨다면...</color>
()<Speaker>아마리스</Speaker>||:네 소체 성능 2배로 올려도 무리야!
()<Speaker>아마리스</Speaker>||<SE1>AVG_tele_connect</SE1>:유라! 나 대신 저 미치광이 좀 말려 봐!+유라! ...유라?
()<Speaker></Speaker>||:통신기에서 대답이 없었다.
()<Speaker>아마리스</Speaker>||:유라? 대답해 유라! 유라 언니!
()<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1>:"서광" 시스템에서 유라의 이름이 회색으로 변했다.+그리고 그것이 [말소]로 변하는 것도 똑똑히 보았다.
()<Speaker>아마리스</Speaker>||:<size=50>엘리아나!!!</size>+너 지금 정신 어따 뒀어, 유라랑 같이 있었잖아!!
