()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>577</BIN><BGM>BGM_Saga_AVG_Dusk</BGM><Night>:
()||<SE1>AVG_AMB_waves_and_seagulls_oneshot</SE1>:...바닷가의 밤풍경과 낮은 완전히 다르다.+낮의 바다는 평온하며, 깨끗한 파도가 물가에 부딪히며 부서진다.+하지만 밤의 바다는 고약하여, 모래를 잔뜩 머금은 탁한 파도가 해안에 덮치며 그 성질을 발등에 부딪친다.
()<Speaker>지휘관</Speaker>||:......
()||:당신은 홀로 바닷가를 걸으며, 이마를 스치는 바닷바람을 만끽했다.+이렇게 조용할 때, 평소 바쁜 일로 묻혀있던 종종 고민들이 수면 위로 떠오른다.
()<Speaker>지휘관</Speaker>||:저건...
()||:쨍쨍쨍... 샤미센의 소리가 파도가 부서지는 소리에 섞여 희미하게 들렸다. 소리 나는 쪽을 바라보니, 아리따운 모습이 홀로 바닷가에 서있었다.
NPC-Yugiri(4)<Speaker>유우기리</Speaker><Position>120,-150</Position><Scale>1.85</Scale><GradientShow>2</GradientShow>||:......♪
()<Speaker>지휘관</Speaker>||:......
()||:당신은 조용히 다가가 그녀가 흥얼거리는 곡조를 들었다, 그건 난생 들어 본 적 없는 곡이었다.
NPC-Yugiri(1)<Speaker>유우기리</Speaker><Position>120,-150</Position><Scale>1.85</Scale>||<SE1>Stop_AVG_loop</SE1>:...지휘관님?
NPC-Yugiri(1)<Speaker>지휘관</Speaker><Position>120,-150</Position><Scale>1.85</Scale><同时置暗>||:그냥 나와서 바람 쐬던 중이었어, 혹시 연주에 방해됐어?
NPC-Yugiri(4)<Speaker>유우기리</Speaker><Position>120,-150</Position><Scale>1.85</Scale>||:아니요.
()||:유우기리는 다정하게 웃으며 바치를 놓았다.
()<Speaker>지휘관</Speaker>||:네가 부른 적 없는 노래던데.
NPC-Yugiri(4)<Speaker>유우기리</Speaker><Position>120,-150</Position><Scale>1.85</Scale>||:제 고향의 가락이랍니다, 사가에선 흔히 듣지 못하겠죠...
NPC-Yugiri(4)<Speaker>지휘관</Speaker><Position>120,-150</Position><Scale>1.85</Scale><同时置暗>||:너 사가 태생이 아닌 거야?
NPC-Yugiri(4)<Speaker>유우기리</Speaker><Position>120,-150</Position><Scale>1.85</Scale>||:아니요, 원래는 에도에서 살다가, 한 나리를 따라 사가에 온 것이랍니다.
NPC-Yugiri(4)<Speaker>지휘관</Speaker><Position>120,-150</Position><Scale>1.85</Scale><同时置暗>||:나와 같은 이방인이었구나.
NPC-Yugiri(3)<Speaker>유우기리</Speaker><Position>120,-150</Position><Scale>1.85</Scale>||:비록 여기서 나고 자라진 않았지만, 사가는 제게 특별한 느낌을 주어요.
NPC-Yugiri(4)<Speaker>유우기리</Speaker><Position>120,-150</Position><Scale>1.85</Scale>||:마치 운명으로 이곳에 묶인 것처럼, 이곳을 떠나지를 못하고, 떠날 생각도 들지 않아요.
NPC-Yugiri(4)<Speaker>지휘관</Speaker><Position>120,-150</Position><Scale>1.85</Scale><同时置暗>||:그래...
()||:당신은 그 상냥한 눈빛에서 시선을 돌려 시커먼 해수면을 바라봤다.+그리폰 기지의 모습이 저 검은 장막에 어렴풋이 떠오르는 듯했다.
