()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><BIN>650</BIN><common_effect>%%code=AVG_xiaxue%%</common_effect>:......+베슬란 제1중학교.
()<Speaker></Speaker>||<BGM>BGM_23S_Winter_Night</BGM>:또 눈이 내린다.+뱉는 입김이 하얗게 얼어붙을 만큼 추운 날.
()||<黑点1><关闭蒙版>:
()<Speaker></Speaker>||<SE1>RunStep</SE1><黑点2><BIN>654</BIN><SE1>AVG_20Winter_Door_Open</SE1>:시니아는 종종걸음으로 교실에 와 문을 열었다.+매일 등교 시간보다 10분 일찍 오는 것은 자신이 반장임을 자각하기 위함.+하지만 오늘은 그뿐만이 아니었다. 교실이 텅 비어 자신의 숨소리만 들리는데도 시니아는 놀라지 않았다.
NPC-Sinia(0)<Speaker>시니아</Speaker><Position>0,-58</Position>||:......+모두, 마음을 정했구나.
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:나지막이 읊조리며 그녀는 휴대폰을 꺼냈다.
NPC-Sinia(0)<Speaker>시니아</Speaker><Position>0,-58</Position>||:<color=#00CCFF>위치에 도착. 목표는 아직 나타나지 않음.</color>
()<Speaker></Speaker>||<SE1>AVG_tele_connect</SE1>:삐익.
()<Speaker>영원의 불 작전 멤버</Speaker>||:<color=#00CCFF>알았다. 계획대로 움직인다.</color>+<color=#00CCFF>오늘, 우리는 그 죄인들을 철저히 심판한다.</color>
()<Speaker></Speaker>||<SE1>Heartbeat</SE1>:두근... 두근... 두근...+가슴이 고동쳤다. 그녀가 이런 일에 참여하는 것은 난생 처음이었고, 자기 자리에 앉자마자 앞으로 벌어질 일들의 시뮬레이션이 머릿속에서 떠나질 않았다.
NPC-Sinia(0)<Speaker>시니아</Speaker><Position>0,-58</Position>||:......+마사가 들어오면, 내가 대들어서 그걸 핑계로 교실 밖으로 뛰쳐나간다...+나오자마자 바로 앞문을 잠그고...+그녀가 반응하기 전에 뒷문도 잠그고...+그런 다음 메시지를 발송한다...+그걸로... 끝...
