()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><BIN>655</BIN><narrator>:친애하는 블랙웰에게.+나도 지금이 아직 "성배"를 재가동할 시기가 아니라고 생각하지만, 달리 방도가 없어.+나도 전에는 모든 준비가 갖춰지길 기다리려 했지만... 상황이 여의치 않았지.+과거의 자신이 정말 원망스러워. 그때 내가 좀 더 둥글게 타협했더라면, 망할 유적기구 놈들이 날 그렇게 몰아넣지도 않았을 텐데.+덕분에 미국에도 못 돌아가고 말이야. 외국인이 여기 현지 병원에서 덱사메타손 주사 한 대 맞으려면 사흘이나 기다려야 해.+...어쩌면, 과거의 내가 너무 나약했기 때문일지도. 기술적으로는 이미 실행 가능했는데, 단지 내가 겁먹어서, 다시 일어서지 못한 걸지도 몰라...+이젠 결심할 수밖에 없어, 과거의 이름을 버리고 "헬라"로 바꿨어.+내 품에서 눈을 감은 사나가, 어느날 다시 일어날 수 있기를.+2051년 모스크바에서, 마이트너가.
()||<黑屏1>:
()<Speaker></Speaker>||<SE1>AVG_Gunfire</SE1><黑屏2><BIN>99</BIN><narrator>:2051년 봄, 제3차 세계대전 발발 7년차.+광범위한 붕괴복사 오염과 치열한 재래식 전쟁에, 세계 인구는 급감했다.+거의 대부분의 사람들이 매일같이 보는 광경은 전쟁으로 초토화된 황무지.+희망을 상징하는 "초록"이 과연 언제 이 땅에 다시 돌아올지는, 아무도 알지 못했다.
()||<黑屏1>:
()<Speaker></Speaker>||<BGM>GF_EV9_Intermission</BGM><黑屏2><BIN>480</BIN>:태평양 서남측, 옐로우존의 어느 군도.
()<Speaker></Speaker>||<SE1>AVG_wind_grass</SE1>:초록빛 결정 가루들이 습기로 끈적한 바람에 실려 흩날리다 군홧발에 짓밟혔다.+방호복을 입은 알렉산더는 축축한 진흙 위에 서서, 불안정하게 깜빡이는 통신기의 신호감도 램프를 주시하고 있었다.
NPC-Alexander(0)<Speaker>알렉산더</Speaker><Position>0,60</Position>||:판, 레인저의 수송 차량에 움직임은?
NPC-Alexander(0)<Position>0,60</Position>;NPC-Pan(0)<Speaker>2분대장 판</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>보자아... 제길, 가시 범위가 푸시킨의 시보다 아리송하네...</color>+<color=#00CCFF>일단 저 차량은 아직은 주차된 채로 미동도 없어.</color>
NPC-Alexander(0)<Speaker>알렉산더</Speaker><Position>0,60</Position>;NPC-Pan(0)||:잘 지켜봐, 상황 발생 즉시 보고하고.
NPC-Alexander(0)<Position>0,60</Position>;NPC-Pan(0)<Speaker>2분대장 판</Speaker><通讯框>||:<color=#00CCFF>예이~</color>+<color=#00CCFF>아아, 얼른 이 빌어먹을 싸움을 끝내고 모스크바로 돌아가 내 뮤즈들에게 입맞춤하고 싶구나아~</color>
NPC-Alexander(0)<Speaker>알렉산더</Speaker><Position>0,60</Position>||:참 기특한 꿈이다 이 자식아, 소대장이 들으면 대신 군홧발에다 딥키스시켜 줄 거다.
()<Speaker></Speaker>||:그 말에 통신 채널의 다른 관측 초소 병사들이 키득였다.
NPC-Pan(0)<Speaker>2분대장 판</Speaker><通讯框>||:<color=#00CCFF><size=50>뭘 웃엄마!</size></color>+<color=#00CCFF>전장에 나가본 적도 없으면서 바로 소대장 딱지라니! 하여간 사관 학교 출신은 다르다니까.</color>+<color=#00CCFF>순정 총알받이인 우리하곤 천지 차이야.</color>
NPC-Alexander(0)<Speaker>알렉산더</Speaker><Position>0,60</Position>;NPC-Pan(0)||:요점이 뭔데?
NPC-Alexander(0)<Position>0,60</Position>;NPC-Pan(0)<Speaker>2분대장 판</Speaker><通讯框>||:<color=#00CCFF>아 물론 거기 나왔다고 다 이런 대접은 아니겠지. 요컨대 근본적인 수저 차이란 거야.</color>+<color=#00CCFF>오라비가 대위라고 벌써 마빡에다 별을 다섯 개 그려 넣을 기세라고!</color>
NPC-Alexander(0)<Speaker>알렉산더</Speaker><Position>0,60</Position>||:물어본 내가 잘못이지... 2번 초소나 잘 지켜.+우리 소대장이 이번에 처음 부대 끌고 임무 나온 거라 깔끔하게 완수할 생각일 텐데, 네가 망치기라도 했다간――
()<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1>:판은 투덜대며 통신을 꺼버렸다.
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:알렉산더가 절레절레 고개를 젓는 사이에 다른 통신이 들어와, 피곤에 찌든 목소리가 그에게 보고했다.
NPC-Wiktor(0)<Speaker>윅토르</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1><SE1>AVG_whitenoise</SE1>:<color=#00CCFF>알렉산더, 여기는 1번 초소. 낌새가 포착됐다.</color>
NPC-Alexander(0)<Speaker>알렉산더</Speaker><Position>0,60</Position>;NPC-Wiktor(0)||:놈들의 증원이 도착했어? 잠깐, 소대장에게 보고는 했어?
NPC-Alexander(0)<Position>0,60</Position>;NPC-Wiktor(0)<Speaker>윅토르</Speaker><通讯框>||:<color=#00CCFF>그 계집애한테 보고는 무슨, 내 눈에 소대장은 너뿐이라고.</color>
NPC-Alexander(0)<Speaker>알렉산더</Speaker><Position>0,60</Position>;NPC-Wiktor(0)||:...그래도 전장이니까 위계질서는 지켜라.
NPC-Alexander(0)<Position>0,60</Position>;NPC-Wiktor(0)<Speaker>윅토르</Speaker><通讯框>||:<color=#00CCFF>쨌든 증원은 아니고, 여기 1번 초소에서 무전 신호가 아주 잠깐 감지됐어. 이건 아마도...</color>
NPC-Alexander(0)<Speaker>알렉산더</Speaker><Position>0,60</Position>;NPC-Wiktor(0)||:...레인저의 통신 채널인가.+암호 해독 가능하겠어?
NPC-Wiktor(0)<Speaker>윅토르</Speaker><通讯框>||:<color=#00CCFF>불가능해, 복사 농도가 너무 높아서 우리보다 나이 많은 이 고물딱지들로 이렇게 신호가 잡힌 것도 기적이야.</color>
