()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
NPC-Pamzan(12)<Speaker>강글라티</Speaker><Position>0,-70</Position>||<BIN>658</BIN><Night><黑屏2><BGM>10082</BGM>:크하하하핫...!
()||:총은 이미 탄약이 바닥난 상태였지만, 그는 낮고도 거만하게 웃어젖혔다.+반면 안젤리아는 악으로 권총을 들었지만, 떨리는 손가락으로 방아쇠를 당기지 않았다.
NPC-Pamzan(12)<Speaker>강글라티</Speaker><Position>0,-70</Position>||:왜 안 쏘지? 내가 잘못 센 게 아니라면 아직 한 발 남았을 텐데.
NPC-Ange(19)<Speaker>안젤리아</Speaker>;NPC-Pamzan(12)<Position>0,-70</Position>||:......
NPC-Ange(19);NPC-Pamzan(12)<Speaker>강글라티</Speaker><Position>0,-70</Position>||:혹시, 자신을 위해 남기려는 거냐?
NPC-Ange(22)<Speaker>안젤리아</Speaker>;NPC-Pamzan(12)<Position>0,-70</Position>||:말해 줘, 대체 무슨 일이 있었던 거야?+네 몸에 대체 무슨 일이 있었던 거냐고!
NPC-Ange(22);NPC-Pamzan(13)<Speaker>강글라티</Speaker><Position>0,-70</Position>||:너는 그런 질문 할 자격 없어!+모든 비극의 원흉이, 형과 사나를 죽인 네놈이...!
NPC-Ange(22)<Speaker>안젤리아</Speaker>;NPC-Pamzan(13)<Position>0,-70</Position>||:그게 대체 무슨 소리야?!+베슬란의 일을 잊었어!?
NPC-Pamzan(13)<Speaker>강글라티</Speaker><Position>0,-70</Position>||<黑屏1>:죽어서도 잊을 수 없지!+베슬란에서, 그들이... 모두 네 총에 맞고 죽었는데!
NPC-Ahmin(0)<Speaker>아흐민</Speaker>||<黑屏2><BIN>654</BIN><边框>2</边框>:안젤리아... 어째서?
NPC-Sana(3)<Speaker>사나</Speaker><Position>0,210</Position>||<边框>2</边框>:언니, 총 치워... 무서워...
NPC-Ange(19)<Speaker>안젤리아</Speaker>||<边框>2</边框>:......
()||<边框>2</边框>:아흐민과 사나가 애원해도, 안젤리아는 총을 놓지 않았다.
()<Speaker>강글라티</Speaker>||<边框>2</边框>:뭐하는 거야 안젤리아! 당장 총 내려놔!
NPC-Ange(20)<Speaker>안젤리아</Speaker>||<边框>2</边框>:......
()||<SE1>RunStep</SE1><边框>2</边框>:뒤늦게 달려온 강글라티의 고함을 들은 안젤리아는 그저, 고개를 돌려 그를 보며 비웃었다.
()||<BIN>9</BIN><SE1>AVG_rifle_finalshot_h</SE1>:타앙!
()||<SE1>AVG_rifle_finalshot_3h</SE1><黑屏1>:탕탕탕!
NPC-Pamzan(10)<Speaker>강글라티</Speaker><Position>0,-70</Position>||<黑屏2><BIN>658</BIN><Night>:죽여버리겠어! 지금 당장 죽여버리겠어!
()||<SE1>RunStep</SE1>:분노가 치밀어 올라, 그는 텅 빈 총을 냅다 버리고 안젤리아에게 달려들었다.
()||<SE1>ClothingUp</SE1>:안젤리아는 바로 다른 엄폐물 뒤로 몸을 던졌다.
NPC-Ange(22)<Speaker>안젤리아</Speaker>||:그건 또 무슨 헛소리야! 내가 그들한테 총을 겨눌 리가 없는데...
NPC-Pamzan(13)<Speaker>강글라티</Speaker><Position>0,-70</Position>||:<size=50>죽인다! 죽인다! 죽인다!</size>
()||<SE1>RunStep</SE1><黑屏1>:분노로 피가 들끓어, 그는 손에 쥔 칼을 마구잡이로 휘둘렀다.
NPC-Sana(1)<Speaker>사나</Speaker><Position>0,210</Position>||<黑屏2><BIN>129</BIN><边框>2</边框>:선생님 언제 와?
NPC-Ahmin(1)<Speaker>아흐민</Speaker>||<边框>2</边框>:금방 오실 거야. 먼저 우유 식기 전에 마실까?
NPC-Sana(3)<Speaker>사나</Speaker><Position>0,210</Position>||<边框>2</边框>:나 우유 싫어, 오빠가 대신 마셔 줘!
()||<边框>2</边框>:따끈따끈한 우유컵이 그에게 내밀어졌다.
()<Speaker>강글라티</Speaker>||<边框>2</边框>:그럼 안 되지 사나, 선생님이 오셨을 때 네가 우유 안 마신 걸 알면 안 놀러 데리고 가실 거야.
NPC-Sana(4)<Speaker>사나</Speaker><Position>0,210</Position>||<边框>2</边框>:그건 싫은데... 흥, 오빠들 미워!
()||<黑屏1><边框>2</边框>:두 오빠의 상냥한 눈빛을 받으며, 사나는 우유컵을 비웠다.
NPC-Pamzan(13)<Speaker>강글라티</Speaker><Position>0,-70</Position>||<黑屏2><BIN>658</BIN><Night>:그 어린 애를... 총으로 쏴 죽여?+그렇게 순진하고 착했던 아이를...!+왜 네가 안 죽고 그 애가 죽어야 했지?! 왜!
NPC-Ange(22)<Speaker>안젤리아</Speaker>||:강글라티...+네 이름이 강글라티라고? 아니야!+네 이름은 그게 아니야! 진짜 이름을 떠올려 봐!
()||<SE1>AVG_Sword_Scope</SE1>:분노로 일그러진 얼굴로 포효하며, 그는 안젤리아가 숨은 엄폐물로 뛰어들었다.
NPC-Pamzan(10)<Speaker>강글라티?</Speaker><Position>0,-70</Position>||:지금 당장―― 죽여 주마!!!
()||<SE1>AVG_20Winter_Knife_Whoosh</SE1><黑屏1>:광소와 함께 그의 칼이 번쩍였다.
()||<黑屏2><BIN>7</BIN><SE1>AVG_pistol_finalshot_sup</SE1><边框>2</边框>:타앙――!+작고 노란 새가 추락해, 어깨까지 쌓인 눈밭에 툭 떨어졌다.
NPC-Sana(3)<Speaker>사나</Speaker><Position>0,210</Position>||<边框>2</边框>:앗... 내가... 내가 죽였어... 으으...
NPC-Sana(3)<Speaker>강글라티</Speaker><Position>0,210</Position><同时置暗>||<边框>2</边框>:사나, 울지 마.
NPC-Sana(3)<Speaker>사나</Speaker><Position>0,210</Position>||<边框>2</边框>:으에엥... 일부러 쏜 거 아닌데...+새 죽일 마음 없었는데...
NPC-Sana(3)<Speaker>강글라티</Speaker><Position>0,210</Position><同时置暗>||<边框>2</边框>:나도 알아, 그냥 나랑 함께 총놀이가 하고 싶었을 뿐이잖아. 사나는 잘못한 거 없으니까 울음 뚝.
NPC-Sana(3)<Speaker>사나</Speaker><Position>0,210</Position>||<边框>2</边框>:그치만 죽였는걸... 우에엥...
NPC-Sana(3)<Speaker>강글라티</Speaker><Position>0,210</Position><同时置暗>||<边框>2</边框>:자아 착하지? 울지 말고, 가서 선생님께 말씀드리자. 분명 방법이 있을 거야.
NPC-Sana(4)<Speaker>사나</Speaker><Position>0,210</Position>||<边框>2</边框>:저... 정말로...?
NPC-Sana(4)<Speaker>강글라티</Speaker><Position>0,210</Position><同时置暗>||<边框>2</边框>:그럼. 나도 이렇게 구해주셨는데, 작은 새면 얼마든지 구해주시겠지.
()||<黑屏1><边框>2</边框>:눈물 범벅인 사나의 얼굴을 닦아 주고, 강글라티는 함께 손을 잡고 눈밭 깊은 곳으로 걸어갔다.
NPC-Pamzan(10)<Speaker>강글라티?</Speaker><Position>0,-70</Position>||<Night><黑屏2><BIN>658</BIN><BGM>BGM_Empty</BGM>:사나는... 실수로 새 한 마리를 죽이고도 엉엉 우는 아이였는데...
NPC-Ange(19)<Speaker>안젤리아</Speaker>||:......
NPC-Pamzan(10)<Speaker>강글라티?</Speaker><Position>0,-70</Position>||:그런 사나를... 네가 어떻게!+내 하나뿐인 동생을, 나와 형이 함께 지켜주려 했던 여동생을...!
()||<SE1>Rope</SE1>:그는 안젤리아의 목을 움켜잡고 들어올렸다.+질식당해 안색은 점점 창백해졌고, 오른다리의 무릎 아래가 사라져 피가 철철 흘렀다.
NPC-Ange(21)<Speaker>안젤리아</Speaker>||<BGM>10244</BGM>:...나, 안 울었어.
NPC-Ange(21);NPC-Pamzan(10)<Speaker>강글라티?</Speaker><Position>0,-70</Position>||:아앙?
NPC-Ange(19)<Speaker>안젤리아</Speaker>;NPC-Pamzan(10)<Position>0,-70</Position>||:그 새를 죽였을 때, 난 안 울었다고...!
NPC-Ange(19);NPC-Pamzan(10)<Speaker>강글라티?</Speaker><Position>0,-70</Position>||:무슨 헛소리야?
NPC-Ange(19)<Speaker>안젤리아</Speaker>;NPC-Pamzan(10)<Position>0,-70</Position>||:네가...+네가 그 죽은 새를 집어서...+네가 일부러 쐈다고 나한테 거짓말했어...
NPC-Ange(19);NPC-Pamzan(10)<Speaker>강글라티?</Speaker><Position>0,-70</Position>||:......?
NPC-Ange(22)<Speaker>안젤리아</Speaker>;NPC-Pamzan(10)<Position>0,-70</Position>||:그 거짓말에... 난 네가 진짜 그렇게 못돼먹은 놈인 줄 알고...+널 두들겨 팼지...
NPC-Pamzan(13)<Speaker>강글라티?</Speaker><Position>0,-70</Position>||:닥쳐! 무슨 헛소리냐고!
()||<SE1>Rope</SE1>:안젤리아는 충혈된 눈으로, 필사적으로 목을 움켜쥔 손을 풀어 산소를 한 모금이라도 마시려 했지만, 혼란에 빠진 "강글라티"는 오히려 손을 더 세게 움켜쥐었다.
NPC-Ange(22)<Speaker>안젤리아</Speaker>||:큭... 이거 놔... 람잔...!
