SOPIIDamage(2)<Speaker>SOPII</Speaker>||:으으... 교체할 부품 또 못 찾겠어!
AR15(1)<Speaker>AR15</Speaker>||:괜찮겠어? 작전 능력에 지장 생길 거 같아?
SOPIIDamage(0)<Speaker>SOPII</Speaker>||:괜찮아 괜찮아, 아직 50판은 더 싸울 수 있어!
M4A1(1)<Speaker>M4A1</Speaker>||:...죄송해요.
SOPIIDamage(0)<Speaker>SOPII</Speaker>||:왜 사과해? 너한테 다친 거 아니잖아.
AR15(1)<Speaker>AR15</Speaker>||:......
M4A1(1)<Speaker>M4A1</Speaker>||:아뇨, 아까 제가 페르시카 씨에게 실험 중지를 요청했더라면...+그랬다면 지금 수복 캡슐에서 쉬고 있을 텐데...+제가 고집을 부려서 여러분까지 억지로 계속하게 됐어요...
SOPIIDamage(0)<Speaker>SOPII</Speaker>||:으으응, 수복 캡슐에 누워 있는 것보단 이게 훨씬 재밌어! 부품 살짝 건드리니까 쟤네들 아주 좋아 죽겠다고 소리 지르더라!
AR15(1)<Speaker>AR15</Speaker>||:네가 대장이니 우린 너의 지시를 따를 뿐이야.+이건 언제 어디서든 변하지 않아.
SOPIIDamage(0)<Speaker>SOPII</Speaker>||:걱정 마, 네가 하늘 저 멀리 날아가도 널 쫓아가 찾아내서 네 명령을 받을 테니까!
M4A1(1)<Speaker>M4A1</Speaker>||:전...
AR15(1)<Speaker>AR15</Speaker>||:그리고, 나도 M16 코를 납작하게 만들고 싶으니까.+이미 큰소리친 이상 실패도 중도 포기도 용납할 수 없어.
SOPIIDamage(0)<Speaker>SOPII</Speaker>||:응! 같이 M16을 알거지로 만들어 버리자구!
M4A1(1)<Speaker>M4A1</Speaker>||:아... 네!
AR15(1)<Speaker>AR15</Speaker>||:아까 살무사 작전 당시의 방안을 다시 복기해 봤는데, 그때 우리가 더 잘할 수 있었던 점이 몇 군데 있더라.
M4A1(1)<Speaker>M4A1</Speaker>||:그럼 같이 정리해봐요.
