 ()||<BIN>1</BIN><Night><BGM>BGM_Room</BGM>:......첫 번째 거점에 도달했다. 
MP5(0)<Speaker>MP5</Speaker>||:보고합니다. MP5, 목적지에 도착했어요! 
MG5(0)<通讯框><Speaker>MG5</Speaker>;MP5(0)||:잘 하고 있는 모양이네, 좀 무리한 임무가 아닐까 걱정했다고. 
MG5(0);MP5(0)<Speaker>MP5</Speaker>||:헤헤, 지휘관님이 잘 이끌어준 덕이죠, 조심할게요. 
MG5(0)<Speaker>MG5</Speaker>;MP5(0)||:좋아, 그러면 그 현지 정찰인형은 찾았어? 
MP5(0)<Speaker>MP5</Speaker>||:그게......어디로 갔는지 모르겠어요. 혹시 숨어있는 건가? 
MP5(0)<Speaker>??</Speaker>||:적지에서 정찰을 하는데, 숨어있는 게 당연한 거 아냐? 
MP5(0)<Speaker>MP5</Speaker>||<震屏>:꺅! 누, 누구?!
WA2000(0)<Speaker>WA2000</Speaker>;MP5(0)||:쉿......코앞에 철혈이 있는데, 그렇게 큰소리를 내는 건 죽고 싶다는 거야?! 
WA2000(0);MP5(0)<Speaker>MP5</Speaker>||:(작은소리로) 죄, 죄송합니다......WA2000 씨, 그쪽의 상황은 어떤가요? 
WA2000(0)<Speaker>WA2000</Speaker>;MP5(0)||:내 상황? 당연히 문제 없다구, 하지만 전장의 상황? 그건 말할 필요가 없을 것 같은데.+장갑을 두른 녀석들이 도처에 깔려있는데 어떻게 혼자서 온 거야? 
WA2000(0);MP5(0)<Speaker>MP5</Speaker>||<黑屏1>:저요? 저는 현지 지휘관님이 호송해준 덕분에 왔어요. 
WA2000()<Speaker>WA2000</Speaker>||<BIN>9</BIN>:에? 뭐라고?!+야! 갑자기 지휘관을 바꿔주면 어떡해! 
MP5()<Speaker>MP5</Speaker>||:쉿......조용히 해주세요. 철혈이 근처에 있다고요! 
WA2000()<Speaker>WA2000</Speaker>||:(작은 소리로) 아, 알겠어, 네가 알려줄 필요 없다고......
WA2000(0)<Speaker>WA2000</Speaker>||<黑屏1>:저기.......당신이 그 S09 구역 지휘관이야?+에...협조해줘서 고마워, 그리고......+......아니,그...당신께 경의를 표합니다! 보고 종료. 
MP5(0)<Speaker>MP5</Speaker>||<BIN>1</BIN><黑屏2><Night>:에? 그게 끝인가요? 
WA2000(0)<Speaker>WA2000</Speaker>;MP5(0)||:우리는 인형이야, 임무만 완수하면 되는 거 아냐? 
WA2000(0);MP5(0)<Speaker>MP5</Speaker>||:하지만......얼굴이 빨개진거 같은데요? 설마 부끄러워서 그런다던지? 
WA2000(0)<Speaker>WA2000</Speaker>;MP5(0)||:어, 어딜 봐서! 다시 말하지만, 나는 임무를 위해서 태어났다고, 소통에 능하지 않은 건 아주 정상이야! 
WA2000(0);MP5(0)<Speaker>MP5</Speaker>||:맞다는 건가요, 틀리다는 건가요....
WA2000(0)<Speaker>WA2000</Speaker>;MP5(0)||:잡소리는 그만하고, 정찰 리포트 회수하러 온 거지? 회수했으면 어서 가버리라구!
WA2000(0);MP5(0)<Speaker>MP5</Speaker>||:고맙습니다. WA 씨, 그리고 여기 보급품이 있어요. G36 씨가 WA 씨를 위해서 특별히 준비한 거예요. 
WA2000(0)<Speaker>WA2000</Speaker>;MP5(0)||:아......초콜릿 아이스크림이네? 역시 G36, 나를 잘 안다니까.+이거 남들한테 말하기 없기야......WA2000이 아이스크림을 좋아한다고? 웃기잖아, 그거. 
WA2000(0);MP5(0)<Speaker>MP5</Speaker>||<黑屏1>:저기......죄송합니다......+사실......지휘관님과의 통신이 계속 열려 있었는데......
WA2000()<Speaker>WA2000</Speaker>||<BIN>9</BIN>:..................+......진작 말하란 말야! 
