 ()||<BIN>1</BIN><Night><BGM>BGM_Sunshine</BGM>:......두 번째 거점에 도착했다. 
MP5(0)<Speaker>MP5</Speaker>||:저기......누구있나요? 
P7(0)<Speaker>P7</Speaker>;MP5(0)||:이야, MP5구나! 웰컴 웰컴! 
P7(0);MP5(0)<Speaker>MP5</Speaker>||:안녕하세요. P7 양.
P7(0)<Speaker>P7</Speaker>;MP5(0)||:안녕안녕, 오는 동안 고생했어! 일단 앉아서 간식이라도 먹자고! 
P7(0);MP5(0)<Speaker>MP5</Speaker>||<黑屏1>:아......가, 감사합니다......
MP5()<Speaker>MP5</Speaker>||<BIN>9</BIN>:풉——!!+이, 이맛은! 
P7(0)<Speaker>P7</Speaker>||:후하하하, 이건 내가 만든 특제 수제파이라구! 맛있지?!
MP5(0)<Speaker>MP5</Speaker>||:거짓말 마세요. 저도 파이를 많이 먹어봤는데, 그 중 이런 맛의 파이는 없었어요! 
P7(0)<Speaker>P7</Speaker>;MP5(0)||:후후, 이건 내가 56-1 씨 한테 배워온 거야, 무려 그쪽 고향의 특산품이라고.+다섯 가지 견과류를 조화롭게 섞은 프리미엄 간식이지! 매년 보름달 뜬 밤에만 먹을 수 있는 희귀한 음식 이라고 하던걸? 
P7(0);MP5(0)<Speaker>MP5</Speaker>||:다섯가지 견과류라니...그게 다 뭔가요? 
P7(0)<Speaker>P7</Speaker>;MP5(0)||:그게 말이지......레시피를 까먹어서, 다섯가지 후추랑 치즈가루로 좀 맛을 내봤지롱~ 
P7(0);MP5(0)<Speaker>MP5</Speaker>||:잠깐만요. 후추는 견과류가 아니잖아요!+그리고......치즈가루에서 왜 아이스크림 맛이 나는 거죠! 
P7(0)<Speaker>P7</Speaker>;MP5(0)||:그게 말이지......56-1이 "얼음 설탕"을 넣어야 된다고 해서.+그게 뭔지 몰라서, 딸기맛 아이스크림을 조금 넣어봤지.+무려 마지막 한숟갈이라고, 너를 "접대"하기위해서 희생한 거야 난! 
P7(0);MP5(0)<Speaker>MP5</Speaker>||:우......역시 장난을 좋아하는 P7 양이네요.+하지만......일은 계속해야하니, 사사로운 감정에 휘둘려서는 안되겠죠.+여기 G36 씨가 맡긴 보급품이에요. 얼음이 들어있는 시원한 주스예요. 
P7(0)<Speaker>P7</Speaker>;MP5(0)||:흠. 이 시뻘건 색깔, 토마토 주스지?+G36이 또 나한테 그런 걸 먹이고 싶어하는 모양인데, 내가 그거에 속을 줄 알고?+괜찮아, 난 빨대가 있어. 한모금 맛만 보고, 싫으면 물려도 상관 없을 거야. 
P7(0)<Speaker>P7</Speaker>;MP5(0)||<黑屏1>:응, 그러면 한입만 어디......
P7()<Speaker>P7</Speaker>||<BIN>9</BIN><BGM>BGM_Empty</BGM>:푸우웁!! 이, 이 맛은!+켁켁! 토마토 주스가 아니라, 더 끔찍하잖아! 엄청 매워! 내 목! 
MP5(0)<Speaker>MP5</Speaker>||<BGM>BGM_Boss</BGM>:땅에서 구르기까지 하다니, 효과가 굉장한 모양이네요.+이건 "독사" 라고 불리는 엄청 매운 고추로 만든 야채즙이에요. 한 모금으로도 최루탄 급의 효과를 내죠.+G36 씨가 말하더군요. 만약 당신이 이상한 물건으로 저를 골탕먹이려고 한다면 이걸 건네주라고. 
P7()<Speaker>P7</Speaker>||:이런 끔찍한 물건을 주다니! 너무하잖아 다들, 눈물이 안 멈춘다구! 
MP5(0)<Speaker>MP5</Speaker>||:G36 씨가 또 말했죠, 만약 얌전히 항복한다면 토마토 주스를 주라고, 지금이라면 자비를 베풀어 드릴 수도 있는데 말이죠? 
P7()<Speaker>P7</Speaker>||:그런 끔찍한 건 절대 안 먹어! 아이스크림! 딸기 아이스크림 먹을 거야! 
MP5()<Speaker>MP5</Speaker>||:잊으셨나요? 마지막 아이스크림은 당신이 절 골탕먹이는데 써버렸다면서요. 
P7()<Speaker>P7</Speaker>||:우으......이럴수가......
MP5()<Speaker>MP5</Speaker>||:테이블 위에 이게 정찰 리포트죠? 임무 성공, 이만 가볼게요. 
P7()<Speaker>P7</Speaker>||:잠깐! 켁. 기다려 주세요! MP5! MP5 언니!+우우......토, 토마토 주스라도......제발......
