()||<BIN>8</BIN><BGM>BGM_Sunshine</BGM>:...철혈의 초소를 제압하여, 경로의 안전이 확보되었다. 
NPC-Helian(0)<Speaker>헬리안</Speaker><通讯框>||:잘 하셨습니다. 지휘관. 이로써 부상당한 인형들이 곧 도착할 수 있겠군요.+이번 부상자들의 우선순위가 높았던 이유는, 그녀들이 정보를 목격했을 가능성이 높기 때문입니다.+그리고 그 정보들이 확인된다면, 아마 우리는 이제 철혈의 주력과 교전해야 할 수도 있겠군요...+...네, ‘우리’가 맞습니다. 당신의 제대도 포함이란 뜻입니다. 지휘관. 
 ()||:...삑.+헬리안의 뒤에서 알림이 울렸다. 
NPC-Helian(0)<Speaker>헬리안</Speaker>||<黑屏1>:음? 부상자들이 복귀했나 봅니다.+그럼, 먼저 실례하겠습니다. 
 ()||<BIN>22</BIN><BGM>BGM_Room</BGM><黑屏2>:그리폰 본부 공방에 부상인원이 도착했다. 
MAC10(1)<Speaker>MAC10</Speaker>||:흥, 이제야 집이네요....+이렇게 심심한 귀갓길이라니, 지루해 죽는줄 알았어요. 
NPC-Helian(0)<Speaker>헬리안</Speaker>;MAC10(1)||:불평은 그만하도록, 잉그램.+본부에 구조신호가 들어오지 않았다면 정말로 위험했을 것이다. 
NPC-Helian(0);MAC10(1)<Speaker>MAC10</Speaker>||:쳇, 죽도록 싸워볼 수 있는 기회였는데.+저는 말이죠, 생사의 갈림길을 오가는 전투가 흥분된다고요. 
NPC-Helian(0)<Speaker>헬리안</Speaker>;MAC10(1)||:적어도 이번엔 아니다. 잉그램.+넌 적어도 말은 제대로 나오는 생존자니, 확인해야 할 일이 몇 가지 있다. 
NPC-Helian(0);MAC10(1)<Speaker>MAC10</Speaker>||:그래요. 뭐...보스가 하라면 하는 수밖에 없죠. 
NPC-Helian(0)<Speaker>헬리안</Speaker>;MAC10(1)||:STG-44와 PPsh-43이 당시 뭘 만났는지 기억나는게 있나? 
NPC-Helian(0);MAC10(1)<Speaker>MAC10</Speaker>||:에이전트가 뭔가를 급히 쫓고 있었다는 것 정도밖에 몰라요.+그 여자의 목표가 우리가 아니었던 덕분에 간신히 살았지만요. 
NPC-Helian(0)<Speaker>헬리안</Speaker>;MAC10(1)||:음...+남은 실종자는 VZ61 뿐인데, 넌 그녀와 친하다고 알고 있다. 어떻게 되었는지 아는가? 
NPC-Helian(0);MAC10(1)<Speaker>MAC10</Speaker>||:(어깨를 으쓱이며) 죄송하지만, 전 그때 전선에 없었어요.+하지만...만약 걔가 아직 살아있다면, 아마 단서를 남겼을 것 같은데 말이죠.+그 녀석...위급할 땐 머리가 잘 돌아가니까요. 
NPC-Helian(0)<Speaker>헬리안</Speaker>;MAC10(1)||:...알았다.+더 이상 볼 일은 없으니, 가서 수복을 진행하도록. 
NPC-Helian(0);MAC10(1)<Speaker>MAC10</Speaker>||:헬리안 씨...+스콜피온이든, 다른 인형이든...이번 일, 되갚아줄 수 있는 거 맞죠? 
NPC-Helian(0)<Speaker>헬리안</Speaker>;MAC10(1)||:......+가서 수복이나 하도록, 잉그램.+곧...즐길 것이 잔뜩 있을 테니 말이야. 
MAC10(1)<Speaker>MAC10</Speaker>||<黑屏1>:(웃으며)...라져.+그게 제가 제일 듣고 싶었던 말이었어요. 
