()||<BGM>BGM_Sunshine</BGM><BIN>8</BIN>:......순조롭게 시험을 통과했다. 
NPC-Helian(0)<Speaker>헬리안</Speaker><通讯框>||:정말 놀랍군요.+비록 임무를 성공할 거라고 예상하긴 했지만, 이렇게나 잘 해낼거라곤 생각조차...
()||<BIN>8</BIN>:......문이 열렸다.+카리나 씨가 들어왔다. 
NPC-Kalin(1)<Speaker>카리나</Speaker>||:아! 헬리안 씨, 돌아오셨군요. 
NPC-Helian(0)<Speaker>헬리안</Speaker>;NPC-Kalin(1)||:그래, 너한테 시험을 맡겼더라면 아마 또 연기됐겠지. 
NPC-Helian(0);NPC-Kalin(3)<Speaker>카리나</Speaker>||:무슨 소리를, 저번에 지휘관 성적도 분명 제시간에 올렸다고요! 
NPC-Helian(0)<Speaker>헬리안</Speaker>;NPC-Kalin(3)||:그럼 이번은? 또 늦잠 잤다고는 하지 말도록. 
NPC-Helian(0);NPC-Kalin(0)<Speaker>카리나</Speaker>||:이번은 말이죠...으흐흐....
NPC-Helian(3)<Speaker>헬리안</Speaker>;NPC-Kalin(0)||:...? 뭘 그렇게 음흉하게 웃나? 
NPC-Helian(3);NPC-Kalin(0)<Speaker>카리나</Speaker>||:방금 다른 사람한테 들었다구요~
NPC-Helian(3);NPC-Kalin(1)<Speaker>카리나</Speaker>||:헬리안 씨가...저번에 결석하신...이 - 유.
NPC-Helian(2)<Speaker>헬리안</Speaker>;NPC-Kalin(1)||:....윽!!
NPC-Helian(2);NPC-Kalin(1)<Speaker>카리나</Speaker>||:정말 아쉽네요. 이번에도 미팅에 실패했다니...
NPC-Helian(2)<Speaker>헬리안</Speaker>;NPC-Kalin(1)||:무, 무슨 소리를 하는건지 모르겠군! 
NPC-Helian(3)<Speaker>헬리안</Speaker>;NPC-Kalin(1)||<黑屏1>:지휘관, 오늘은 여기까지 하겠습니다!+해, 해산! 
