()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
RO635(0)<Speaker>RO635</Speaker>||<黑屏2><BIN>202</BIN><BGM>m_avg_casual</BGM>:후우, 드디어 끝났다...+M4 씨도 시간 날 때 마인드맵 공간을 정리해 주세요.
M4A1Mod(0)<Speaker>M4A1</Speaker>||:죄송해요...
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:그럼 기억 파편 계속 업로드할 수 있어? 다음에 무슨 일이 있었는지 궁금해!
RO635(0)<Speaker>RO635</Speaker>||:이게 무슨 드라마인 줄 아니...
AR15Mod(4)<Speaker>AR15</Speaker>||:기억이 드라마 취급받다니 왠지 기분 나쁜데...
()<Speaker>지휘관</Speaker>||:크흠... 다 해결됐으면 시간 낭비 말고 어서 업로드해 줘.
RO635(0)<Speaker>RO635</Speaker>||<黑屏1>:네, 즉시 진행할게요.
M4A1Mod(0)<Speaker>M4A1</Speaker>||<回忆><黑屏2><BIN>72</BIN><BGM>BGM_Empty</BGM>:여기는...
()<Speaker>청아한 목소리</Speaker>||<BGM>10230</BGM>:네 마인드맵의 가장 밑바닥이지. 잘 쉬었어?
M4A1Mod(0)<Speaker>M4A1</Speaker><Shake>||:제 몸을 돌려줘요!
()<Speaker>청아한 목소리</Speaker>||:이제 진정됐어?
M4A1Mod(0)<Speaker>M4A1</Speaker>||:결국 이게 목적이었군요... 처음부터 제 몸을 빼앗을 속셈이었어요!
()<Speaker>청아한 목소리</Speaker>||:아니, 난 네 몸에 관심 없어. 나는 내가 바라는 진실을 쫓을 뿐이야.+그래서 네가 함부로 자신을 끝장내도록 놔둘 수 없었어. 우리의 여정이 그런 식으로 끝나게 놔둘 수 없었어.
M4A1Mod(0)<Speaker>M4A1</Speaker>||:제가 언제 어떻게 죽을지는 당신이 정할 일이 아니에요!
()<Speaker>청아한 목소리</Speaker>||:안젤리아와 리벨리온, 그리고 그리폰도 아직 전멸하지 않았어. 이걸 봐.
M4A1Mod(0)<Speaker>M4A1</Speaker>||:이건...?!
()<Speaker>청아한 목소리</Speaker>||:네가 모든 걸 포기했을 때, 내가 군의 통신을 도청해서 얻은 정보야.
M4A1Mod(0)<Speaker>M4A1</Speaker>||:그러니까...+지휘관님과 안젤리아 씨가... 아직 살아있다는 건가요?
()<Speaker>청아한 목소리</Speaker>||:그래, 그리고 살아남기 위해 필사적으로 싸우고 있지.+그런데 넌 입자포로 몹쓸 짓을 하려 했어.
M4A1Mod(0)<Speaker>M4A1</Speaker>||:......+제 몸을 돌려줘요. 그분들을 찾으러 가겠어요.
()<Speaker>청아한 목소리</Speaker>||:너에겐 정말 실망이야. 지금 네가 그들을 만날 수 있다고 생각해?
M4A1Mod(0)<Speaker>M4A1</Speaker>||:전...+당연히...
()<Speaker>청아한 목소리</Speaker>||:지금 너의 마인드맵은 불안정해. 침착하게 상황을 판단할 수 없어.
M4A1Mod(0)<Speaker>M4A1</Speaker>||<震屏>:할 수 있어요!
()<Speaker>청아한 목소리</Speaker>||:진정될 때까지 여기서 얌전히 있어. 이 몸을 함부로 다루도록 둘 수 없어.+안전해지면 알아서 몸의 제어권을 네게 돌려줄 테니, 걱정 마.
M4A1Mod(0)<Speaker>M4A1</Speaker>||:그 말을 어떻게 믿죠!?
()<Speaker>청아한 목소리</Speaker>||<黑屏1>:어차피 다른 수가 없으니까.
M4A1Mod(0)<Speaker>M4A1？</Speaker>||<回忆><黑屏2><BIN>6</BIN><Night><BGM>BGM_Empty</BGM>:침투 끝났어.
M4A1Mod(0);AR15Mod(0)<Speaker>AR15</Speaker>||<BGM>BGM_Sneak</BGM>:왜 이렇게 한참 걸렸어?
M4A1Mod(0)<Speaker>M4A1？</Speaker>;AR15Mod(0)||:그럼 네가 직접 해보던가.+아, 미안. 모든 연결 포트를 차단해서 그러지도 못하지?
M4A1Mod(0);AR15Mod(4)<Speaker>AR15</Speaker>||:흥...+그래서, 현재 상황은?+아무 소득도 없었다고 말하기만 해봐.
M4A1Mod(0)<Speaker>M4A1？</Speaker>;AR15Mod(4)||:꽤 많은 정보를 얻었어.+그리폰은 군을 따돌리고 도시 밖으로 탈출했어. 군은 붕괴액 폭탄의 폭발로 인해 지휘 시스템이 엉망이 됐고.+하지만 장갑 부대가 시내로 집결해서 무언가를 찾는 모양이야.
M4A1Mod(0);AR15Mod(0)<Speaker>AR15</Speaker>||:그리폰이 포위를 뚫었다고?
M4A1Mod(0)<Speaker>M4A1？</Speaker>;AR15Mod(0)||:통신 내용상으로는.
M4A1Mod(0);AR15Mod(0)<Speaker>AR15</Speaker>||:과연 지휘관이야.+그렇다면, 군은 지금 안젤리아를 찾는 중이겠지...
M4A1Mod(0)<Speaker>M4A1？</Speaker>;AR15Mod(0)||:그럴 가능성이 커.+그런데, 그녀가 아직도 살아있을 거라 생각해?
M4A1Mod(0);AR15Mod(3)<Speaker>AR15</Speaker>||:평범한 인간이라면 피폭으로 진작에 죽었겠지만, 안젤리아는 그렇게 쉽게 죽지 않아.+설사 ELID가 된다 해도 철저하게 상대를 괴롭힐걸.
M4A1Mod(0)<Speaker>M4A1？</Speaker>;AR15Mod(3)||:그렇구나.
M4A1Mod(0);AR15Mod(0)<Speaker>AR15</Speaker>||:그럼 이제 어떡해? 그리폰과 합류해, 아니면 안젤리아를 구하러 가?
M4A1Mod(0)<Speaker>M4A1？</Speaker>;AR15Mod(0)||:해가 뜨고 눈이 그칠 때까지 기다려야지. 지금 나가는 건 너무 위험해.
M4A1Mod(0);AR15Mod(3)<Speaker>AR15</Speaker>||:하지만 시간이...
M4A1Mod(0)<Speaker>M4A1？</Speaker>;AR15Mod(3)||:새로운 적이 나타났어. 한밤중에 벌집이 되고 싶다면 마음대로 해.
M4A1Mod(0);AR15Mod(0)<Speaker>AR15</Speaker>||:쳇...
AR15Mod(5)<Speaker>AR15</Speaker>||:그런데, 새로운 적이라니?
M4A1Mod(0)<Speaker>M4A1？</Speaker>||:희미하게 느껴져... 루니샤와 같은 공명이.
AR15Mod(0)<Speaker>AR15</Speaker>||:그게 무슨――
()<speaker></speaker>||<BGM>BGM_Empty</BGM>:쿵! 쿵!
M4A1Mod(0)<Speaker>M4A1？</Speaker>||<BGM>10106</BGM>:무슨 소리지? 지하실인가?
AR15Mod(0)<Speaker>AR15</Speaker>||:아직 병사가 남아 있었나...
M4A1Mod(0)<Speaker>M4A1？</Speaker>||:...!
()<speaker></speaker>||:M4A1의 의문에 대답하듯, 분노에 찬 짐승의 포효가 울려 퍼졌다.+AR-15는 방 안쪽의, 당장에라도 부서질 듯 쾅쾅대는 문을 조준했다.+이윽고 문이 부서지고, 작은 형체가 나타났다.+본디 새하얬을 시뻘건 치마를 입은 "소녀"는, 헝클어진 머리카락 사이로 나이에 어울리지 않는 흉포함을 드러냈다.
AR15Mod(0)<Speaker>AR15</Speaker>||:여자아이!?
M4A1Mod(0)<Speaker>M4A1？</Speaker>||:이젠 아니야.
AR15Mod(0)<Speaker>AR15</Speaker>||:어... 어떡하지?+물러날까?
()<speaker></speaker>||:M4A1은 아무 말 없이 그 "소녀"를 바라보았다.
()<speaker></speaker>||<SE1>Runstep</SE1>:그리고 좁은 방에서 벗어난 그 "소녀"가 울부짖으며 M4A1을 향해 달려들었다.
()<speaker></speaker>||<SE1>AVG_rifle_finalshot_h</SE1>:타앙!+AR-15의 탄환이 소녀의 미간에 정확히 명중했다.+소녀는 풀썩 쓰러져, 더는 움직이지 않았다.
M4A1Mod(0)<Speaker>M4A1？</Speaker>||<BGM>BGM_Empty</BGM>:정확한 판단이야.
AR15Mod(0)<Speaker>AR15</Speaker>||:말 안 해도 알아.
M4A1Mod(0)<Speaker>M4A1？</Speaker>||<BGM>GF_Memorial</BGM>:불쌍한 인간이구나.
AR15Mod(0)<Speaker>AR15</Speaker>||:이곳에서 살던 민간인인가... 아마 부모도 진작에 죽었겠지. 그렇지 않으면 이 애를 혼자 여기 놔두지 않았을 거야.
()<speaker></speaker>||:M4A1은 죽은 소녀에게 다가가 눈을 감겨 주었다.
M4A1Mod(0)<Speaker>M4A1？</Speaker>||:이 아이는 변이로 죽었어.
AR15Mod(0)<Speaker>AR15</Speaker>||:그 애는 아무 잘못 없어.
M4A1Mod(0)<Speaker>M4A1？</Speaker>||<黑点1>:알아.+잠깐 도와줄래?
()<speaker></speaker>||<黑点2><BIN>6</BIN><Night><回忆>:...몇 분 후.+M4A1은 간단히 만든 무덤 앞에 무릎을 꿇었다.+그리고 AR-15는 무덤 앞에 지저분한 곰인형과 들꽃을 두었다.
AR15Mod(0)<Speaker>AR15</Speaker>||:이걸로 됐겠지.
M4A1Mod(0)<Speaker>M4A1？</Speaker>||:......+생명이란 이리도 손쉽게 사라지는 것이구나.
AR15Mod(0)<Speaker>AR15</Speaker>||:그래... 이게 바로 세상이야.+아무리 무언가를 지키려 해도, 결국엔 잃고 말아.
M4A1Mod(0)<Speaker>M4A1？</Speaker>||:어딜 가도 똑같을까? 약하면 언제 죽어도 이상하지 않고, 강하면 뭐든 해도 되는 거야?
AR15Mod(0)<Speaker>AR15</Speaker>||:그래서 우린 더욱 강해져야 해, 이런 상황에서 죽지 않도록.
M4A1Mod(0)<Speaker>M4A1？</Speaker>||:......
AR15Mod(0)<Speaker>AR15</Speaker>||:너도 이런 일로 슬퍼할 줄 알아?
M4A1Mod(0)<Speaker>M4A1？</Speaker>||:나도 너희와 그리 다르지 않으니까.
AR15Mod(0)<Speaker>AR15</Speaker>||:......+그렇다고 널 쉽게 인정할 순 없어.+난 M4의 안전을 위해서 너와 협력하고 있을 뿐이야.+네 목적이 무엇이든, 곤경에서 벗어나고도 그 몸을 M4에게 돌려주지 않으면 반드시 내 손으로 죽여버리겠어.
M4A1Mod(0)<Speaker>M4A1？</Speaker>||<黑屏1>:응, 알고 있어.
()<Speaker>지휘관</Speaker>||<关闭蒙版><黑屏2><BIN>202</BIN><BGM>BGM_Empty</BGM>:민간인...+저런 곳에 민간인이 있었다니...
NytoIsomer(4)<Speaker>댄들라이</Speaker>||<BGM>m_avg_casual</BGM>:본디 도시였던 곳이고, 지금도 옐로우존에는 숨어서 생활하는 유랑민들이 많습니다.
()<Speaker>지휘관</Speaker>||:우리가 싸우는 이유는 민간인을 지키기 위해서인데... 설마 우리의 싸움에 민간인이 휘말릴 줄은...
NytoIsomer(4)<Speaker>댄들라이</Speaker>||:싸움이 존재하는 이상, 평화는 쉽게 찾아오지 않습니다.+살아가는 것 자체가 힘든 일이기에, 오직 살아남은 자만이 옳고 그름을 결정지을 수 있습니다.
()<Speaker>지휘관</Speaker>||:감염자였다지만, 저렇게 어린아이를 쏴야 했으니 괴로웠겠구나.
AR15Mod(0)<Speaker>AR15</Speaker>||:...쏘지 않으면, 감염자를 더 괴롭게 만들 뿐이니까요.
()<Speaker>지휘관</Speaker>||:붕괴 복사에 피폭되던 느낌을 아직도 잊을 수 없어. 뼈가 살을 뚫고 나올 듯이, 온몸이 찢어질 듯이 고통스러웠어.+비교적 가벼운 수준이었는데도 그 정도였으니, 심각하게 피폭되면... 고통에서 해방되려면 죽는 수밖에 없을 거야.
NytoIsomer(4)<Speaker>댄들라이</Speaker>||:그 고통을 견뎌낸 것만으로도 당신은 범인을 넘어섰습니다.+두 번 다시 그런 고통을 겪고 싶지 않으시겠죠?
()<Speaker>지휘관</Speaker>||:...되도록이면 말이지.
NytoIsomer(4)<Speaker>댄들라이</Speaker>||<黑屏1>:그렇다면 계속해서 기억 파편을 열람하죠. 정리를 끝내야 군을 상대할 정보를 확인하고 이와 같은 일이 다시는 일어나지 않도록 할 수 있을 테니까요.+시간이 얼마 남지 않았습니다.
