()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>229</BIN><黑屏2><BGM>BGM_Room</BGM>:몇 분 전.+발전기 구역.
AK12(0)<Speaker>AK12</Speaker><Position>0,100</Position>||:안젤리아, 중추 구역에 도착했어. 센서에 포착된 열원도 접근 중이지만, 역시 우리보단 느려.
NPC-AngeDamage(4)<Speaker>안젤리아</Speaker><通讯框>||:<color=#00CCFF>기갑은 이런 비좁은 공간에선 움직이기 힘들지. 다른 녀석들은?</color>
AN94(0)<Speaker>AN94</Speaker><Position>0,100</Position>||:1분 후 도착한다.
AK12(0)<Speaker>AK12</Speaker><Position>0,100</Position>||:이제 와서 새삼스럽지만, 정말 우리 같은 경무장 전술인형들만으로 저렇게 무지막지한 기갑을 상대하라고? 우선 M4처럼 입자포부터 나눠줘야 하는 거 아니야?
NPC-AngeDamage(4)<Speaker>안젤리아</Speaker><通讯框>||:<color=#00CCFF>살아서 돌아가면 페르시카한테 몇 정 주문해보지 뭐.</color>
AK12(0)<Speaker>AK12</Speaker><Position>0,100</Position>||:그래, 그럼 지금은 우리들만으로 어떻게든 해야겠구나.
NPC-AngeDamage(4)<Speaker>안젤리아</Speaker><通讯框>||:<color=#00CCFF>투정 부릴 시간 있으면 빨리 시뮬레이션이나 돌려.</color>
AK12(0)<Speaker>AK12</Speaker><Position>0,100</Position>||:벌써 20가지는 돌렸거든?+물론, 결과는 듣기 싫지?
NPC-AngeDamage(4)<Speaker>안젤리아</Speaker><通讯框>||:<color=#00CCFF>당연하지, 보나마나 내 방안이 네 계산보다 승산이 더 높을 텐데.</color>
AK12(0)<Speaker>AK12</Speaker><Position>0,100</Position>||:난 안젤리아가 자기 목숨을 종이 쪼가리마냥 버리는 요소는 고려하지 않거든.
NPC-AngeDamage(4)<Speaker>안젤리아</Speaker><通讯框>||:<color=#00CCFF>오늘만큼은 정말 살아서 돌아갈 확률이 적어. 적을 확실하게 해치울 방법이 필요해.</color>
AK12(0)<Speaker>AK12</Speaker><Position>0,100</Position>||:자신을 너무 고평가하는걸?+작전 짜는 머리는 그렇다 쳐도, 이런 정면 승부에선 네가 있든 없든 별 차이가 없다고.
NPC-AngeDamage(4)<Speaker>안젤리아</Speaker><通讯框>||:<color=#00CCFF>......</color>
AN94(0)<Speaker>AN94</Speaker><Position>0,100</Position>||:안젤리아, AK-12, 대원들이 도착했다.
RPK16(0)<Speaker>RPK16</Speaker>||:다행이다, 늦진 않은 모양이군요.+또 만났네요, AK-12.+제가 금방 다시 만날 거라 했죠?
AK12(0)<Speaker>AK12</Speaker><Position>0,100</Position>||:안젤리아가 너한테 조련사 역할을 맡겼을 땐 좀 아니라고 생각했는데, 지금 다시 보니 꽤 어울리는 것 같네.+신입인데 인사 선물은 준비해 뒀어?
RPK16(0)<Speaker>RPK16</Speaker>||:글쎄요, 어떨까요? 나중에 적절한 시기를 골라서 적절한 걸로 드릴게요.+자,AK-15도 고개 돌리면 안 되죠. 호위 대상이랑 다투면 안 돼요.
AK15(0)<Speaker>AK15</Speaker>||:...알았다.+탄약 분출.
AN94(0)<Speaker>AN94</Speaker><Position>0,100</Position>||:앗.+예비 탄약 필요한가? 여기 있다.
AK15(0)<Speaker>AK15</Speaker>||:고맙다.
AK12(0)<Speaker>AK12</Speaker><Position>0,100</Position>||:딱 한 사람만 다른 탄종을 써서 예비 탄약도 따로 챙겨야 한다니, 정말 귀찮네.+그치, AN-94?
AN94(0)<Speaker>AN94</Speaker><Position>0,100</Position>||:응?+아니, 난 괜찮다만...
AK15(0)<Speaker>AK15</Speaker>||:......+중장갑 유닛을 상대하려면 대구경이 필요해. 545는 위력이 턱없이 모자라다.
AK12(0)<Speaker>AK12</Speaker><Position>0,100</Position>||:하여간 힘밖에 몰라요.+아예 맨손으로 싸우는 게 더 세지 않을까?
RPK16(0)<Speaker>RPK16</Speaker>||:AN-94는 아무리 까다로운 파트너도 잘 상대하고 어울리니 정말 믿음직스럽네요. 그것도 다 재능이려나요?
AK12(0)<Speaker>AK12</Speaker><Position>0,100</Position>||:AN-94, 저 광견한테 잘해 줄 필요 없어.+넌 너야, 나나 다른 누구의 부속품 같은 게 아니라고.
AN94(0)<Speaker>AN94</Speaker>||:어? 아니, 나는 그저――
NPC-AngeDamage(4)<Speaker>안젤리아</Speaker><通讯框>||:<color=#00CCFF>얼굴도 비슷비슷하게 생겨먹은 아가씨들끼리 작작 좀 떠들지? 지금 한가하게 노닥거릴 시간 없다고.</color>
RPK16(0)<Speaker>RPK16</Speaker>||:지금 AK-12에게 작전 방안을 공유받는 중이에요.+안젤리아 덕분에 AK-12가 상당히 괜찮은 방안을 구상했어요.+다만, 묘비에 뭐라 쓸지 아직 못 정한 게 아쉽네요.
