()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:......
NPC-Bodyguard2(0)<Speaker>정장 입은 남자</Speaker>||<BIN>18</BIN><黑屏2>:타시죠.
NPC-Bodyguard2(0)<Speaker></Speaker>||<黑屏1>:검은 정장을 입은 남자의 안내를 받으며, 불만 가득한 표정의 페르시카는 하벨의 리무진에 올랐다.
()<Speaker></Speaker>||<BIN>166</BIN><黑屏2><BGM>BGM_Room</BGM>:잠시 후, 어디론가 향하는 하벨의 리무진 안.
NPC-Persica(3)<Speaker>페르시카</Speaker>||:아이고 배야...
NPC-Havel(0)<Speaker>하벨</Speaker>;NPC-Persica(3)||:허이구, 긴장하면 배탈 나는 건 여전한 모양이군? 이 차가 마음에 안 드나?+걱정 말게나, 빈틈없는 방탄 코팅에, 바닥도 아주 튼튼하게 방폭 처리도 해놔서 아주 안전해요.
NPC-Havel(0);NPC-Persica(3)<Speaker>페르시카</Speaker>||:정말 오랜만에 실험실 밖으로 나온 거라고요...+그리고... 기습보다 당신이 더 무서워요.
NPC-Havel(0)<Speaker>하벨</Speaker>;NPC-Persica(3)||:내가? 그거참 속상하구먼. 난 이렇게 정성 들여 자네를 지켜 주고 있는데 말이야.+그리고 내가 오지 않았다면, 안전국의 요원들이 와서 문을 두들겼을걸세.+그 양반들이 얼마나 "친절"한지 알면 눈이 다 휘둥그레질걸?
NPC-Havel(0);NPC-Persica(1)<Speaker>페르시카</Speaker><Shake>||:끄응...
NPC-Havel(0)<Speaker>하벨</Speaker>;NPC-Persica(1)||:어쨌든, 시간도 더 생겼겠다 얘기나 더 합세나.+흐음... 그래, 연구소에 있었을 때의 이야기가 좋겠어.+모처럼 만에 외출할 마음이 생겼으니, 좋은 추억거리도 잔뜩이겠지?
NPC-Havel(0);NPC-Persica(0)<Speaker>페르시카</Speaker>||:뭘 알고 싶으신데요?
NPC-Havel(0)<Speaker>하벨</Speaker>;NPC-Persica(0)||:자네랑 리코는 나이 차도 꽤 되는 걸로 기억하는데, 어쩌다 둘이 같이 연구하게 된 겐가?
NPC-Havel(0);NPC-Persica(0)<Speaker>페르시카</Speaker>||:리코는... 참 드문 천재였어요. 신경망 통제와 전자 분석 분야에선 저보다 훨씬 뛰어났죠.+인형의 마인드맵 연구는 각종 분야의 지식이 필요한 일이어서, 저희는 90Wish에 들어가기 전부터 도움을 많이 줬어요.
NPC-Havel(0)<Speaker>하벨</Speaker>;NPC-Persica(0)||:확실히, 그 친구가 개발한 철혈 인형의 마인드맵도, 우리 IOP의 것과 비교해도 전혀 꿇리지 않지. 정말 무시무시한 경쟁자였어.+그래서, 자네들과 루니샤는 또 무슨 사이였나?
NPC-Havel(0);NPC-Persica(3)<Speaker>페르시카</Speaker>||:그냥 소장님의 딸이었어요.+소장님이 너무 바빠서 그 아이를 챙겨 주지 못해서, 심심할 때마다 우리 연구실로 놀러 와서는 자기 가족 이야기도 해 주곤 했어요.
NPC-Havel(0)<Speaker>하벨</Speaker>;NPC-Persica(3)||:가족 이야기?
NPC-Havel(0);NPC-Persica(3)<Speaker>페르시카</Speaker>||:아빠, 그러니까 소장님이 자기와 남동생을 소홀히 한다면서 빈정대는 게 다였지만요. 그리고 곧 도시를 떠날 거라고도 자주 말했어요.
NPC-Havel(0)<Speaker>하벨</Speaker>;NPC-Persica(3)||:흐음... 당시 오버슈타인은 사방에서 공격을 받았어. 유적기구에서도 명성이 영 꽝이었지.+아무래도 가족을 멀리 피신시킬 셈이었나 보군.
