 ()||<BGM>BGM_Room</BGM><BIN>8</BIN><Night>:......정보소의 탈취를 성공. 
PM(0)<Speaker>마카로프</Speaker>||:순조롭게 정보소를 점령했어, 훌륭한 작전이야 지휘관.+데이터 해석을 해야하니까...저기 시모노프, 의자 좀 하나 찾아줘. 
SKS(0)<Speaker>SKS</Speaker>||:하, 의자가 어디 있다고, 방금 들어올 때 보니까 문에 손잡이도 없던데. 
AK47(0)<Speaker>AK47</Speaker>;SKS(0)||:으......이런 곳에서 철혈은 어떻게 지내는 걸까. 
AK47(0);SKS(0)<Speaker>SKS</Speaker>||:여긴 하급 철혈이 관할하는 지역이니까. 전기 코드만 있으면 됐지 뭐. 
AK47(0)<Speaker>AK47</Speaker>;SKS(0)||:하, 그 멍멍이랑 박쥐들 꽤나 불쌍하네...
AK47(0);SKS(0)<Speaker>SKS</Speaker>||:네가 박쥐도 아니고, 녀석들이 불쌍한지 아닌지 어떻게 알아? 
AK47(0)<Speaker>AK47</Speaker>;SKS(0)||:이 방을 봐봐, 술 한병도 없다고. 나라면 삼십분도 못 앉아 있을걸. 
AK47(0);SKS(0)<Speaker>SKS</Speaker>||:AK47, 그건 네 문제야. 저급한 물질적 쾌락에 빠져들면 안된다고.+넌 인형으로서 우리가 살아가는 의의가 뭔지 좀 자주 생각해봐야 해. 
AK47(0)<Speaker>AK47</Speaker>;SKS(0)||:쳇, 그러니까 그 철혈 잡졸들이 나보다 더 고급스럽게 산다는 거야? 
PM(0)<Speaker>마카로프</Speaker>;SKS(0)||:너희 둘, 또 무슨 헛소리를 하고 있는 거야. 
PM(0);SKS(0)<Speaker>SKS</Speaker>||:마카로프, 넌 관심도 없어? 철혈의 내력이라든가 녀석들의 목적이라든가 말이야. 
PM(0)<Speaker>마카로프</Speaker>;SKS(0)||:그리폰의 이익에 위해를 가하는 적이지. 해치우면 될 뿐이야. 
PM(0);SKS(0)<Speaker>SKS</Speaker>||:후후, 사실 잘 알고 있는 거지? 마카로프. OTs-14와도 사이가 좋아보이고 말이야. 
PM(0);AK47(0)<Speaker>AK47</Speaker>||:맞아맞아, 빨리, 뭐 좀 얘기해 보라고! 
PM(0)<Speaker>마카로프</Speaker>||:............+됐어, 목표 좌표를 얻었으니, 휴식 시간은 끝이야. 
SKS(0)<Speaker>SKS</Speaker>||:에이! 알고 있으면서! 분명 많이 알고 있잖아, 마카로프! 
PM(0)<Speaker>마카로프</Speaker>||:......알고 있어도 뭐가 달라지지?+AK47, 시모노프, 인형으로서, 뭘 알고 있든지간에 우리가 받은 명령은 바뀌지 않아.+철혈은 없애면 그만이야, 그러니까, 계속 움직이자고. 
