 ()||<BGM>BGM_Sneak</BGM><BIN>18</BIN>:......작전 종료 5시간 후, 그리폰 사령부 회의실 앞. 
OTs14(0)<Speaker>OTs14</Speaker>||:회의에서 아직도 다 못 떠들었나봐. 모신나강, 넌 좀 괜찮아? 
M1891(0)<Speaker>M1891</Speaker>;OTs14(0)||:응, 난......문제 없어. 
M1891(0);OTs14(0)<Speaker>OTs14</Speaker>||:여기에 병풍처럼 서있는 것도 심심하겠지, 여동생 일도 걱정스러울 테고......
M1891(0)<Speaker>M1891</Speaker>;OTs14(0)||:마카로프에게 맡겼으니 큰 걱정은 없어. 그냥 아직까지도 소식이 없는 것이 좀......
M1891(0);OTs14(0)<Speaker>OTs14</Speaker>||:거긴 철혈의 중요기지였으니까, 그렇게 빨리 찾아내진 못할 거야.+걱정마, 어쨌든 헬리안이 지휘관을 보내서 그녀를 도와주기까지 했으니까......
M1891(0)<Speaker>M1891</Speaker>;OTs14(0)||:쉿......군 측의 사람이 들으면 안된다고......
M1891(0);OTs14(0)<Speaker>OTs14</Speaker>||:그러네, 우리가 지휘관을 그런 곳에 쓰는 걸 원치 않을테니 말이야.+다만......나강을 구하기 위해, 헬리안이 무려 지휘관을 보내다니. 
M1891(0)<Speaker>M1891</Speaker>;OTs14(0)||:응, 나도 헬리안 씨의 결정에 감격했어.+뭘 위해서든지 간에, 결과가 어떻든지 간에......
M1891(0)<Speaker>M1895</Speaker>;OTs14(0)||<BGM>BGM_Empty</BGM>:하하, 찾았느니라, 모신나강! 
M1891(0)<Speaker>M1891</Speaker>;OTs14(0)||:에......
M1891(0);M1895(0)<Speaker>M1895</Speaker>||<BGM>BGM_Sunshine</BGM>:드디어 돌아왔느니라, 다들 내가 그리웠지! 
OTs14(0)<Speaker>OTs14</Speaker>;M1895(0)||:흥, 보기엔 잘 끝난 것 같네. 
OTs14(0);AK47(0)<Speaker>AK47</Speaker>||:어휴......다들 피곤해 죽겠다고. 
SKS(0)<Speaker>SKS</Speaker>;AK47(0)||:다만, 이 모습을 보니, 조금은 모험을 할 가치가 있었다고 봐. 
SKS(0);M1891(0)<Speaker>M1891</Speaker>||:다들 고마워, AK47, 시모노프......+그러고 보니......마카로프는? 
M1895(0)<Speaker>M1895</Speaker>;M1891(0)||:헬리안을 만나러 갔다네, 보고해야 할 중요한 일이 있다는 것 같군. 
M1895(0);AK47(0)<Speaker>AK47</Speaker>||:네가 갖고 있었던 그 물건 때문인가? 방금 가져간 것 같았는데. 
M1895(0);SKS(0)<Speaker>SKS</Speaker>||:도대체 무슨 물건이길래, 그렇게 중요한건가? 
M1895(0)<Speaker>M1895</Speaker>||<黑屏1>:그거 말이지......+이 몸이 기억하기론, 그저 평범한 통신기였느니라. 
 ()||<BGM>BGM_Room</BGM><BIN>8</BIN><黑屏2>:......그 시각, 헬리안의 사무실. 
NPC-Helian(0)<Speaker>헬리안</Speaker>||:작전이 원만하게 끝났군, 자네와 지휘관에겐 곧 표창이 주어질거야. 
PM(0)<Speaker>마카로프</Speaker>;NPC-Helian(0)||:감사합니다.+그런데 주제넘는 말입니다만, 그 통신장치는 뭔가 특별한 점이 있나요? 
PM(0);NPC-Helian(0)<Speaker>헬리안</Speaker>||:음? 평시의 자네는 이런 질문을 하지 않을텐데......
PM(0)<Speaker>마카로프</Speaker>;NPC-Helian(0)||:조금 궁금해서 말이죠......우리가 받은 명령에 대해서. 
PM(0);NPC-Helian(0)<Speaker>헬리안</Speaker>||:이건 AR-15가 현지에 남긴 물건이다. 정보에 따르면, 철혈이 수작을 부렸을지도 모르는 물건이야.+16LAB이 연구를 해보고 싶어하더군, 어쩌면......우리를 승리로 이끌어줄 열쇠가 될 수도 있겠지. 
PM(0)<Speaker>마카로프</Speaker>;NPC-Helian(0)||:......알겠습니다.+이번 작전은 지휘관님의 지휘가 없었다면 저희끼리는 성공할 수 없었을 겁니다. 
PM(0);NPC-Helian(0)<Speaker>헬리안</Speaker>||:그럴 수도 있겠지......그리고? 
PM(0)<Speaker>마카로프</Speaker>;NPC-Helian(0)||:만약......+만약에 나강이 이 물건을 갖고있지 않았다면, 그때도 당신은 지휘관을 저희에게 보냈을 건가요? 
PM(0);NPC-Helian(0)<Speaker>헬리안</Speaker>||<黑屏1>:............+마카로프, 자네...
헬리안()<Speaker>헬리안</Speaker>||<BIN>9</BIN><黑屏2>:(웃음) 자기 자신의 사명에 관심이 생긴 것 같군. 
마카로프()<Speaker>마카로프</Speaker>||:예......+혹은, 저희 스스로에게......관심이 생긴 것 같습니다. 
