()||<BIN>3</BIN><BGM>BGM_SpecialOPS</BGM><Night>:구조 작전 완료, 92식은 순조롭게 고립되었던 동료와 만났다. 
92type(0)<Speaker>92식</Speaker>||:RO, 목표지점에 도착했어. 곧 동료랑 합류할 거야. 
RO()<Speaker>RO</Speaker>||:그래, 나도 보여...
AAT52(0)<Speaker>AAT52</Speaker>;92type(0)||:고마워! 땡큐~!+92언니, 전 언니가 절 버리지 않을 거란 걸 알고 있었어요! 
RO()<Speaker>RO</Speaker>||:............+넌 이 녀석이 차악이라면, 그럼 최악은 도대체 뭐야? 
AAT52(0);92type(0)<Speaker>92식</Speaker>||:최악은 우리가 늦게 와서, 짓밟힌 토마토만 남은 상황이겠지.+상식적으로 짓뭉개진 토마토는 정보를 뱉어내지 못하잖아. 
AAT52(0)<Speaker>AAT52</Speaker>;92type(0)||:아니아니, 멀쩡한 토마토라도 말은 못한다고요! 에 잠깐......지금 제 얘기 하는 거예요? 
RO()<Speaker>RO</Speaker>||:(한숨) 적어도 토마토는 헛소리라도 안하지, 괜히 개고생도 시키지 않고 말이야......
AAT52(0)<Speaker>AAT52</Speaker>;92type(0)||:저기요! 이번에는 진짜로 가치 있는 정보를 찾은 거라고요!+잘 들어요. 전 36호 문서가 어디에 있는지 알아요!+지금 잔류한 인간이 보관하고 있어요! 
AAT52(0);92type(0)<Speaker>92식</Speaker>||:잔류한 인간?......너 정말 실수 안한 것 맞아?+인간 거주민들은 진작에 대피했다고, 그 덕에 우리가 잠입 수색을 할 수 있었던 거야. 
RO()<Speaker>RO</Speaker>||:아니......확실히 그럴 가능성도 있어.+대피 당시 인간 몇이 실종됐다고 해, 자료에 따르면 그 인간들이 대피 통지를 놓쳤을 리는 없어.+분명 철혈이 오기 전을 노려 일부러 문서들을 옮긴거야......
92type(0)<Speaker>92식</Speaker>||:그럼 귀찮아지는데, 설령 그들을 찾더라도 무력을 쓸 수가 없잖아. 
RO()<Speaker>RO</Speaker>||:에......왜 못하는데? 
92type(0)<Speaker>92식</Speaker>||:RO, 너 잊었어?+윗선의 특별 허가가 아니라면, 그리폰의 인형은 인류에게 어떠한 폭력 수단도 쓸 수 없어. 
AAT52(0)<Speaker>AAT52</Speaker>||:심지어 욕하는 것도 안된다고요!+물론, 상대가 그런 서비스를 요구한다면 가능하지만요. 
92type(0)<Speaker>92식</Speaker>||:왜그래? 이런 것도 모를 리가 없을텐데......
RO()<Speaker>RO</Speaker>||:아......그리폰의 일은, 역시 아직 적응이 안 돼서......
92type(0)<Speaker>92식</Speaker>||:나도 알아, 돌아온 지 얼마 안 됐으니 뭐 적응해야 할 부분도 많겠지.+넌 36호 문서를 회수하기 위해 돌아온 거잖아? 한순간의 충동 때문에 일을 망치지 말라고. 
RO()<Speaker>RO</Speaker>||:안심해, 나도 뭘 해야하는지는 알아.+일단 36호 문서를 갖고있는 사람을 찾자, 그 뒤는 뭐 방법이 있겠지. 
