SOPII(2)<Speaker>M4 SOPMOD II</Speaker>||<BGM>BGM_Empty</BGM><BIN>4</BIN>:M4......M16한테선 아직 아무 소식도 없는 거야? 
M4A1(2)<Speaker>M4A1</Speaker>;SOPII(2)||:M16......
M4A1(2);AR15(2)<Speaker>AR15</Speaker>||:......잠깐, 누가 공개 통신을 보냈습니다! 
M4A1(3)<Speaker>M4A1</Speaker>;AR15(2)||<黑屏1>:......!
BOSS-4(0)<Speaker>인트루더</Speaker><通讯框>||<黑屏2><BIN>9</BIN><BGM>BGM_Boss</BGM>:안녕 그리폰의 여러분.+아직까지 동료의 소식을 기다리고 있는 걸까~? 자기들 앞가림이나 잘하는 게 좋을 텐데 말이야. 
AR15(0)<Speaker>AR15</Speaker>;BOSS-4(0)||:인트루더......이렇게 빨리 모습을 보일 줄은 몰랐는데 말이지. 
AR15(0);BOSS-4(0)<Speaker>인트루더</Speaker>||:손님이 내 영역까지 왔는데 접대라도 한 번 해주지 않으면 실례지.+일단 저번 작전에서 내 증원을 성공적으로 차단한 건 대단한걸.+하지만 겨우 보급선 하나일 뿐이야, 나한테 있어선 아무것도 아니지. 
M4A1(0)<Speaker>M4A1</Speaker>;BOSS-4(0)||<黑屏1>:이건 시작일 뿐이에요. 철혈....
M4A1(0)<Speaker>M4A1</Speaker>||<黑屏2><BIN>10</BIN>:다음에는 당신들의 방어 시설이 타겟입니다. 항복할 준비나 하세요. 
BOSS-4(0)<Speaker>인트루더</Speaker>||:미안하지만 엘더브레인이 허가를 내주지 않을 것 같네, 게다가 나도 너희들을 즐겁게 맞아줄 것이고 말이야.+너희들의 지휘관에게 통보해줘, 이제 정식으로 개막할 때가 왔다고. 
M4A1(0)<Speaker>M4A1</Speaker>||:사양하겠습니다, 인트루더.+......도착했습니다.+지휘관님, 명령을 내려주시길. 
