()||<BIN>4</BIN><BGM>BGM_SpecialOPS</BGM><Night>:............타겟 창고에 도착했다. 
97typeS(0)<Speaker>97식 산탄총</Speaker>||:(손짓하며) 오륙아~! 오랜만이야! 
56-1type(0)<Speaker>56-1식</Speaker>||:오래 기다렸다고, 오는데 무슨 일이라도 있었던 거야? 
M99(0)<Speaker>M99</Speaker>||:죄송합니다. 길목에 철혈이 많아서 돌아오느라 시간이 많이 걸렸어요. 
56-1type(0)<Speaker>56-1식</Speaker>||:괜찮아요. 보급품은 다 챙겨놨으니 빨리 후퇴하도록 하죠. 
97typeS(0)<Speaker>97식 산탄총</Speaker>||:어째서 이것뿐이야? 난 또 차 몇 대는 채울 줄 알았는데. 
56-1type(0)<Speaker>56-1식</Speaker>||:전에는 많았었는데......하지만 지금은 다 가져가 버렸어, 그래서 마지막 것들을 지키기 위해 내가 오게 된 거고. 
M99(0)<Speaker>M99</Speaker>||:에? 철혈이 우리 보급까지 뺏어갈 정도로 궁해졌나요? 
56-1type(0)<Speaker>56-1식</Speaker>||:그게......+사실은 근처 다른 지구의 거주민이 가져간 거예요. 하지만 선전으로는, 당신도 알겠지만......+【쥬피터】가 여기를 공격하지 않았더라면, 마지막 남은 이것도 못지켰을걸요. 
M99(0)<Speaker>M99</Speaker>||:그런......+물자는 전부 군 측에서 엄격히 분배한 거예요. 그 누구라도 함부로 건드려서는 안된다고요. 설령 인류라도 안 돼요.+남은 보급품, 반드시 잘 지켜내야 해요. 
97typeS(0)<Speaker>97식 산탄총</Speaker>||<黑屏1>:알겠습니다. 그럼 안전하게 목적지까지 옮기도록 하죠! 
