()||<BGM>BGM_Boss</BGM><BIN>15</BIN>:......그리폰의 어느 폐기된 지휘실, 철혈 디스트로이어의 마지막 은신처. 
BOSS-6(0)<Speaker>디스트로이어</Speaker>||:......드리머, 들려!? 그리폰 녀석들 예상보다 훨씬 빨라! 
BOSS-11(0)<Speaker>드리머</Speaker><通讯框>||:......+어머......뭘 그리 소란이니? 
BOSS-6(0)<Speaker>디스트로이어</Speaker>;BOSS-11(0)||:빨리, 네 화력으로 저년들을 저지하라고! 
BOSS-6(0);BOSS-11(0)<Speaker>드리머</Speaker>||:......응? 내가 왜? 
BOSS-6(0)<Speaker>디스트로이어</Speaker>;BOSS-11(0)||:다 얘기 했었잖아! 내가 임무를 완수하면, 네가 공중지원으로 내가 후퇴하는 걸 엄호해 주겠다고! 
BOSS-6(0);BOSS-11(0)<Speaker>드리머</Speaker>||:오......+그럼......임무는 완수했어? 
BOSS-6(0)<Speaker>디스트로이어</Speaker>;BOSS-11(0)||:크루거를 노린 공격은 실패했어, 하지만 그 정도야 예상했던 결과지.+중요한건, AR-15에게 이식한 코드가 발동돼서 걔의 클라우드 마인드맵에서 #3 세이프 하우스와 관련된 자료를 발견했다는 거야.+【우산】계획의 데이터는 이미 다 모았으니까, 빨리 내가 여길 벗어나게 도와줘! 
BOSS-6(0);BOSS-11(0)<Speaker>드리머</Speaker>||:그런데......임무가 완수된 이상, 너한테 무슨 가치가 있을까? 
BOSS-6(0)<Speaker>디스트로이어</Speaker>;BOSS-11(0)||:뭣...
BOSS-6(0);BOSS-11(0)<Speaker>드리머</Speaker>||:내 말은 말이지......우리는 인형이잖아?+인형이라는건 결국 다 쓰면 버리는 소모품이잖아?+쓰레기를 회수하기 위해서 내 귀염둥이들을 낭비할 필요는 없어 보이는 걸. 안 그래? 
BOSS-6(0)<Speaker>디스트로이어</Speaker>;BOSS-11(0)||:너...너 어떻게 이럴수가 있어!?
BOSS-6(0);BOSS-11(0)<Speaker>드리머</Speaker>||:어차피 거기서 죽어버려도 금방 살아날 수 있는 걸.+게다가 나에 관한 기억도 싹 다 잊어버리겠지.+그 뒤에는, 넌 또 다시 말 잘 듣는 강아지처럼 내 명령에 따르게 될거야. 
BOSS-6(0)<Speaker>디스트로이어</Speaker>;BOSS-11(0)||:어떻게......그런......절대로 널......다시 믿지 않을거니까! 
BOSS-6(0);BOSS-11(0)<Speaker>드리머</Speaker>||:정말로? 우리 귀여운 바보 꼬맹이 씨?+설마 너는 이번 일이......처음 일어나는 일이라고 생각하는 거니? 
BOSS-6(0)<Speaker>디스트로이어</Speaker>;BOSS-11(0)||:......!!+이 멍청이! 싸이코! 땅꼬마!!+분명......분명 날 구해줄거라고, 약속했으면서......
BOSS-6(0);BOSS-11(0)<Speaker>드리머</Speaker>||:알았어, 울음 뚝, 그냥 농담일 뿐이라고. 
BOSS-6(0)<Speaker>디스트로이어</Speaker>;BOSS-11(0)||:농......담......? 진짜? 진짜로? 
BOSS-6(0);BOSS-11(0)<Speaker>드리머</Speaker>||:에이전트가 내가 멋대로 굴까봐 입수한 자료의 해독키를 너한테 심어놨더라구.
BOSS-6(0)<Speaker>디스트로이어</Speaker>;BOSS-11(0)||:히끅......에이전트가......날 위해서......
BOSS-6(0);BOSS-11(0)<Speaker>드리머</Speaker>||:내가 이미 AR팀을 요리하기 시작했어, 십분 후면 이곳에서 이탈할 수 있을거야. 
BOSS-6(0)<Speaker>디스트로이어</Speaker>;BOSS-11(0)||:그, 그래......? 
