()||<BIN>9</BIN><BGM>BGM_Danger</BGM>:......삑.
M16A1()<Speaker>M16A1</Speaker>||<黑屏1>:지휘관? 네게브? 듣고 있어?!
NEGEV(0)<Speaker>네게브</Speaker>||<黑屏2><BIN>2</BIN>:M16, 어디로 간 거야!+현재 S08구역 사방에 철혈이 깔려있다고! 게다가 이상하리만치 강해!+거의 조기 철수할 뻔 했잖아, 더이상 못 기다린다고! 
M16(3)<Speaker>M16A1</Speaker><通讯框>||:미안, 일이 있어서 조금 지체됐어.+잘 들어, 네게브, 지휘관, 일단 다른건 신경쓰지 마.+알케미스트의 부대가 움직이기 시작했어, 아마 너희들을 향해 오는 걸 거야. 
NEGEV(0)<Speaker>네게브</Speaker>;M16(3)||:흥, 묵은 빚을 청산할 때가 왔군?+그럼 너는? 너랑 SOPII는 어디로 갈 건데? 
NEGEV(0);M16(3)<Speaker>M16A1</Speaker>||:우리는 우리 나름대로 계획이 있어서 말이지. 아마 별 문제 없을테니 너무 걱정하지는 마.+너희들도 조심해, 지휘관, 네게브쪽을 잘 지켜줘! 
NEGEV(0)<Speaker>네게브</Speaker>;M16(3)||:야! M16! 이봐! 
NEGEV(0);BOSS-5(0)<Speaker>알케미스트</Speaker><通讯框>||:좋은 아침이야, 그리폰의 여러분.+사냥이 곧 시작되는데 준비는 잘 하고 있는 걸까나?+그리고 말이야, 다시 만나는 걸 기대하고 있었어, 네게브......
NEGEV(0)<Speaker>네게브</Speaker>;BOSS-5(0)(0)||:그래? 그런데 내가 지금 화가 머리끝까지 차올라서 말이야...알케미스트......+숨이 붙어있는 동안 나랑 마주치지 않기만을 빌어라......
NEGEV(0);BOSS-5(0)<Speaker>알케미스트</Speaker>||:호오? 그 구세대 탄약에 기대서 얼마나 버틸 수 있을까?+한 번 맞춰볼까? 네 동료들과 같이 나한테 찢기게 될까, 아니면 혼자서 도주하다가 쓰러지게 될까?+내가 네 목을 따러 갈 때까지, 최고의 공포를 네 얼굴에 새겨놓도록! 
NEGEV(0)<Speaker>네게브</Speaker>;BOSS-5(0)(0)||<黑屏1>:그 말 그대로 되돌려 주마. 망할 철혈자식아......
네게브()<Speaker>네게브</Speaker>||<黑屏2><BIN>9</BIN>:전투를 시작하자고, 지휘관.+숙적의 선혈만큼 취하기 좋은 건 없으니까...
