()||<BIN>55</BIN><Night><BGM>BGM_Sneak</BGM>:......작전 종료. 공장 앞에 도착했다.
NEGEV(0)<Speaker>네게브</Speaker>||:예상보다 빠른걸... 꽤 성장한 모양이네, 지휘관.+저번에 M4A1의 그 작전 때 확신했지. 역시 당신을 선택한 건 틀리지 않았어.+이제 마지막 한 걸음이니, 제대로 끝내자고.
TAR21(0)<Speaker>TAR-21</Speaker><通讯框>;NEGEV(0)||:네게브, 철혈의 순찰 부대가 제가 있는 곳으로 접근하는 중이에요. 다른 곳으로 유인해줄 수 있나요?
TAR21(0);NEGEV(0)<Speaker>네게브</Speaker>||:내 쪽도 지금 손이 부족해.
TAR21(0)<Speaker>TAR-21</Speaker>;NEGEV(0)||:제가 무슨 일이라도 생긴다면, 큰 손해를 본다는 것쯤은 알고 계시죠?
TAR21(0);NEGEV(0)<Speaker>네게브</Speaker>||:물론이야. 그러니 조금만 더 기다려봐.+"걔들"이 슬슬 돌아올 때가 되었으니.
AR(0)<Speaker>갈릴</Speaker><通讯框>;NEGEV(0)||:야, 네게브!
AR(0);NEGEV(0)<Speaker>네게브</Speaker>||:흐응, 정말로 살아남았네.
AR(0)<Speaker>갈릴</Speaker>;NEGEV(0)||:하아, 네 덕에 아슬아슬하게 살았어.+하지만, 다음엔 좀 더 제대로 된 녀석으로 보내줄 수는 없을까?
AR(0);MicroUZI(0)<Speaker>우지</Speaker><通讯框>||<震屏>:야, 다 죽어가는 걸 구해줬더니 고맙다고는 못할망정 깐깐하게 굴고 있네 이게!
AR(0)<Speaker>갈릴</Speaker>;MicroUZI(0)||:하, 내가 뒤따라오는 철혈을 처리하지 않았다면 넌 지금 여기 있지도 못했을걸?
AR(0);MicroUZI(0)<Speaker>우지</Speaker>||<震屏>:너를 구하기 위해서였다고! 이제 막 복귀한 참인데, 이렇게 굴리기나 하고, 게다가 찬밥신세라니, 나를 뭘로 보는 거냐고!
AR(0)<Speaker>갈릴</Speaker>;MicroUZI(0)||:아하하, 미안 미안. 난 나를 위해준다고 해서 고맙다고 하거나 하는 그런 성격은 아니거든.
AR(0);MicroUZI(0)<Speaker>우지</Speaker>||:알다마다, 그래서 돌아오기 싫었다고! 하나같이 꼴통에 괴짜들이야!
NEGEV(0)<Speaker>네게브</Speaker>;MicroUZI(0)||:그렇지만 결국 넌 돌아왔잖아.+후후, 역시 여기보다 너한테 어울리는 곳은 없단 거겠지?
NEGEV(0);MicroUZI(0)<Speaker>우지</Speaker>||:쳇, 다 너희들 때문이잖아!+특히 네게브, 네가 가장 제멋대로라고!
NEGEV(0)<Speaker>네게브</Speaker>;MicroUZI(0)||:완벽함은 나랑은 맞지 않아, 그저 나는 승리만 있으면 충분해.
NEGEV(0);MicroUZI(0)<Speaker>우지</Speaker>||:정말이지...... 너의 그 대책 없는 작전 스타일은, 대체 누구한테 배운 거냐고!+결국, 우리 주변에는 구두쇠들밖에 안 남았잖아!
NEGEV(0)<Speaker>네게브</Speaker>;MicroUZI(0)||:됐어, 넌 테스트를 통과했으니 서둘러 다음 일을 진행하도록 해.
NEGEV(0);MicroUZI(0)<Speaker>우지</Speaker>||:야, 내가 무슨 얘기를───
NEGEV(0)<Speaker>네게브</Speaker>;MicroUZI(0)||:타보르 쪽이 상황이 조금 귀찮게 됐거든... 갈릴, 우지. 가서 소란을 피워 순찰 부대의 주의를 끌어줘.+10분 안에 처리하도록. 서둘러!
AR(0)<Speaker>갈릴</Speaker><通讯框>;MicroUZI(0)||:하아, 알겠어. 일단 머리 좀 손질하고... 모래투성이가 됐다고......
AR(0);MicroUZI(0)<Speaker>우지</Speaker>||<震屏>:뭐가 어쩌고 어째?! 10분밖에 안 남았다고! 얼른 따라와!
AR(0)<Speaker>갈릴</Speaker>||:야야, 이게 진짜───+기다려봐, 아무 문제 없다니까───
()||<BGM>BGM_Empty</BGM>:......통신 종료.
NEGEV(0)<Speaker>네게브</Speaker>||:이걸로 전부 처리했어.+마지막으로… 이제 그 철혈 보스만 남은 건가......+공장에서 알짱거리는 악령같은 꼭두각시 녀석...
NEGEV(0);BOSS-11(0)<Speaker>드리머</Speaker><通讯框>||<BGM>BGM_Boss</BGM>:어머...... 지금 누구보고 꼭두각시라고 하는 거지? 거기 서 있는 아가씨?
NEGEV(0)<Speaker>네게브</Speaker>;BOSS-11(0)||:......!+드리머......+정보에 따르면 네가 있는 곳은 분명───
NEGEV(0);BOSS-11(0)<Speaker>드리머</Speaker>||:내가 있는 곳이 어디라고? 나는 어디에서든 나타날 수 있는걸.+특히, 너희들이 내가 나타나기를 바랄 땐 말이지.
NEGEV(0)<Speaker>네게브</Speaker>;BOSS-11(0)||:네가 바로 그...... 모두가 손조차 댈 수 없었던 그 강적인가 보네.+원격으로 더미를 조종해서, 지금까지 우리를 계속 관찰하고 있던 거야?
NEGEV(0);BOSS-11(0)<Speaker>드리머</Speaker>||:이곳은 내 정원이야. 외부인이 함부로 더럽히게 놔둘 순 없지.+어쩌면 내 착각일 수도 있지만, 네가 단지 실수로 이곳에 왔다고 하고, 슬그머니 내뺄 셈이니?
NEGEV(0)<Speaker>네게브</Speaker>;BOSS-11(0)||:전장에서는 일을 늘리지 않는다. 이건 내 선배의 가르침이야.
NEGEV(0);BOSS-11(0)<Speaker>드리머</Speaker>||:다만, 넌 말을 잘 듣는 착한 아이가 아닌 것 같은데, 나처럼 말이지.
NEGEV(0)<Speaker>네게브</Speaker>;BOSS-11(0)||:그래, 확실히 나는 선배를 실망시키기만 하고 발목만 잡았지......+그렇기에 나를 기억해 주셨어. 언제나 다른 이들을 놀라게 만드는 이 문제아를 말이지.
NEGEV(0);BOSS-11(0)<Speaker>드리머</Speaker>||:그렇다면, 나도 너한테 있어서 깜짝 선물인 셈인가?
NEGEV(0)<Speaker>네게브</Speaker>;BOSS-11(0)||:......아니.+놀라운 부분이 있긴 하다만 지극히 일부일 뿐이지+전투가 끝난 뒤, 느긋하게 파헤쳐주겠어.
NEGEV(0);BOSS-11(0)<Speaker>드리머</Speaker>||<黑屏1>:네게브, 라고 부르면 되겠지?+이번에 처음 만나는 거지만...... 난 네가 정말 마음에 들어.
<Speaker>드리머</Speaker>()||<BIN>9</BIN><黑屏2><黑屏1>:그러니...+너를 잡아먹게 해주겠어?
