()||<BIN>18</BIN><BGM>BGM_Empty</BGM>:............저체온증 작전 종료 2개월 후.+......오전, 군부 측 기지 앞.
NPC-Kyruger(0)<Speaker>크루거</Speaker>||:가능하다면, 저희는 만나지 않는 편이 나았을지도 모릅니다...
NPC-Carter(0)<Speaker>크루거</Speaker><Position>0,-130</Position>||:......카터 장군님.
NPC-Carter(0)<Speaker>카터</Speaker>||:가능하다면이라...그렇지, 하지만 이번엔 아닐세. 자네를 일깨워주기 위해서니까.+자네는 이번 중앙 사령부에서 개최한 청부상 연회에 초대받은 것을 감사히 생각해야 할 걸세. 우리가 기록으로 남기지 않는 시간대에 만날 기회가 생긴 거니까 말일세.+내 차는 저쪽 도로변에 있어, 이 이상 시간을 지체할 수 없네.
()||<BGM>BGM_Sneak</BGM><黑点1>:............크루거는 고개를 끄덕이며, 카터 준장을 따라 그리폰의 차에 올랐다.
NPC-Kyruger(0)<Speaker>크루거</Speaker>||<BIN>9</BIN><黑点2>:리코의 AI데이터에 관해서, 저희는 이미 어느정도의 수확을 거뒀습니다.
NPC-Kyruger(0);NPC-Carter(0)<Speaker>카터</Speaker><Position>-100,-130</Position>||:글쎄, 그다지 가치는 없어보이더군. 그런 시시콜콜한 건 자네선에서 처리해도 되는 것 아닌가?
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Carter(0)||:그건......약간의 사소한 문제가 있어서, 처리하는 데 시간이 걸리기 때문입니다.
NPC-Kyruger(0);NPC-Carter(0)<Speaker>카터</Speaker>||:(한숨을 쉬며)크루거, 자네가 예전에 내 밑에 있었기 때문에, 내가 자네를 도와주는 것뿐일세.+자네가 해 달라는 건 뭐든 해줬잖나? 인형 최대 소지량의 허가, 무기 밀수, 그리고 자네가 책임지고 있는 관할 구역의 보도관제까지 말일세.+이미 내가 어떻게 할 수 있는 범위를 아득히 넘어섰다는 것은, 자네도 잘 알텐데.
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Carter(0)||:네......장군님께서 무엇으로 대가를 치르는지 또한 잘 알고 있습니다.
NPC-Kyruger(0);NPC-Carter(0)<Speaker>카터</Speaker>||:그럼 내가 뭘 원하고 있는지도 알고 있겠군.+자넨 정치를 입에 담고싶어하지 않지만, 자네도 세계의 구조가 전대미문의 방식으로 다시 짜여지고 있다는걸 알아야 한다네.+이전까지와는 전혀 다른 방식의 국가가 이제 머지않아 탄생한다 하더군. 게다가 군 내부에서도 대규모의 개편이 이제 곧 시작될 게야.
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Carter(0)||:전에 말씀하셨던......'그 사람'의 구상 말씀이십니까?
NPC-Kyruger(0);NPC-Carter(0)<Speaker>카터</Speaker>||:(고개를 끄덕이며) 시기가 곧 눈앞에 들이닥칠텐데, 그때도 여전히 아무런 성과도 가져오지 못한다면......+어쩌면 다음번에 열릴 회의에서 자네의 말을 들어주는 사람이 아무도 없을지도 모를세. 이게 뭘 의미하는지 자네라면 잘 알고 있겠지?
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Carter(0)||:......
NPC-Kyruger(0);NPC-Carter(0)<Speaker>카터</Speaker>||:군부에서 신경쓰고 있는 건, 어느쪽이 이기고, 지느냐가 아닐세. 다음 세대의 군용인형을 위한 기술의 비축이라네. 그것이야말로 패로 사용하기 적당한 물건 아니겠나.+자넨 이미 한 번 실패 했으니, 두 번째는 더이상 없네.+아, 여기일세. 내 차는 이 앞에 있어.
()||:크루거가 손을 흔들어 차를 세웠고, 카터는 멈춘 차문을 열었다.
NPC-Kyruger(0)<Speaker>크루거</Speaker>||:최대한 서두르겠습니다......카터 장군님.
NPC-Carter(0)<Speaker>카터</Speaker><Position>0,-130</Position>||:그러길 바라네. 그렇지 않으면 다른 사람을 찾을 수 밖에 없으니까 말이야.+차 태워줘서 고마웠네. 그럼 저녁 파티 때 다시 보도록 하지.
()||:............카터 준장이 떠나간다.
NPC-Kyruger(0)<Speaker>크루거</Speaker>||<黑点1>:............+계속 차를 몰게.+기지를 벗어나, 아무 곳이나 좋으니 차를 몰란 말일세. 나는 전화를 좀 하도록 하지.
 ()||<黑点2><BIN>22</BIN>:............같은 시각. 16LAB 연구소.+......삑.+......삑, 삑.
페르시카()<Speaker>페르시카</Speaker>||:............+우............+......누구세요?+아......크루건가.
NPC-Kyruger(0)<Speaker>크루거</Speaker><通讯框>||:이 며칠간 진전이 있었다고, 우리한테 대답했었지.
NPC-Persica(3)<Speaker>페르시카</Speaker>;NPC-Kyruger(0)||:M4A1은......이제 곧 깨울 수 있을 것 같은데, 돌파구를 찾았어......
NPC-Persica(3);NPC-Kyruger(0)<Speaker>크루거</Speaker>||:지금은 그녀를 깨울 때가 아닐세. 그것보다 더 중요한 일이 있다네.+이전에, 7호 문서를 손에 넣는다면, 리코의 모든 데이터를 복구할 수 있다고 했지않나?
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Kyruger(0)||:M4A1과 그녀들의 말에 따르면, #3 세이프 하우스에서 자료를 찾았다고 하던데......응, 틀림 없어.
NPC-Persica(0);NPC-Kyruger(0)<Speaker>크루거</Speaker>||:그리고, 운이 좋다면, 하루 안에 찾을 수 있다고 말했었지.
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Kyruger(0)||:그래......위치는 거의 확정됐으니까 말이야. 하지만 지금 철혈의 재밍이 펼쳐치고 있다는 건 너도 알텐데......
NPC-Persica(0);NPC-Kyruger(0)<Speaker>크루거</Speaker>||:그래, 그 소리가 나올 줄 알고 있었네.+AR팀, 그리고 그 지휘관. 현 시간부로 전부 자네 것일세.
NPC-Persica(2)<Speaker>페르시카</Speaker>;NPC-Kyruger(0)||:아......넌 날 정말로 잘 알고 있구나. 크루거.
NPC-Persica(2);NPC-Kyruger(0)<Speaker>크루거</Speaker>||:【쥬피터】일로 자넨 이미 나에게 한 번 빚졌고, 이걸로 두 번째 일세.+난 오늘 만찬 전에 결과가 필요하다네. 할 수 있겠지...
NPC-Persica(0)<Speaker>페르시카</Speaker>;NPC-Kyruger(0)||:음, 네가 원하는 걸 얻기 위해서라......+그리고, 크루거......
NPC-Persica(0);NPC-Kyruger(0)<Speaker>크루거</Speaker>||:말해봐.
NPC-Persica(3)<Speaker>페르시카</Speaker>;NPC-Kyruger(0)||<BGM>BGM_Empty</BGM>:리코가......죽게된 건 정말 사고였던 것이 아닐까?+아......미안, 네가 너무 리코가 남긴 물건에 집착하길래, 무심코......
NPC-Persica(3);NPC-Kyruger(0)<Speaker>크루거</Speaker>||:............그 문제에 관해서는 내가 이미 몇 번이나 말했을 텐데.
NPC-Persica(3)<Speaker>페르시카</Speaker>||:그랬었던 것 같네......+그렇다면, 알겠어.
()||:............크루거가 통신을 종료했다.
페르시카()<Speaker>페르시카</Speaker>||<黑点1>:........................
()||<黑点2><BIN>8</BIN><BGM>BGM_Frontline</BGM>:.............30분후, S02구역의 그리폰 임시지휘실.
NPC-Persica(0)<Speaker>페르시카</Speaker><通讯框>||:......지휘관, 사정은 이렇게 됐어...+7호 문서를 찾는 것은 어렵지 않을 거야. 하지만 위치가 위치인지라......그건 신경쓰지 않아도 되려나...+일단, 과거 철혈의 공장으로 사용되던 부지 근처로 투하될 거야.+AR팀에게는 내가 지시를 내려두도록 할게. 지휘관의 임무는 그녀들을 보호하는 거야.
RO635(0)<Speaker>RO635</Speaker><通讯框>||<黑屏1>:지휘관님, 준비는 다 되셨나요? 이제 작전을 시작해야합니다.+저희는 현재 S02구역에 위치, 목표는 0호 기지에서 7호 문서를 찾는 것입니다.+현지의 지형 정보는 제가 이미 지휘 시스템에 업로드 해 놓았으니, 우선 확인해주시길 바랍니다.
SOPII(3)<Speaker>M4 SOPMOD II</Speaker><通讯框>||<黑屏2><BIN>10</BIN>:역시 적지 한가운데인걸. 방어가 엄청나네!+하지만 우리 지휘관이라면, 분명 무슨 방법을써서 기회를 만들어 주겠지?
