()||<BIN>34</BIN><BGM>BGM_Sneak</BGM>:20분 후.
RO635(0)<Speaker>RO635</Speaker>||:......페르시카 씨?+페르시카 씨, 아직 거기 계시나요?
RO635(5)<Speaker>RO635</Speaker>||:페르시카 씨! 응답하세요!
NPC-Persica(3)<Speaker>페르시카</Speaker><通讯框>;RO635(5)||:아, 왔어, 왔다고!
NPC-Persica(3);RO635(3)<Speaker>RO635</Speaker>||:(한숨을 쉬며) 작전시간에 제한이 있으니, 멋대로 채널을 떠나지 말아주시길 바랍니다.
NPC-Persica(3)<Speaker>페르시카</Speaker>;RO635(3)||:별거 아니였어. 그냥 커피 가지러 간 것뿐인걸.
NPC-Persica(3);RO635(3)<Speaker>RO635</Speaker>||:오늘 저녁까지 이미 너무 많은 커피를 마시셨잖아요. 이러시면 인간의 육체건강에 매우 좋지 않을 것으로 사료됩니다.+게다가, 방금 작은소리로 무언가 말하는 걸 들은 것 같은데......
NPC-Persica(3)<Speaker>페르시카</Speaker>;RO635(3)||:아......방금 음성메일이 도착해서 말이야. 괜찮아, 괜찮아. 신경 쓸 필요 없어.
NPC-Persica(3);RO635(3)<Speaker>RO635</Speaker>||:(한숨을 쉬며) 이번 작전은 매우 중대한 의미를 가지고 있습니다. 총책임자로써, 조금 더 집중해주세요.
NPC-Persica(3);RO635(0)<Speaker>RO635</Speaker>||:페르시카 씨, 지휘관님. 지금까지의 경과를 보고드리겠습니다.+저희는 7호 문서가 보관되어있는 데이터 뱅크의 위치를 파악했습니다.
NPC-Persica(2)<Speaker>페르시카</Speaker>;RO635(0)||:아, 그래? 그거 잘됐네!
NPC-Persica(2);RO635(0)<Speaker>RO635</Speaker>||:죄송한데, 조용히 좀 해주시겠어요? 페르시카 씨.+저희는 지금 목표지점을 향해 나아가고 있습니다만, 가는 길에 철혈의 전초기지가 너무 많습니다.
NPC-Persica(0)<Speaker>페르시카</Speaker>;RO635(0)||:그러니까......지휘관이 너희를 호송해줬으면 한다. 고 하는 거야?
NPC-Persica(0);RO635(0)<Speaker>RO635</Speaker>||:아니에요. 저는 지휘관님의 제대가 철혈의 주의를 끌어줬으면 합니다. 그러면 저희가 더더욱 쉽게 목표지점을 향해 가고 있다는걸 숨길 수 있을테니까요.+구체적인 작전 루트는, 제가 M16과 상의해본 후에......
RO635(3)<Speaker>RO635</Speaker>||:......방금 어디론가 나가버려서, 어디에 있는지 모르지만 말이죠.
M16(0)<Speaker>M16A1</Speaker>||:어? 내가 뭐 잘못이라도 한 거야?+방금 올라가서 SOPII와 교대하고 왔는데.
RO635(3)<Speaker>RO635</Speaker>||:아, 괜찮아. 다음번에는 나한테 미리 알려줘......
RO635(0)<Speaker>RO635</Speaker>||<黑屏1>:지휘관님, 제가 지도에 지휘거점 하나를 표시해뒀습니다. 목표를 점령하기만 하면, 대부분의 적들을 끌어들일 수 있을 겁니다.+저희는 지휘관님께서 작전에 성공하신 이후에 작전을 계속, 목표 데이터 뱅크에 도착하도록 하겠습니다.+반 재밍 시스템은 현재 매우 안정적이니, 지휘관님께선 작전을 시작하셔도 됩니다.
