()||<BIN>9</BIN><BGM>BGM_Empty</BGM>:............20분 후, 공장 안 연결통로.
NPC-Persica(0)<Speaker>페르시카</Speaker><通讯框>||:M16, 문은 아직 안 열렸어? +그냥 손에서 로켓 같은 거라도 발사해서 부숴버리는 건 안되려나?
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||<BGM>BGM_Room</BGM>:미안하네, 군용 인형이 아니라서 네가 기대하는 그런 고급 파츠따윈 없거든. +하지만 철혈의 권한은 있으니, 암호를 푸는데 시간이 많이 걸리지는 않을 거야. +으......왜인지는 모르겠지만, 자꾸 이곳에서 같은 짓을 해봤던 것 같다는 생각이 들어......
M16(3);NPC-Persica(2)<Speaker>페르시카</Speaker>||:인형에게도 "기시감"이란게 있는 건가......흥미로운걸......+나한테 고마워 해, 네 계산 속도는 군용인형보다 훨씬 빠르니......이 정도 문쯤은 문제없이 뚫을 수 있을 거야.
M16(0)<Speaker>M16A1</Speaker>;NPC-Persica(2)||:하하......다음엔......차라리 멍청하게 만들어달라고. +그래야 아무 생각 없이 가서 싸우다 죽을 수 있을 테니까......
M16(0);NPC-Persica(0)<Speaker>페르시카</Speaker>||:내가 널 만든 건 그저 전장에 보내기 위해서가 아니거든...+맞다, M16......RO랑 SOPII와 연락이 닿았어.
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:그런가......나쁘지 않네......+계속 말해, 듣고 있어.
M16(3);NPC-Persica(0)<Speaker>페르시카</Speaker>||:몸 상태는 아주 좋아......단지 정신상태가......조금 낙담한 것 같아.
M16(2)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:그건 알아, 내가 걔들을 떠났고 또 속이기까지 했으니까.
M16(2);NPC-Persica(0)<Speaker>페르시카</Speaker>||:후자는 아직 몰라. RO는 깨어있는데, 아직도 네가 돌아오기를 기다리고 있는걸.
M16(0)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:(한숨) 그거 참 안심되네, 안심 시키는걸 너무 잘해서 누가 인형인지도 모를 지경이야......
