()||<BIN>9</BIN><BGM>BGM_Sneak</BGM>:............2시간 후.
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||:RO......?
RO635(0)<Speaker>RO635</Speaker>||:일어났어?
SOPII(2)<Speaker>M4 SOPMOD II</Speaker>||:얼마나 지난 거야?
RO635(0)<Speaker>RO635</Speaker>;SOPII(2)||:대충...... 2시간 정도......?
RO635(0);SOPII(2)<Speaker>M4 SOPMOD II</Speaker>||:그렇게나 오래 잤나...... 지금 뭐 하고 있어?
RO635(0)<Speaker>RO635</Speaker>;SOPII(2)||:M16의 상자에 자그마한 발신기가 달려 있잖아?+그 신호를 증폭시킬 수 있을까 해서. 지휘관님께서 분명히 우리를 찾고 있을 테니, 후퇴하기 위해서 연락 수단 하나 정도는 있어야 하니까.
RO635(0);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:정말? 너 그런 것도 할 줄 알아?
RO635(2)<Speaker>RO635</Speaker>;SOPII(0)||:뭐, 체력은 너보다 부족하지만, 다른 건 내가 너보다 우수하다고.+응, 다 됐어. 이제 천천히 충전되기만을 기다리면 될걸?
RO635(2);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:충전도 필요해?
RO635(2)<Speaker>RO635</Speaker>;SOPII(0)||:강력한 신호를 보내려면 어느 정도 에너지가 필요하니까 말이야.+내 예비용 에너지에서 보내고 있는 중이야. 게다가 예비용으로 충전하는 거니까 내가 가동을 중지하게 되는 일도 없지.
RO635(2);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:뭐... 뭐가 뭔지 하나도 모르겠어... AR팀은 이런 건 해본 적이 없으니까 말이야. 이번이 처음이라구.
RO635(2)<Speaker>RO635</Speaker>||<黑屏1>:하하하, 그거 정말로 영광인걸.+아, 맞다. 나한테 AR팀의 옛날이야기를 들려주지 않겠어? 충전할 때까지는 시간이 좀 필요하니까 말이야.
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||<黑屏2><BIN>9</BIN><BGM>BGM_Empty</BGM>:어......+옛날 이야기... 잠깐만...
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||<黑屏1>:아! 그래!+AR팀이 첫 훈련을 했을 때가 기억났어! 거의 재난이나 마찬가지였어!
M4 SOPMOD II()<Speaker>M4 SOPMOD II</Speaker>||<BIN>74</BIN><黑屏2><BGM>BGM_Room</BGM>:.....그 훈련이 대략 5시간 정도 걸렸었는데 말이야.+그중에 2시간 정도를 M4A1이 자기가 내린 명령을 고치는 데에 낭비했지.+그 2시간 동안 우리가 또 방을 잘못 찾아가는 바람에 말이야, 차가운 물에 20분이나 들어가 있거나, 다른 표적기를 쐈다거나, 때마침 울린 M4의 시계에 놀라서 3개나 부숴 먹기도 했었어.
RO635()<Speaker>RO635</Speaker>||:우와............ 완전 의외인걸. 평범한 인형이 리더였다고 해도 훈련에서 그 정도로 실수하지는 않을 텐데......
