()||<BIN>79</BIN><BGM>BGM_Room</BGM>:............군의 연회가 한창 무르익어가고 있을 무렵.
NPC-Havel(0)<Speaker>하벨</Speaker>||:내가 동석해도 괜찮겠지?+미안하군. 내가 다리가 좋지 않아서 말이야. 입구 근처 자리에 앉는 걸 좋아하거든. 자네들도 이해해주길 바라네.
NPC-Carter(0)<Speaker>카터</Speaker>;NPC-Havel(0)||:신경 쓰지 말고 편할 대로 앉으시지.+난 지금 당장이라도 자네를 쏘아 죽이고 싶지만, 오늘은 기자들이 너무 많이 몰려와 있어서 그럴 수 없다는 게 너무 안타깝군그래.
NPC-Carter(0);NPC-Havel(0)<Speaker>하벨</Speaker>||:하하하, 카터. 네 농담은 여전히 정말로 질이 떨어지는구만. 네 부하의 표정만 봐도 알 것 같군그래. 거기 있는 형씨도 그렇게 생각하지?
NPC-Carter(0);NPC-Yegor(0)<Speaker>예고르 대위</Speaker>||:..................
NPC-Carter(0)<Speaker>카터</Speaker>;NPC-Yegor(0)||:난 농담한 게 아니야. 부하의 표정만 봐도 그건 알 수 있을 텐데?
NPC-Carter(0);NPC-Yegor(0)<Speaker>예고르 대위</Speaker>||:..................
NPC-Carter(0);NPC-Havel(0)<Speaker>하벨</Speaker>||:좋을대로 하시게. 아무 감흥도 없었으니. 그건 그렇고, 아이고, 크루거 씨. 자넬 만나게 되어서 정말로 기쁘군.+카터가 이끄는 군과 민간 군사 기업 간의 연합 작전이라니, 서투르게나마 추리를 하나 해보자면 자네 외엔 다른 사람을 찾을 수 없었던 거겠군.+게다가, 카터가 이렇게나 크게 일을 벌이는 건 전부 자네를 완전히 믿고 있기 때문이겠지.+그때 자네가 리코를 내보내지 않았더라면 아마도...... 우리는 양로원에서 카드나 만지작거리고 있었겠지만 말일세.
NPC-Kyruger(0)<Speaker>크루거</Speaker>;NPC-Havel(0)||:......
NPC-Kyruger(0);NPC-Havel(0)<Speaker>하벨</Speaker>||:아...... 이쪽에 계신 분이 최근 화제의 중심이라던 그 지휘관인가?+페르시카가 자네 칭찬을 입술이 마르도록 하더군. 페르시카가 남을 칭찬하는 일은 그다지 없으니... 영광? 이라고 생각해도 좋네.+......아, 미안하군. 내가 아직 누군지 알려주지 않았었구만. 난 분명 크루거 씨가 자네가 입사하기 전에 내가 누구인지 알려줬을 거라 생각해서 말이야.+난 중요 작전 원형기계제조 회사 "Important Operation Prototype"의 최고 경영권자일세. 다른 사람들은 날 【IOP】회사의...... 사장이라 부르곤 하지.+자네 휘하에 있는 인형들은 기본적으로 우리 회사의 생산 라인에서 만들어져 나온 인형들일세. 아, 물론 그렇지 않은 인형들도 몇몇 있지만...... 하하하, 그건 그렇게 중요하지 않으니 넘어가도록 함세.
NPC-Carter(0)<Speaker>카터</Speaker>;NPC-Havel(0)||:하벨, 만약 단순히 자기 소개를 하러 온 것뿐이라면......
NPC-Carter(0);NPC-Havel(0)<Speaker>하벨</Speaker>||:당연히 아니지. 바로 눈앞에 내 회사를 창립하는 데 도움을 주신 은인이자, 끊임없이 나에게 주문을 넣어주는 VIP 고객님께서 계신데 말이야.+이 사람들이 모여서 큰일을 도모하고 있는데, 물건을 제공해주는 내가 어찌 축하를 해주지 아니할 수 있단 말인가?
NPC-Carter(0)<Speaker>카터</Speaker>;NPC-Havel(0)||:만약 네가 이번 작전의 세부 내용을 들으려고 한다면, 그건 군사 기밀이야.
NPC-Carter(0);NPC-Havel(0)<Speaker>하벨</Speaker>||:글쎄, 식사 자리에서는 기밀 같은 건 존재하지 않는다고들 하던데 말이야. 특히나 맛있는 술과 함께라면 더더욱 말이지.
NPC-Carter(0)<Speaker>카터</Speaker>;NPC-Havel(0)||:난 술 같은 건 안 마신 지 제법 됐네.
NPC-Carter(0);NPC-Havel(0)<Speaker>하벨</Speaker>||:그렇다면 자네는 이미 인생에서 행복을 잃어버린 거나 마찬가지겠군. 하긴, 장군님께서는 실용주의자이시니 결과를 중요시하는 것도 이상할 건 없지.+그래. 사람의 인생에서 흥미 있는 일들을 찾는 건 여전히 중요하지만, 그 결과가 좋지 않다면 도루묵이나 마찬가지일 테니.
NPC-Carter(0)<Speaker>카터</Speaker>;NPC-Havel(0)||:그래서? 자넨 도대체 무슨 말을 하고 싶은 거지?
