()||<BIN>10</BIN><BGM>DJMAX_ShadowFlowerF</BGM>:...도전 성공.
M950A(0)<Speaker>M950A</Speaker>||:...
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||:정말 잘했어, 950! +지금까지와는 전혀 다른 모습이야!
M950A(0)<Speaker>M950A</Speaker>||:지금까지와는 달라?
TMP(0)<Speaker>TMP</Speaker>||:엄청 '쿨'하다는 뜻이에요, 950 씨.
M950A(0)<Speaker>M950A</Speaker>||:아... +나랑 잘 어울렸어?
AEK999(0)<Speaker>AEK999</Speaker>||:어제 그런 모습을 봤다면 분명 의아해 했겠지. +하지만 그때 네가 무대에서 노래하는 걸 보고 나니, 이 곡보다 너에게 어울리는 곡은 없는 것 같아.
M950A(0)<Speaker>M950A</Speaker>||:저, 정말? +무대에서의 기억은 조금 흐릿해서, 잘 기억나지 않아...
Thunder50(0)<Speaker>썬더</Speaker>||:엄청 멋있었어, 또 불러줘.
M950A(0)<Speaker>M950A</Speaker>||:하... 하하... 너무 부끄럽다... +그동안 나 자신을 너무 억눌러왔나봐... +내가 무대에서 진정으로 바라던 모습을 보여주는 날이 오다니 믿기지 않아...
K2(0)<Speaker>K2</Speaker>||:자신을 가져, 950. +보컬로 스카웃될 지도 몰라.
Thunder50(0)<Speaker>썬더</Speaker>||:응, 화이팅.
M950A(0)<Speaker>M950A</Speaker>||:썬더... +응! 한번 열심히 해볼게! +후후... 다음번에 다 같이 노래방이라도 한 번 다녀오자고!
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||:<size=35>왠지... 노래방에서 마이크를 놓지 않는 타입일 거 같은데...</size>
AEK999(0)<Speaker>AEK999</Speaker>||:<size=35>너는 950이 본부에 있을 때의 전설을 모르는구나...</size>+<size=35>듣기로 몇 주년 기념행사 때 일어난 일인데...</size>
M950A(0)<Speaker>M950A</Speaker>||:<b>A? E? K?</b>
AEK999(0)<Speaker>AEK999</Speaker>||:아! 아무것도 아냐, 출발하자!
CLEAR(0)<Speaker>클리어</Speaker><Position>0,100</Position>||<黑点1>:950은... 의외로운 모습이 참 많은 것 같아…
